white_to_move,fullmove_number,halfmove_clock,w_p,b_p,diff_p,w_n,b_n,diff_n,w_b,b_b,diff_b,w_r,b_r,diff_r,w_q,b_q,diff_q,material_balance,total_material,bishop_pair_w,bishop_pair_b,king_distance,wk_file,wk_rank,bk_file,bk_rank,wk_center_dist,bk_center_dist,mobility_stm,mobility_other,in_check,w_passed_pawns,b_passed_pawns,w_isolated_pawns,b_isolated_pawns,w_doubled_pawns,b_doubled_pawns,w_most_advanced_pawn,b_most_advanced_pawn,w_rooks_open_file,b_rooks_open_file,w_rooks_7th,b_rooks_2nd,wk_pawn_shield,bk_pawn_shield,w_center_control,b_center_control,w_attackers_near_bk,b_attackers_near_wk,confirmed_optimal,fen,played_move
0,11,0,8,7,1,2,2,0,2,1,1,2,2,0,1,1,0,4,74,1,0,7,6,0,6,7,5,5,39,40,0,0,0,0,0,1,0,3,4,0,0,0,0,2,2,3,4,0,0,1,r1b1qrk1/ppp3pp/2np1n2/4p3/N1PN1P2/3P2P1/PP3PBP/R1BQ1RK1 b - - 0 11,exd4
1,12,0,8,7,1,1,2,-1,2,1,1,2,2,0,1,1,0,1,71,1,0,7,6,0,6,7,5,5,31,41,0,0,0,0,0,1,1,3,3,0,0,0,0,2,2,3,4,0,0,1,r1b1qrk1/ppp3pp/2np1n2/8/N1Pp1P2/3P2P1/PP3PBP/R1BQ1RK1 w - - 0 12,h3
0,12,0,8,7,1,1,2,-1,2,1,1,2,2,0,1,1,0,1,71,1,0,7,6,0,6,7,5,5,41,30,0,0,0,0,0,1,1,3,3,0,0,0,0,1,2,3,4,0,0,1,r1b1qrk1/ppp3pp/2np1n2/8/N1Pp1P2/3P2PP/PP3PB1/R1BQ1RK1 b - - 0 12,h5
1,13,0,8,7,1,1,2,-1,2,1,1,2,2,0,1,1,0,1,71,1,0,7,6,0,6,7,5,5,30,40,0,0,0,0,0,1,1,3,3,0,0,0,0,1,1,3,4,0,0,1,r1b1qrk1/ppp3p1/2np1n2/7p/N1Pp1P2/3P2PP/PP3PB1/R1BQ1RK1 w - - 0 13,a3
0,8,6,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,5,0,1,0,0,0,0,0,0,3,4,0,0,0,0,1,2,3,2,0,0,1,r2qkb1r/pp2pppp/5n2/n2p4/Q2P1Bb1/2PB4/PP3PPP/RN2K1NR b KQkq - 6 8,Bd7
1,9,7,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,48,26,0,0,0,0,0,0,0,3,4,0,0,0,0,1,2,3,2,0,0,1,r2qkb1r/pp1bpppp/5n2/n2p4/Q2P1B2/2PB4/PP3PPP/RN2K1NR w KQkq - 7 9,Qc2
0,9,8,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,31,44,0,0,0,0,0,0,0,3,4,0,0,0,0,1,2,3,2,0,0,1,r2qkb1r/pp1bpppp/5n2/n2p4/3P1B2/2PB4/PPQ2PPP/RN2K1NR b KQkq - 8 9,e6
1,10,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,44,33,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,2,0,0,1,r2qkb1r/pp1b1ppp/4pn2/n2p4/3P1B2/2PB4/PPQ2PPP/RN2K1NR w KQkq - 0 10,Nf3
0,10,1,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,33,48,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,2,0,0,1,r2qkb1r/pp1b1ppp/4pn2/n2p4/3P1B2/2PB1N2/PPQ2PPP/RN2K2R b KQkq - 1 10,Qb6
1,11,2,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,4,0,4,7,3,3,48,40,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,3,0,0,1,r3kb1r/pp1b1ppp/1q2pn2/n2p4/3P1B2/2PB1N2/PPQ2PPP/RN2K2R w KQkq - 2 11,a4
