gene,chRCC_mean,onco_mean,norm_mean,diff_ch_oc,p_mwu
NDUFB3,0.9009003496503497,0.9561567599067601,0.986915441684123,-0.05525641025641037,9.073400856319232e-06
WDR11,0.7608959790209792,0.8542132867132867,0.6934468027714772,-0.0933173076923075,9.073400856319232e-06
ARRDC1,0.8268327505827505,0.7133857808857809,0.3222318677072373,0.11344696969696966,9.073400856319232e-06
DBNDD1,0.44790501165501173,0.29879807692307686,0.8526328070894673,0.14910693473193487,9.073400856319232e-06
STAMBP,0.6927957459207459,0.8460678904428903,0.8953845462203671,-0.15327214452214444,9.073400856319232e-06
CCDC47,0.8569274475524475,0.9243414918414918,0.7496325855168583,-0.0674140442890443,9.073400856319232e-06
ABCC4,0.7153613053613054,0.9381526806526808,0.8202885581831473,-0.22279137529137538,9.073400856319232e-06
DDX50,0.6935664335664335,0.8196416083916084,0.7643660936106808,-0.12607517482517483,9.073400856319232e-06
COPS3,0.6034207459207459,0.7322115384615385,0.8887116783750485,-0.12879079254079262,9.073400856319232e-06
IMMT,0.9065326340326342,0.95761655011655,0.9542147498851994,-0.051083916083915826,1.0967431010993e-05
KATNA1,0.40504662004661995,0.5810751748251747,0.7724518882374916,-0.17602855477855472,1.0967431010993e-05
BLMH,0.5333027389277389,0.653878205128205,0.7538504930793348,-0.12057546620046611,1.0992164801504736e-05
CALCOCO2,0.8428175990675991,0.9298164335664335,0.7011622393176848,-0.08699883449883439,1.0992164801504736e-05
CCDC28A,0.7837383449883452,0.8933420745920746,0.9395620569216822,-0.10960372960372944,1.0992164801504736e-05
MMP15,0.7291404428904429,0.5161742424242424,0.478474809763324,0.21296620046620052,1.0992164801504736e-05
VDAC2,0.9643822843822846,0.9850903263403263,0.17999563277176625,-0.020708041958041767,1.0992164801504736e-05
C2orf47,0.7197712703962705,0.852169289044289,0.8895294632697909,-0.13239801864801848,1.0992164801504736e-05
POLR3C,0.3887907925407926,0.4738053613053612,0.8200049024277721,-0.08501456876456864,1.0992164801504736e-05
CYB5R4,0.382759324009324,0.536733682983683,0.6426049874174586,-0.15397435897435896,1.0992164801504736e-05
ERF,0.7981497668997669,0.6757969114219116,0.6871271666215316,0.12235285547785535,1.0992164801504736e-05
FAM71E1,0.6186771561771561,0.4687354312354311,0.5871310200582083,0.14994172494172503,1.0992164801504736e-05
TMEM14C,0.8973484848484847,0.942747668997669,0.9555024399746959,-0.04539918414918431,1.0992164801504736e-05
WIPI1,0.5198674242424243,0.684788752913753,0.7439230768407384,-0.1649213286713287,1.0992164801504736e-05
SEC63,0.6892045454545456,0.8317278554778553,0.5296329280445629,-0.14252331002330976,1.0992164801504736e-05
HEATR5B,0.458301282051282,0.6539204545454547,0.7359304069336171,-0.19561917249417266,1.0992164801504736e-05
UNC50,0.7665413752913752,0.8773135198135197,0.9415701255899235,-0.11077214452214446,1.0992164801504736e-05
SDF2,0.6689903846153847,0.7302578671328672,0.9151687323584853,-0.061267482517482486,1.0992164801504736e-05
LANCL1,0.7095745920745921,0.8477039627039628,0.9293161969577118,-0.1381293706293707,1.3265345612506737e-05
RWDD1,0.8254268648018648,0.8979924242424243,0.9626441426156912,-0.07256555944055953,1.3294722762606463e-05
GNA13,0.8809935897435897,0.9397610722610723,0.8309647185760268,-0.05876748251748265,1.3294722762606463e-05
SSH3,0.8547406759906759,0.7509979603729604,0.7348664302511905,0.10374271561771553,1.3294722762606463e-05
CLTC,0.9772668997668997,0.9896212121212123,0.6768486594857162,-0.012354312354312613,1.3294722762606463e-05
TC2N,0.31747377622377626,0.1288694638694638,0.509433962264151,0.18860431235431246,1.3294722762606463e-05
RAB1B,0.950518648018648,0.9166462703962703,0.6114959790458677,0.033872377622377714,1.3294722762606463e-05
CDC40,0.7400131118881118,0.8400553613053614,0.8073388701509585,-0.1000422494172496,1.3294722762606463e-05
NDE1,0.732628205128205,0.6570483682983682,0.7051339550924771,0.07557983682983682,1.3294722762606463e-05
TXNDC9,0.6276981351981352,0.7899825174825175,0.7546912915542302,-0.16228438228438224,1.3294722762606463e-05
FAM111A,0.8787995337995337,0.792925407925408,0.8712780886097766,0.08587412587412568,1.3294722762606463e-05
C1QBP,0.7586727855477856,0.9015238927738928,0.9375336506709794,-0.14285110722610717,1.3294722762606463e-05
PLEKHA1,0.8556351981351982,0.9448208041958044,0.9312290001081103,-0.08918560606060622,1.3294722762606463e-05
DDX52,0.2813825757575757,0.41815559440559436,0.7694076732628227,-0.13677301864801866,1.3294722762606463e-05
BBIP1,0.695483682983683,0.8340370046620047,0.586556750953458,-0.13855332167832168,1.3294722762606463e-05
NR2F6,0.8662004662004661,0.7639743589743591,0.8438180706912961,0.10222610722610703,1.3294722762606463e-05
RAB8A,0.9262470862470863,0.8888898601398602,0.880003981884566,0.03735722610722614,1.3294722762606463e-05
CHCHD2,0.9884411421911423,0.9935984848484849,0.9920041188956479,-0.0051573426573425785,1.3294722762606463e-05
SAYSD1,0.5539248251748252,0.7571751165501166,0.6121355424943082,-0.20325029137529138,1.3294722762606463e-05
HSD17B11,0.44290938228438226,0.7863519813519813,0.8612216892824153,-0.343442599067599,1.3294722762606463e-05
MICU2,0.8867249417249418,0.9555477855477856,0.947515122062959,-0.06882284382284387,1.3294722762606463e-05
COX7A2L,0.933417832167832,0.9692642773892773,0.9569913650906466,-0.03584644522144531,1.3294722762606463e-05
TAF10,0.9830069930069929,0.9694755244755247,0.8762661483080737,0.01353146853146825,1.601826372253544e-05
NDUFAF4,0.8181191724941725,0.9095206876456877,0.746981207003407,-0.09140151515151518,1.601826372253544e-05
ERH,0.9862674825174823,0.9796765734265734,0.9266680296414913,0.00659090909090887,1.601826372253544e-05
HDAC2,0.6029283216783218,0.7373921911421911,0.9176242278408658,-0.13446386946386935,1.6053092802023668e-05
CD58,0.44642336829836826,0.7193152680652681,0.7766152054470469,-0.27289189976689987,1.6053092802023668e-05
GATA2,0.8807925407925409,0.7526107226107225,0.6445632825286253,0.1281818181818184,1.6053092802023668e-05
RPP40,0.27953088578088575,0.38810606060606057,0.7987034255981657,-0.10857517482517481,1.6053092802023668e-05
IP6K3,0.26810314685314685,0.40603583916083913,0.5898594673051953,-0.13793269230769228,1.6053092802023668e-05
ARF5,0.9301354895104895,0.8851675407925408,0.8734841811072422,0.044967948717948736,1.6053092802023668e-05
RANGRF,0.5997188228438228,0.758821386946387,0.4452919031802627,-0.15910256410256418,1.6053092802023668e-05
BECN1,0.7907575757575758,0.8989044289044288,0.8404259760166383,-0.10814685314685302,1.6053092802023668e-05
SUCLA2,0.7891200466200468,0.9307736013986013,0.8390697803862215,-0.14165355477855457,1.6053092802023668e-05
MSH2,0.25565122377622373,0.47513694638694637,0.47742849466566617,-0.21948572261072263,1.6053092802023668e-05
