gene,r_depth,p_depth,n_mean,t_mean
PALB2,-0.7780785778513739,0.0006356637121411,0.5119263865146843,0.5320454545454545
MRPL20,-0.7781934859642976,0.0006337174400702,0.8705587804301077,0.8778583916083916
LY96,-0.7783790515844116,0.0006305846282986,0.6893418223116123,0.25319493006993
FBXO22,-0.7784074469207207,0.0006301063568548,0.6356067182527662,0.5755448717948717
ANKLE2,-0.7787504969909497,0.0006243515272913,0.6917941065967623,0.5695221445221446
SMAP2,-0.7798327959044824,0.0006064749034652,0.8481895805213056,0.6230856643356643
RFX7,-0.7800906606753674,0.0006022777055878,0.7646331581803645,0.4286319930069929
HINFP,-0.7812396274004436,0.0005838624038347,0.6103843696045196,0.5286669580419582
HNRNPM,-0.781395112660863,0.0005814059238043,0.9584835014038282,0.8475874125874125
HIRIP3,-0.78241339256815,0.0005655253623826,0.778445587868525,0.6170017482517484
USP3,-0.7826433994273982,0.0005619876393659,0.8248131350811524,0.7364379370629371
HNRNPA1,-0.7826609914717135,0.0005617178003585,0.4613923108952711,0.9953263403263404
ROCK1,-0.7826658922314974,0.0005616426478808,0.5923310187737294,0.9213344988344988
SLC44A4,-0.7829976302294454,0.0005565744826776,0.8025263559012706,0.2554982517482517
ODF2,-0.783075923604557,0.0005553837932601,0.6856826630672713,0.3517497086247086
HMGB2,-0.7831858825083577,0.0005537150346414,0.8474124707914853,0.8569245337995337
TCEAL8,-0.7833315249202961,0.0005515110213402,0.8839912184459733,0.6104691142191142
ELOVL4,-0.7835740522269612,0.0005478566950967,0.4369722263551519,0.2079239510489509
LRP12,-0.7843850051396433,0.0005357803770958,0.3792097457695152,0.481215034965035
OR13C4,-0.7849912982929572,0.0005268941010247,0.2213333747220976,0.292618006993007
EED,-0.7852931842886933,0.0005225144150134,0.5618289266787334,0.6217453379953379
ABHD17B,-0.7854414976012267,0.0005203736103336,0.6594932088530565,0.6675932400932401
CASP4,-0.7859284567823732,0.0005133948488753,0.7593314715525389,0.5770454545454544
PRPF3,-0.7865690506567897,0.0005043305951525,0.7720943749458111,0.4225611888111888
GLIS3-AS1,-0.7880133761275269,0.0004843714364288,0.1790750895656427,0.2345979020979021
CDK20,-0.7880159947112528,0.0004843358440283,0.7501902634359169,0.5679020979020979
TMEM135,-0.7881172826176486,0.0004829607499426,0.7755105535996987,0.6914015151515152
FAM13A-AS1,-0.7882576994516399,0.0004810597021599,0.4061152969661679,0.372912296037296
UVRAG,-0.7883005393864402,0.0004804809249806,0.6474169664676082,0.5778554778554779
S100A8,-0.7896742451472283,0.0004622204589805,0.7264311503257761,0.4335081585081585
ZFC3H1,-0.789749616615064,0.0004612351718033,0.6522466071025259,0.7586028554778556
RPL26L1,-0.7898773484579973,0.0004595693180871,0.8771203267714303,0.8215559440559439
ZFYVE16,-0.7898959586604102,0.0004593270174082,0.6142404822790082,0.5425087412587412
RPUSD4,-0.790095206564048,0.0004567393747932,0.8737924560413859,0.5731439393939394
SCARNA15,-0.7904626160129282,0.0004519989766677,0.1468812317296257,0.4064627039627039
ZNF70,-0.7906875906717391,0.0004491161617501,0.2006714613409317,0.2958158508158508
UXT,-0.7913605969268487,0.0004405816705742,0.9620746903067872,0.9307138694638696
BCL2,-0.791762225737781,0.0004355518997124,0.7955634099061152,0.8861669580419581
UTP14A,-0.7918552043559364,0.0004343941910078,0.7064896155233554,0.4199038461538461
NAE1,-0.7920316375642947,0.0004322042608131,0.771251435672762,0.8739597902097903
SLC8A1,-0.7924002931551654,0.000427657482338,0.1784012733467418,0.4131118881118881
NSDHL,-0.7930752522588227,0.0004194340685301,0.7784134758962185,0.4844726107226108
