gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,cum_shift
AMPD3,0.015971694406993562,0.27313640844716125,0.9440646853146855,-0.6709282768675242,-0.010715861407138864,restore_normal,-1.4926851024472376
FAM150B,-0.015806997143451143,0.7380160795349331,0.0617671911421911,0.676248888392742,-0.010689464247086083,restore_normal,-1.5033745666943237
AGAP11,0.016296917126152735,0.12022454831834947,0.775437062937063,-0.6552125146187135,-0.010677944050759312,restore_normal,-1.514052510745083
TOX2,-0.016398107763216808,0.7061032014565993,0.05569055944055939,0.65041264201604,-0.01066553659433758,restore_normal,-1.5247180473394206
SLC13A1,-0.014509885275868299,0.7425936411872439,0.008129370629370565,0.7344642705578733,-0.010656992305019037,restore_normal,-1.5353750396444397
CDK16,0.015900633793835252,0.24922690426671776,0.9180390442890443,-0.6688121400223265,-0.01063453691536628,restore_normal,-1.5460095765598059
SHISA3,-0.015411085668976721,0.8076749754611011,0.1191987179487179,0.6884762575123832,-0.010610166585579815,restore_normal,-1.5566197431453856
FXYD3,0.016099962956016727,0.15490976000582293,0.813420745920746,-0.6585109859149231,-0.010602002479360315,restore_normal,-1.567221745624746
NBN,0.016071193054769575,0.12254303271888853,0.7821474358974358,-0.6596044031785473,-0.0106006297032585,restore_normal,-1.5778223753280045
HOXB8,-0.01609683003536221,0.924496189914486,0.26650058275058275,0.6579956071639033,-0.010591643452532312,restore_normal,-1.588414018780537
C9orf24,0.01607019078454434,0.09817860893076759,0.7558391608391608,-0.6576605519083932,-0.010568730540636607,restore_normal,-1.5989827493211735
SLC16A9,-0.015477464888548707,0.8749458110467326,0.19268939393939385,0.6822564171073388,-0.010559599740765877,restore_normal,-1.6095423490619394
RUNDC3B,-0.01593429063322396,0.6839448701659441,0.02425116550116544,0.6596937046647786,-0.010511751219036795,restore_normal,-1.620054100280976
NDUFAF5,0.016202137757994964,0.1116661724990928,0.7600641025641026,-0.6483979300650098,-0.010505432584912072,restore_normal,-1.6305595328658882
CLDN10,-0.016150633880582826,0.9747824681475997,0.32448572261072256,0.6502967455368771,-0.010502704650900637,restore_normal,-1.6410622375167887
FLRT3,-0.016197198057896527,0.917908953995318,0.2696998834498834,0.6482090705454346,-0.010499170698549427,restore_normal,-1.651561408215338
ZNF93,0.015999768578179887,0.2571671246190717,0.9124475524475525,-0.6552804278284807,-0.0104843351990664,restore_normal,-1.6620457434144045
