gene,r_depth,p_depth,n_mean,t_mean
SMYD5,0.9294540884879848,5.424064677259296e-07,0.4069427154526022,0.7321008158508158
SNORD8,0.9276519057821212,6.362300817947492e-07,0.4112211005629229,0.3915909090909091
PAK3,0.9273040803873508,6.558169313358971e-07,0.1549498999712062,0.7687835081585083
CYP4F12,0.9271630356920708,6.639020533145991e-07,0.5114018909670092,0.8221663752913754
ABCC13,0.9265447834153152,7.003340006867396e-07,0.0891588911093722,0.3586596736596736
DUOX1,0.9260205702223696,7.325216510418118e-07,0.3115471441217429,0.4320964452214452
KIR3DL1,0.9257948372544216,7.467584958565231e-07,0.285945874200278,0.6166200466200465
SLC28A2,0.9255368319530916,7.633136525334943e-07,0.3677147300828168,0.5598980186480187
GLI3,0.9252540586681736,7.818098036552345e-07,0.386158776576671,0.7451733682983684
AMHR2,0.9246728632167373,8.210055305117695e-07,0.1270504832316632,0.5225743006993007
CARHSP1,0.9242467149248904,8.507783831256968e-07,0.9147031087600388,0.8726121794871794
LMX1A,0.9242297636420314,8.519811172726922e-07,0.1253089439335667,0.2058566433566433
PCDHA9,0.9240605537137424,8.640651588155467e-07,0.1425958890253052,0.4274941724941724
RABEP2,0.9235694694026132,8.999508181178048e-07,0.2545703364585418,0.8570687645687645
WNT10B,0.923481518277957,9.065075962154596e-07,0.1084672848578135,0.7302666083916084
IQGAP3,0.923429299362155,9.104194048960302e-07,0.3799927426942586,0.5551427738927739
KLC3,0.9233726386599044,9.146799224405496e-07,0.4029212261207345,0.888339160839161
CDH6,0.923343313451722,9.168915309161532e-07,0.7251996561878166,0.7619041375291375
GLP1R,0.9223228823158872,9.966858839332516e-07,0.116120103058023,0.8929924242424241
HIST1H2BN,0.922077240285312,1.0167376642252692e-06,0.1641478392389034,0.3515413752913752
TACR1,0.9219181232170522,1.0299056267941183e-06,0.0976519725849388,0.5479632867132868
TMEM95,0.9218499018398688,1.035594915154893e-06,0.1644395229873553,0.8550116550116551
SIT1,0.9214077909601952,1.0731054949393832e-06,0.3897301630967074,0.4300859557109556
HTR1F,0.9213326521465818,1.0795921737316074e-06,0.184702177512842,0.2552068764568764
ASPDH,0.9211699154055064,1.0937536174802715e-06,0.6337249566755974,0.7994711538461539
WNT8B,0.9210843554363468,1.1012611920962668e-06,0.0902357125807214,0.402322261072261
C9orf163,0.9209360925643256,1.1143727712817711e-06,0.1981779666913214,0.7127797202797201
DSCAM,0.9208651298438016,1.1206943828158612e-06,0.4175096951396388,0.6533100233100232
TCEANC2,0.9206652115735824,1.1386653042752731e-06,0.4870776071442715,0.7645862470862472
BMP1,0.9203044546777138,1.1717042174782931e-06,0.5381998670564347,0.7041258741258741
PPP2R2B,0.920263601798325,1.1754956240327946e-06,0.7998958501698188,0.6234265734265734
KCNAB1,0.9189872278754848,1.2992302902810205e-06,0.5907505745367045,0.7356089743589743
IFNL1,0.9182758867159144,1.3727897466554367e-06,0.1199548077509737,0.3292890442890443
PDXDC1,0.9180137938827364,1.4007556199472364e-06,0.931060947453039,0.2524358974358974
NOVA2,0.9176489954459262,1.4404719264956536e-06,0.100850860226218,0.767333916083916
UBE2NL,0.9175619712869768,1.450084175995427e-06,0.1771028792664768,0.9054079254079254
PLCB1,0.917090807003359,1.5030626884107718e-06,0.8099720518801024,0.565719696969697
WDR35,0.9170771846029336,1.5046181490945452e-06,0.5970429155101896,0.7184965034965034
PGBD2,0.917059672069498,1.5066197772670684e-06,0.4819776907424394,0.5946590909090909
PBOV1,0.9165325113924924,1.5679232730483646e-06,0.1222818553441279,0.4254924242424243
ZFP92,0.9161287080752176,1.6162793482842595e-06,0.3365923417227644,0.7277301864801864
TACR2,0.916116969497868,1.6177034875592783e-06,0.3220424070706281,0.5289801864801865
GLI1,0.9160591985565548,1.6247276221604332e-06,0.1633418287340068,0.669433275058275
MYL10,0.9160272420410772,1.6286240216658534e-06,0.1874070759801376,0.8161378205128205
SPRR4,0.915719798853446,1.6665106407935364e-06,0.206743300104578,0.8218560606060605
SIRT3,0.915391920252424,1.7077242911769906e-06,0.228820816264928,0.8558158508158508
ZNF641,0.9153595431404112,1.711839816281648e-06,0.581766715084385,0.7970600233100232
FAM214B,0.9150580095258036,1.7505680364677734e-06,0.6546309210462936,0.8420221445221444
DNAJB13,0.915048813262483,1.7517605878159557e-06,0.1877950956455094,0.4840763403263404
C11orf16,0.9150377930354632,1.7531905608328482e-06,0.1058303567319003,0.8518851981351981
TCTN3,0.915035784391034,1.7534513054701703e-06,0.7098174862533999,0.8400844988344988
NEGR1,0.9146563185010036,1.8032951332663152e-06,0.1206023991924908,0.1508260489510489
TMEM63B,0.9143262192607322,1.8476120736577649e-06,0.5716032758493349,0.8307808857808857
IL20,0.9139797033656536,1.8951082384640456e-06,0.3155322398849963,0.4640515734265734
BCAN,0.9137534320064564,1.9266698518614542e-06,0.2896451734100024,0.7828205128205129
SMPDL3B,0.9137287291393096,1.930141974501183e-06,0.5038261415003356,0.8106148018648016
SAMD14,0.913355955877884,1.983175286778882e-06,0.4465137637265301,0.8618720862470862
PRB4,0.9124910068367792,2.1109340181270096e-06,0.1525757548186689,0.7206351981351983
KCNG1,0.9122829679961332,2.142666857849485e-06,0.3649761140445992,0.5852986596736597
NXPE4,0.9121798084248002,2.158549266813234e-06,0.226826662784686,0.5133741258741259
RECQL5,0.9121195965290796,2.1678648229167354e-06,0.5842639561307642,0.829892191142191
SLAMF7,0.9120163459818538,2.1839171618498695e-06,0.4203489286910838,0.7650320512820514
SLC4A8,0.911376360993792,2.285646291763804e-06,0.1955736857372534,0.7947465034965037
COL9A2,0.911219336418839,2.3112015841876502e-06,0.6461667403458031,0.6200174825174826
PLCD1,0.9108054770161412,2.3797016288488607e-06,0.5864780766213068,0.8281264568764569
NNAT,0.910720098638362,2.3940418745337556e-06,0.084679806172135,0.7586844405594405
SPRED3,0.9098483295742588,2.54464180372919e-06,0.2160177729062726,0.7548921911421911
CA1,0.9096723007770426,2.575990805819882e-06,0.1909832792960198,0.8094347319347318
LHPP,0.9093135962180954,2.640871255093416e-06,0.8567217315631787,0.6422494172494173
EPHA8,0.9091248685716192,2.675551201720323e-06,0.6489128491775588,0.7760766317016317
TPBGL,0.9084701627704976,2.7988192835513502e-06,0.1645449572964287,0.365919289044289
SCNM1,0.9080587419693904,2.8786796898530888e-06,0.6292276749540532,0.8235664335664334
NEUROD4,0.9080058445419938,2.889084129888668e-06,0.1155886499163482,0.2186392773892773
SLC6A13,0.9079033830584352,2.909326650084746e-06,0.5846423422044441,0.6647217365967367
C1orf194,0.9078040651296636,2.9290609604781737e-06,0.1912107390998585,0.7071314102564104
SHISA7,0.9075647866357136,2.977064440907511e-06,0.1318041255321221,0.5176267482517481
LRRC17,0.9070373024380892,3.085209789636338e-06,0.5464157151710872,0.4240355477855477
NAT2,0.9063492794944226,3.231177879314488e-06,0.4520964301120386,0.6311349067599067
PRG4,0.906178066801345,3.268383224932541e-06,0.2929243409820483,0.0762951631701631
DEFB118,0.906009174915331,3.3054337562562514e-06,0.1240581826122232,0.7467176573426573
PLXDC1,0.9055735035858063,3.4026300062387308e-06,0.3175799133190827,0.6566215034965034
MDGA1,0.9053680740794032,3.449280752612571e-06,0.3388524893736131,0.671522435897436
SUFU,0.9049693833553872,3.5413424117619765e-06,0.2738268158517539,0.7340122377622376
DNAI1,0.9045810362513296,3.632977199558414e-06,0.2387953300629073,0.4183682983682983
GDF11,0.9045217394298226,3.647141410591667e-06,0.5783537476277282,0.6889685314685315
DLX2,0.9045195036202248,3.6476763774291353e-06,0.244982236727319,0.615071386946387
CC2D2A,0.9044248255174994,3.670390352757655e-06,0.6343110001701936,0.3513636363636364
CD1B,0.904288762462903,3.703239383668573e-06,0.2395804677858045,0.5669434731934732
NTS,0.90423196843754,3.7170232294212935e-06,0.4288072221966516,0.3242162004662004
SPATA8,0.904017162800681,3.769543941314168e-06,0.0950129036608718,0.6939685314685313
