gene,r_PC2,p_PC2
DHX57,0.7280929557822983,6.239406559105663e-15
CST6,-0.7272521616437667,6.940140330959567e-15
RENBP,0.7263674016349029,7.759360816962828e-15
PCBP3,-0.7249217983730434,9.302437715505342e-15
FAM134B,0.7244495627543674,9.867815015400233e-15
ANGPT2,-0.7243747646849702,9.96035476893016e-15
SMIM22,-0.7240354614913989,1.0390759635246202e-14
B4GALT4,0.7225006851566527,1.2572257277702925e-14
H1FX,-0.7224352837427666,1.2674414291807945e-14
DPP6,0.7218656023266268,1.3598784824106947e-14
EHD4,-0.7217137403381573,1.3855974893333983e-14
CALB1,0.7209713461385429,1.5182337258857398e-14
CDKN2B,-0.7201796162979162,1.673162777395659e-14
ACSBG2,0.7201101546914934,1.687460607085948e-14
CHST13,0.7190435171172753,1.922389076511697e-14
TMEM63A,0.7183227521119542,2.098679324103557e-14
SHMT2,0.7172904914380861,2.3785572700392194e-14
BHLHE41,-0.7171577434644222,2.4170619420493078e-14
SUSD1,-0.717003929454544,2.4624290822160325e-14
TRPM6,0.7159724666036325,2.7885803407554214e-14
SAMM50,0.7156938688549689,2.883586452677369e-14
NAT14,-0.7153531146941468,3.004037915315105e-14
FAM151A,0.7152306578296375,3.048498480324935e-14
EPHB6,-0.7149650007096368,3.147143229627011e-14
HMX2,0.7141404926468261,3.473298950842502e-14
CSHL1,0.7140560260555524,3.508495742929699e-14
RASSF4,0.7138509918323228,3.595369157415905e-14
SEC14L4,-0.7135641762924523,3.720381529414126e-14
LAMC2,-0.7129742437889043,3.9908221598706964e-14
TSKU,0.7129431595341482,4.005585627044652e-14
SLC25A34,0.7126968065654373,4.1244682533758175e-14
TBC1D13,0.7126412801009874,4.151729747188302e-14
P2RY2,-0.7124087209149979,4.267807659458157e-14
SLC1A5,0.7121267844254623,4.4127315698001144e-14
FIBCD1,0.7119892298861524,4.4851499681827527e-14
KIAA1191,0.7112824121777752,4.8757148912622176e-14
ACP5,0.7111631957521821,4.944742833707195e-14
RIPK3,-0.7102957425103562,5.476159696919839e-14
LACTB,0.7100042555463719,5.6667834202485756e-14
ALDH1A3,-0.7097780860456604,5.819083296874214e-14
AGMAT,0.7094150656605233,6.071820779904781e-14
BCL7C,-0.7094107900715252,6.074859617134056e-14
PTGFRN,-0.7088333929163589,6.498992244862706e-14
ABCA13,-0.7087416564252803,6.568953690266952e-14
CDH1,-0.7086705549304021,6.62367705306575e-14
PIPOX,0.7080326296782227,7.13472021334324e-14
LINC00294,0.7078650311702349,7.275164405474767e-14
GLYAT,0.7078510163286897,7.287028556081238e-14
FGF1,0.7076004312253561,7.502334173551235e-14
ARSE,0.7072599691073597,7.804710752413798e-14
COX6A2,0.7068005315082326,8.231430217385863e-14
MAD1L1,0.7062934972674926,8.728455256133913e-14
CTSA,0.7061946823996685,8.828631242835126e-14
SLC2A9,0.7056465093198971,9.404800003982506e-14
ADORA2A,-0.7055876402945174,9.46878803743614e-14
DIP2C,0.7051579620903974,9.948704570068419e-14
LIPH,-0.7050057167254487,1.0124309886940073e-13
CA8,-0.7048570452097513,1.0298673898582168e-13
POLB,-0.7048494182421452,1.0307696520650363e-13
MCAT,0.7048197245231607,1.0342896500729639e-13
FAM43B,-0.7042393456722851,1.1054618378144461e-13
MYOM3,0.7037940312385911,1.1632479054021418e-13
CNDP1,0.7036216545230916,1.1863888222959578e-13
TNKS1BP1,-0.7032552575265356,1.2370590653305684e-13
GRP,-0.7028175964453367,1.3003208521404015e-13
LRRC43,0.7018659053993255,1.4488226569366564e-13
MAF,0.7003471131698055,1.720223562683334e-13
SLC22A6,0.7003299743605309,1.7235493246812103e-13
RFESD,-0.7002448602736265,1.7401575849330132e-13
SSUH2,0.6994398960860737,1.9050471694652056e-13
