,PC1,PC2,PC3,PC4,PC5
CHMP3,0.016211770143377227,0.0005840230182915083,0.0017099724041297424,0.0024327827148027106,-0.00474182159277005
FARSB,0.016232971915490446,0.0021495614587953905,-0.0034633854359824782,0.0001212202637851631,-0.0036073041819966595
CDKN1A,0.01603066817624736,-0.005403730643628115,0.010020959499817664,0.007222480438294459,-0.0038822973999163295
MNS1,-0.016322430817595022,-0.008984448351034138,-0.0014516925440078482,0.0014485818332494122,0.002877799767609784
GOLM1,0.015891638653879762,-0.009349705174147181,-0.005037253849972118,-0.0058236811989509215,-0.009956370500622614
AOC1,-0.01601859051250856,0.0018315185548310607,0.0035268102618170624,0.002474055778601041,0.0010905280399228694
WIPI2,0.016120251187841075,-0.0006239331926241117,-0.0007170062336430739,-0.0037609006089449073,-0.005409565338541299
ANGPTL3,-0.014599731934903857,0.022262477962868368,-0.01338401587859718,-0.008442417218074556,0.003385963043354838
FGFR1,0.01618028597553475,0.001515389930100219,-0.002040807669841949,0.003391064732974441,0.0010781587826653631
C11orf16,0.016463489155153378,0.0019213611093188189,-3.759407027272325e-05,0.001318912981194574,-0.001831290211320518
SHISA3,-0.015411085668976721,-0.009171238775620486,-0.012505520444231732,-0.0112321575792975,0.003567766466383296
LUZP6,0.016166204097258646,-4.6241769212569623e-05,0.003529235200750234,-0.0003737642471904166,-0.007030058982300402
CLRN3,-0.014541819388197328,0.02470145231951739,-0.007818592598318507,-0.006835826911142744,-0.0010751814870641827
LOC729966,0.015823839077290906,-0.006948784794492842,0.011104076642727728,0.005609847573777849,-0.0031894418101056916
FHAD1,0.01627118684834241,0.0024804303900854046,0.0028106835005782182,0.001557095435113571,0.0020705123914160017
THSD7A,0.015908107872017577,-0.004847929554352383,0.0004978783683130003,-3.977623267038231e-05,0.002521220317692322
CAPZA1,0.016134480074318523,-0.0006048149922395601,0.0031338040689710845,0.004340801555869457,0.003491963684075278
SYNGR3,0.015860556852701806,0.0011733913509734814,0.003755943960407338,-0.01570258884063497,-0.0005090388373997589
RERGL,-0.01612431478369376,0.0023005005678891728,-0.00924260440379938,-0.0025665743193410153,0.019939944393419708
AFM,-0.01277193494397844,0.03264435561913256,-0.011921808856572897,-0.011092795018381918,-0.00013564008699424104
TM4SF5,-0.013277215976105356,0.031633493724201586,-0.008608671196728937,-0.008228236949303374,-0.003941437248737198
CALB1,-0.010951350055847249,0.040059861934875714,0.006587642995981594,-0.0014178168342027211,0.0033226162252029453
ARHGAP6,0.014505065140898056,-0.00014441723458068166,0.006450873868073863,-0.014750095033402964,-1.298722333935426e-05
TFPI,-0.016490399771896237,-0.0013065457917241271,0.005630994013186334,-0.0013189493241124587,0.00235805402777671
SPG7,-0.016544408451326095,-0.0009525925422164866,-0.0018622278933227876,-0.0007291785619502727,0.004779706595564827
UBE2NL,0.016058338405238484,0.0013852783569441415,-0.004494234333505404,-0.0023254463883564474,-0.0005175888180282573
KNG1,-0.014221241082519218,0.0030119154281624183,-0.006040374911028381,-0.029496952432433745,0.009185163415808438
HS6ST2,-0.01563104659746757,0.0018248744183160732,-0.02609236001926508,-0.012397574792813061,0.010093851811415486
RGPD3,0.01593894242030542,0.009130256412914576,0.0007193759776899341,0.0023494013614688124,-0.0007965544157285773
SPATA32,0.016228080844248045,0.0013672220765957575,0.0011371518260493707,0.0014401124877732306,0.0021128535668723993
THUMPD3-AS1,0.016406217591161242,0.00040858977300445044,-0.0014910593023492282,-0.0021792232952452945,-0.0018190664302981693
IRX3,-0.016382883965557468,-0.006652766339937459,-0.0005959702246599404,-0.0012273020505867865,0.006229030679931119
KCMF1,0.016112546002087225,0.0016419698982853936,-0.0031368442655145164,0.0009546063378107577,-0.007552711689784886
KBTBD11,-0.01648540663849954,-0.0006022808136463778,-0.003222153517610308,-0.005190406343418109,0.006233671329025253
PDPK1,-0.016554681605799912,0.0004133413425197585,-0.0012676663490351744,-0.0014057073531942928,0.0028698544629219046
FITM2,0.016140544956080072,0.0009895383854908928,-0.0006566860216563089,-0.003018085685127955,-0.005940799588969594
REPIN1,0.016093657964525856,0.0014336681220629512,0.002831397549526963,-0.0030002800798992883,-0.009868441499502823
SYNGR2,0.016219003297240076,-0.0030813393286251802,0.005522686359092319,-0.0007131087123527669,-0.008145125647554414
HGH1,0.016361464705116634,0.0030271574461227624,-0.002359953298429056,-0.0045532817215713,-0.001897409944515851
IFNA1,0.016238421809088507,0.00012746746071907566,0.001802743738402711,0.0024100884729778885,0.0047528319115431
TCEAL2,-0.01644384446469203,0.003278054456921468,-0.0063393290476586395,-0.00018775172465919295,0.001811519994800158
PRB1,0.016089067377436202,-0.0019766018310803193,-0.0025088994265492996,-0.00046033317098027394,0.002906756022739825
SLC16A9,-0.015477464888548707,0.016961344878511052,-0.011891986950271495,-0.008279413050524773,0.0010070737049984446
