white_to_move,fullmove_number,halfmove_clock,w_p,b_p,diff_p,w_n,b_n,diff_n,w_b,b_b,diff_b,w_r,b_r,diff_r,w_q,b_q,diff_q,material_balance,total_material,bishop_pair_w,bishop_pair_b,king_distance,wk_file,wk_rank,bk_file,bk_rank,wk_center_dist,bk_center_dist,mobility_stm,mobility_other,in_check,w_passed_pawns,b_passed_pawns,w_isolated_pawns,b_isolated_pawns,w_doubled_pawns,b_doubled_pawns,w_most_advanced_pawn,b_most_advanced_pawn,w_rooks_open_file,b_rooks_open_file,w_rooks_7th,b_rooks_2nd,wk_pawn_shield,bk_pawn_shield,w_center_control,b_center_control,w_attackers_near_bk,b_attackers_near_wk,confirmed_optimal,fen,played_move
0,10,0,7,6,1,2,2,0,2,2,0,2,2,0,1,1,0,1,75,1,1,7,4,0,4,7,3,3,40,49,0,1,0,0,0,0,0,4,4,0,0,0,0,1,1,3,3,0,0,1,rn1qk2r/1p2bppp/p3bn2/3Pp3/P7/1NN1B3/1PP1BPPP/R2QK2R b KQkq - 0 10,Nxd5
1,11,0,6,6,0,2,2,0,2,2,0,2,2,0,1,1,0,0,74,1,1,7,4,0,4,7,3,3,49,44,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,2,0,0,1,rn1qk2r/1p2bppp/p3b3/3np3/P7/1NN1B3/1PP1BPPP/R2QK2R w KQkq - 0 11,Nxd5
0,11,0,6,6,0,2,1,1,2,2,0,2,2,0,1,1,0,3,71,1,1,7,4,0,4,7,3,3,39,52,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,2,2,0,0,1,rn1qk2r/1p2bppp/p3b3/3Np3/P7/1N2B3/1PP1BPPP/R2QK2R b KQkq - 0 11,Bxd5
1,12,0,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0,0,68,1,1,7,4,0,4,7,3,3,46,39,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,2,3,0,0,1,rn1qk2r/1p2bppp/p7/3bp3/P7/1N2B3/1PP1BPPP/R2QK2R w KQkq - 0 12,O-O
0,12,1,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0,0,68,1,1,7,6,0,4,7,5,3,39,43,0,0,0,0,0,0,0,3,4,0,0,0,0,3,1,2,3,0,0,1,rn1qk2r/1p2bppp/p7/3bp3/P7/1N2B3/1PP1BPPP/R2Q1RK1 b kq - 1 12,O-O
1,13,2,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0,0,68,1,1,7,6,0,6,7,5,5,43,36,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,2,3,0,0,1,rn1q1rk1/1p2bppp/p7/3bp3/P7/1N2B3/1PP1BPPP/R2Q1RK1 w - - 2 13,c4
0,8,1,7,7,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,70,1,0,7,4,0,4,7,3,3,31,47,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,2,0,0,0,rn1qkb1r/pp3ppp/4pn2/3p2B1/3P4/2N2Q1P/PPP2PP1/R3KB1R b KQkq - 1 8,Be7
1,9,2,7,7,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,70,1,0,7,4,0,4,7,3,3,47,32,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,2,0,0,0,rn1qk2r/pp2bppp/4pn2/3p2B1/3P4/2N2Q1P/PPP2PP1/R3KB1R w KQkq - 2 9,Bb5+
0,9,3,7,7,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,70,1,0,7,4,0,4,7,3,3,5,0,1,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,2,0,0,1,rn1qk2r/pp2bppp/4pn2/1B1p2B1/3P4/2N2Q1P/PPP2PP1/R3K2R b KQkq - 3 9,Nc6
1,10,4,7,7,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,70,1,0,7,4,0,4,7,3,3,51,31,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,3,4,0,0,1,r2qk2r/pp2bppp/2n1pn2/1B1p2B1/3P4/2N2Q1P/PPP2PP1/R3K2R w KQkq - 4 10,O-O
0,10,5,7,7,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,70,1,0,7,6,0,4,7,5,3,31,48,0,0,0,0,0,0,0,3,4,0,0,0,0,2,1,3,4,0,0,1,r2qk2r/pp2bppp/2n1pn2/1B1p2B1/3P4/2N2Q1P/PPP2PP1/R4RK1 b kq - 5 10,O-O
1,11,6,7,7,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,70,1,0,7,6,0,6,7,5,5,48,33,0,0,0,0,0,0,0,3,4,0,0,0,0,2,3,3,4,0,0,1,r2q1rk1/pp2bppp/2n1pn2/1B1p2B1/3P4/2N2Q1P/PPP2PP1/R4RK1 w - - 6 11,Ne2
0,11,7,7,7,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,70,1,0,7,6,0,6,7,5,5,33,48,0,0,0,0,0,0,0,3,4,0,0,0,0,2,3,4,4,0,0,1,r2q1rk1/pp2bppp/2n1pn2/1B1p2B1/3P4/5Q1P/PPP1NPP1/R4RK1 b - - 7 11,Qb6
1,12,8,7,7,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,70,1,0,7,6,0,6,7,5,5,48,38,0,0,0,0,0,0,0,3,4,0,0,0,0,2,3,4,4,0,0,1,r4rk1/pp2bppp/1qn1pn2/1B1p2B1/3P4/5Q1P/PPP1NPP1/R4RK1 w - - 8 12,Bxc6
0,12,0,7,7,0,1,1,0,2,1,1,2,2,0,1,1,0,3,67,1,0,7,6,0,6,7,5,5,37,49,0,0,0,0,0,0,0,3,4,0,0,0,0,2,3,4,3,0,0,1,r4rk1/pp2bppp/1qB1pn2/3p2B1/3P4/5Q1P/PPP1NPP1/R4RK1 b - - 0 12,bxc6
1,13,0,7,7,0,1,1,0,1,1,0,2,2,0,1,1,0,0,64,0,0,7,6,0,6,7,5,5,43,38,0,0,0,0,1,0,0,3,4,0,0,0,0,2,3,4,3,0,0,0,r4rk1/p3bppp/1qp1pn2/3p2B1/3P4/5Q1P/PPP1NPP1/R4RK1 w - - 0 13,Rab1
