gene,r,p_value
C21orf33,-0.8283184602481868,0.021335576874424216
CRYAB,-0.8279586811339263,0.021443140671926795
CPVL,-0.827276975709135,0.02164779093125174
WSCD1,-0.8270124572072113,0.021727496438794965
SNORA76C,-0.8266275055228888,0.02184378725314845
MTMR10,-0.8263160873493178,0.0219381210662479
PTGS2,0.8259197956002271,0.02205849690078417
GIMAP8,-0.8258707952726467,0.022073406892542436
INPP1,0.8257832956406361,0.0221000457513222
RASGRP1,-0.8254454691539892,0.022203065892923864
SNORD15A,-0.8253105615044694,0.022244281626853747
ANXA8,0.8247200052142458,0.022425211449928605
TSPAN33,-0.8240495451614704,0.02263162573633544
CD55,0.8240032696427398,0.022645911981029533
N4BP1,0.8239353429930545,0.02266689161660066
CDH3,0.8238487342498957,0.022693657265018978
ANXA11,0.8235954003836886,0.022772050217437077
RPN1,0.8229451197561606,0.02297397553740359
RBKS,-0.8229252293226592,0.022980167786018833
JMJD4,-0.8220367628967653,0.0232577245476524
TDRD9,-0.8218970847596554,0.023301531099477
PTPRE,0.8216171491669912,0.02338946594391358
PRRG4,0.8214491358280007,0.023442332936329396
CALR,0.8210042241568432,0.023582653962882043
CTSF,-0.8207589105353447,0.023660225696918547
SLPI,0.8207337163587245,0.023668200598427242
ENPP2,-0.8205396971664921,0.02372966573482604
INTS6,0.8198114087176632,0.023961189398237787
SETD8,0.8197784856874138,0.02397168561485212
ARSE,-0.8194202805216767,0.024086052797020717
TRIB2,0.8190903438413729,0.024191666012420284
FLJ23867,0.8190176236580126,0.024214978882427244
TSPAN2,0.8189490225342848,0.024236982852401844
SNORA47,-0.8176169556511939,0.024666480486673324
AKR1E2,0.8171206770025901,0.024827582695740952
CDS1,0.8170278986720132,0.024857765985060842
PRSS22,0.8165763401457078,0.02500496504788246
SIRPA,-0.8153234025573721,0.02541596192147187
PIP4K2C,0.8152573548094944,0.02543773201551139
SNORD50A,-0.8145702236887677,0.02566484064953396
SCARNA2,-0.8145095116564837,0.025684961634960098
ASS1,0.814384152576371,0.025726535804661072
KIAA1468,0.8143699494797836,0.025731248514638465
NCF1C,-0.8142494295714664,0.025771257601884225
SPTSSB,0.8142086366860867,0.025784807568082015
WDR35,-0.8141841173398375,0.025792953962852104
GPX3,-0.8128908749143355,0.026224677903317232
BHMT,-0.8127883595606358,0.026259073094966088
GBP3,0.8125571495670685,0.02633673999946579
CYSLTR1,-0.812470780694897,0.02636578567846816
TBL1X,-0.8122188336987454,0.026450617769361584
SERPINB5,0.8121882896775283,0.026460912537375744
EDNRB,-0.8119724880027213,0.026533711974454626
SPINT1,0.8119385296834674,0.026545177850953575
GJB3,0.8114039776509121,0.026726033840353196
SMTNL2,-0.8112380526286662,0.02678231190825126
BOLA1,-0.8108399092255658,0.026917624568891272
TFAP2C,0.8106695825672562,0.026975628633712428
CCDC78,-0.8104011040764424,0.02706720031435439
IFI27,0.8099480340149496,0.0272221271072341
WRN,-0.8097241528220926,0.02729886634446994
VANGL1,0.8082151061095253,0.027819284452004607
STYK1,0.808167027349364,0.027835955843081652
MPZL2,0.8073807110272857,0.02810940779270314
TMEM170A,0.8069245991767166,0.028268714109090577
MIR614,0.8067079651563762,0.028344554802339838
FAM13A,0.8065464801797672,0.028401162671959933
FAM160A1,0.8063882161615419,0.02845670289148082
KLHDC7B,0.8063570978655146,0.02846763051485307
SERPINA5,-0.8062773121799893,0.02849565911643843
GATC,-0.8061938124575565,0.028525009013305225
APBB2,0.8044291212818131,0.029149256419170943
CASP14,0.8037600755110776,0.029387907451548383
SAA1,0.8028470663241949,0.02971534017825027
FBXL4,-0.8027115891350008,0.02976409948715829
MRPL33,-0.802678720876143,0.02977593577767216
HRASLS2,0.8026209395341245,0.029796749981093437
LGALS2,-0.8019448157604837,0.03004091080101856
PEX13,0.8016711227563467,0.030140063513035317
CXCL17,0.8016689916645,0.030140836276078217
DHCR24,0.8011471443240604,0.030330398990592068
EVA1C,0.800912264267224,0.030415936910852676
DCAF5,0.8008110445415647,0.03045284035334459
C10orf11,-0.8004319180795372,0.030591287547447946
FABP7,-0.8002140343212633,0.030671011991071633
ATP6V0C,0.7997124258299503,0.03085499341012845
TACSTD2,0.7993785738389964,0.030977785616306527
CCAT1,-0.7992719635989908,0.031017054750969376
WNT7B,0.7990891495045742,0.031084457761868533
TRPV4,0.7987780143363186,0.031199360393354452
MMP13,0.7987611696732548,0.031205587910059167
TSPAN12,-0.7987397902052382,0.03121349295628788
SNORD45B,-0.7983395450579228,0.031361689917672846
FLI1,-0.798220123019456,0.03140598374653059
HPGD,0.7981805086634972,0.031420684489445655
SCARNA4,-0.7981087649422862,0.031447318105033574
SMIM22,0.7980244737915372,0.0314786258423137
PLAT,0.7978744796352268,0.03153438027384348
SDC4,0.7978027783927069,0.03156105186099604
SEPP1,-0.7976679718426362,0.03161123160003443
AGK,-0.7975526822347226,0.03165418176868055
RCBTB2,-0.7973216016917666,0.031740366936568384
SLC7A5,0.7972884144207162,0.03175275540453583
EEF1D,-0.7968957508376942,0.03189953763529192
CEACAM5,0.7965796361185145,0.032017979674764364
SSFA2,0.7958999860684679,0.032273461339288476
PTCD3,-0.7947807562655338,0.03269665263194722
RTP4,0.7942445243798456,0.032900497119028184
MMP12,0.7941899257949381,0.03292129199353261
RCOR1,0.7941678587177016,0.03292969872454985
FBP1,0.7941480914332777,0.03293723033682482
BCL2,-0.7939838103801533,0.03299986088029053
SYT12,0.7939349647235128,0.033018495604367384
CUTC,-0.7939229304962914,0.03302308758875546
RARG,0.7936583850464378,0.03312412199666948
CEACAM6,0.7929730430164987,0.03338666629378755
MPEG1,-0.7928155745466997,0.03344715336382469
OR2A1-AS1,-0.7926244984685026,0.0335206317944111
SLC17A3,-0.7923815039033657,0.033614205318954475
PNPO,-0.7922609975500101,0.033660664406034685
CTCF,0.7921793557605737,0.03369216026618598
GNAL,-0.7920031856007606,0.03376017930325354
MZB1,-0.7919634258573931,0.033775541051827646
RPS6KA2-IT1,0.79164927549819,0.03389705447332067
MIS12,-0.7916491437244135,0.03389710549444795
SIX1,0.7911518427638244,0.034089958817952425
CXCL12,-0.7906287241962233,0.03429348196394381
SYT8,0.7904977016624549,0.03434456289298
MAX,0.7902446475159483,0.03444333934811107
SMAGP,0.7899288845274379,0.034566814889951177
LCN2,0.7888879778424391,0.034975591882143
MORC4,-0.7888150724371306,0.03500432296212016
AMICA1,-0.7887200895201458,0.03504177419255869
ARHGAP6,-0.7886261932786625,0.03507881885049824
METRN,-0.7885323389644024,0.03511586872565178
IKZF1,-0.7881159553643354,0.03528050245851897
VGLL1,0.7880692076693288,0.035299012751834086
ICE1,0.7876274363075165,0.03547420389460947
GALNT3,0.7875415018150282,0.035508338558630934
MAPK8IP1,-0.7874918218221179,0.035528080636000874
AMN1,-0.7874605023751963,0.035540529645625506
HS1BP3,-0.7870109236361114,0.035719497688127155
PTK7,0.7861056555381778,0.0360813829263617
PDPN,0.7859319441195866,0.036151056757618774
MYO1B,0.7858852071005612,0.03616981523593965
RNF146,-0.7857748524673852,0.03621412888098206
IFNE,0.7857424933485252,0.03622712861808173
RASD2,0.7856930094635208,0.03624701295717999
ELF3,0.7852072758574173,0.036442519350314485
RAB25,0.7850730623696069,0.036496642909412104
SNORD116-21,-0.784983050230863,0.03653296661789004
DCBLD1,0.7848288439742517,0.03659524200861524
TMTC1,-0.7842761661259814,0.03681892198484349
CP,0.7840269893285456,0.03692001645502643
RWDD3,-0.783821785877495,0.03700338588113093
