gene,normal_mean,tumor_mean,change_pct,direction,p_value,abs_change
VCPKMT,3.316808468528818,3.3416839552929907,0.7499826113024349,UP,0.47261072261072257,0.7499826113024349
RHOC,7.115035550409004,7.168256215640429,0.7480028013122837,UP,0.4178321678321678,0.7480028013122837
TMEM131,6.869512730553815,6.920793297603687,0.7464949707682972,UP,0.2668997668997669,0.7464949707682972
SLC25A14,3.0484323619103026,3.0711472074186763,0.7451320157925165,UP,0.4178321678321678,0.7451320157925165
SAR1A,6.9846057492342455,7.036638001082756,0.7449561752889933,UP,0.2668997668997669,0.7449561752889933
ARIH1,6.730810157147704,6.680767815066189,-0.7434817044776211,DOWN,0.4178321678321678,0.7434817044776211
CLASP1,7.414990808888085,7.359885235862274,-0.7431644144421312,DOWN,0.2226107226107226,0.7431644144421312
CCDC84,4.228734518747886,4.19736221245019,-0.7418840354864619,DOWN,0.5273892773892773,0.7418840354864619
LOC101928118,1.7084407432390674,1.6958332504933842,-0.7379531772217267,DOWN,0.4178321678321678,0.7379531772217267
PARL,4.7573192303442475,4.722226932624845,-0.7376485793841346,DOWN,0.2668997668997669,0.7376485793841346
LOC101928453,0.6272344069826,0.631853989569975,0.7365001881191585,UP,0.4178321678321678,0.7365001881191585
COMT,5.459195140307949,5.499396424321679,0.7363958052516647,UP,0.47261072261072257,0.7363958052516647
PIK3IP1,5.590561402271812,5.631657675505637,0.735101008230128,UP,0.36538461538461536,0.735101008230128
STRN4,5.656110616446695,5.697521796346273,0.7321493992561533,UP,0.5273892773892773,0.7321493992561533
PRKCD,5.284998120158381,5.3236882901074045,0.7320753776893334,UP,0.4178321678321678,0.7320753776893334
HLCS,5.323232524364241,5.36220051187329,0.7320361703287264,UP,0.47261072261072257,0.7320361703287264
PIH1D1,5.0627345569538456,5.025791137446897,-0.7297127489373335,DOWN,0.4178321678321678,0.7297127489373335
PPP2R4,6.64052359020564,6.5920866225138335,-0.7294148877544522,DOWN,0.47261072261072257,0.7294148877544522
VPS4B,6.18396122574077,6.138886782052401,-0.7288927281876642,DOWN,0.47261072261072257,0.7288927281876642
ROMO1,4.453608103407302,4.486033360403013,0.7280671366414888,UP,0.4178321678321678,0.7280671366414888
TMEM220-AS1,1.2810557234803797,1.2903600960227497,0.7263050601024497,UP,0.11713286713286714,0.7263050601024497
VPS13C,8.84372793397255,8.907868853953682,0.7252701627640374,UP,0.2226107226107226,0.7252701627640374
TOX,3.665713247598825,3.639168972403586,-0.7241230669809442,DOWN,0.47261072261072257,0.7241230669809442
ANAPC4,5.260064007660079,5.298141341798335,0.7238948819406984,UP,0.36538461538461536,0.7238948819406984
RAB40A,1.4916346089199042,1.480858196262887,-0.7224565984574697,DOWN,0.5273892773892773,0.7224565984574697
SNX16,4.135018554590633,4.105151351749707,-0.7222991250611827,DOWN,0.2226107226107226,0.7222991250611827
ELL,4.613272865101603,4.6465299916323195,0.7209009200886274,UP,0.36538461538461536,0.7209009200886274
FIP1L1,5.672514614234295,5.713385080777625,0.7204999779246414,UP,0.4178321678321678,0.7204999779246414
VBP1,5.04811068470864,5.084395285153701,0.7187758492493358,UP,0.36538461538461536,0.7187758492493358
CLDN20,1.9558648327288362,1.9699076813126737,0.7179866598575143,UP,0.5273892773892773,0.7179866598575143
RTEL1,1.1201323186854186,1.128161235179812,0.7167828622082886,UP,0.36538461538461536,0.7167828622082886
CINP,4.0494030408196116,4.0203981908216955,-0.7162747127301364,DOWN,0.5273892773892773,0.7162747127301364
TCF25,6.447285817210058,6.40111214657112,-0.7161722304242211,DOWN,0.47261072261072257,0.7161722304242211
ATG9A,5.716132984567682,5.67521204221235,-0.7158850654071389,DOWN,0.5273892773892773,0.7158850654071389
ALG13,5.805457685588222,5.763902291261873,-0.7157987634550926,DOWN,0.36538461538461536,0.7157987634550926
SYDE1,4.4464927584051495,4.414682783029625,-0.7153947415160933,DOWN,0.2668997668997669,0.7153947415160933
CLTC,9.656468635464918,9.587582721808841,-0.7133654781736917,DOWN,0.4178321678321678,0.7133654781736917
ATAD3C,2.718827949010534,2.7382138132199265,0.7130228382582215,UP,0.4178321678321678,0.7130228382582215
HMG20B,5.729658675243482,5.770397000439238,0.7110078890349371,UP,0.47261072261072257,0.7110078890349371
NCSTN,6.571191977984131,6.52449061795894,-0.7106984574740336,DOWN,0.47261072261072257,0.7106984574740336
TIMM8A,3.107029988765964,3.0849875690243356,-0.7094369806962555,DOWN,0.47261072261072257,0.7094369806962555
CLTB,5.3062830287998874,5.268646315671276,-0.7092858206834757,DOWN,0.2668997668997669,0.7092858206834757
C8orf33,5.02859765068303,5.064261287644075,0.7092163549056482,UP,0.18298368298368298,0.7092163549056482
SEC22B,6.426033806969472,6.471585600154656,0.7088632670400807,UP,0.3141025641025641,0.7088632670400807
EDN1,3.9771903098437384,3.9490048236024324,-0.70867833936801,DOWN,0.5273892773892773,0.70867833936801
UBE3C,6.897709847864097,6.946556273991034,0.7081542599542957,UP,0.36538461538461536,0.7081542599542957
NOL4L,5.540443065511167,5.5795474288024565,0.7057984863108004,UP,0.3141025641025641,0.7057984863108004
SYNM,4.659675827681274,4.626812526804644,-0.7052701108820144,DOWN,0.5273892773892773,0.7052701108820144
AGTRAP,4.518637161639467,4.550343115616448,0.7016707215650162,UP,0.36538461538461536,0.7016707215650162
BANP,4.191361417429078,4.220744362310285,0.7010358199849576,UP,0.47261072261072257,0.7010358199849576
ACP2,5.396589671354934,5.434408079100402,0.700783458601792,UP,0.14743589743589744,0.700783458601792
CDC26,3.043257627300825,3.0645683504054335,0.7002602380236076,UP,0.47261072261072257,0.7002602380236076
C11orf58,7.0984363301887505,7.048734870833263,-0.7001747574196536,DOWN,0.5273892773892773,0.7001747574196536
NID1,6.7864659192900225,6.8339741084265295,0.7000431402958722,UP,0.18298368298368298,0.7000431402958722
HSPD1,8.625022551028602,8.685271517103796,0.6985369107007079,UP,0.2226107226107226,0.6985369107007079
ZMYM6NB,3.9724958068052936,4.0002310331895385,0.698181388555066,UP,0.47261072261072257,0.698181388555066
PLS3-AS1,1.4487120704673548,1.4588081446336199,0.6968999825485003,UP,0.3141025641025641,0.6968999825485003
NOTCH3,6.773733024686934,6.726529562395972,-0.6968603887830984,DOWN,0.4178321678321678,0.6968603887830984
NOSIP,4.750077586644963,4.7830690661274184,0.6945461180510484,UP,0.4178321678321678,0.6945461180510484
GLIS3,6.532950470682068,6.578176916704619,0.6922820894711152,UP,0.2668997668997669,0.6922820894711152
ZCCHC11,6.613948682061188,6.568403130735214,-0.6886287377690993,DOWN,0.3141025641025641,0.6886287377690993
GTPBP1,5.73931823997489,5.778830241455827,0.6884441640774086,UP,0.3141025641025641,0.6884441640774086
MANBAL,4.589842855833038,4.558267691743353,-0.6879356239736516,DOWN,0.47261072261072257,0.6879356239736516
NPEPL1,1.070015505787629,1.0626709794512956,-0.6863943836895319,DOWN,0.11713286713286714,0.6863943836895319
CTTN,7.777668352354408,7.830873495357358,0.6840757485737247,UP,0.4178321678321678,0.6840757485737247
ZNF155,2.980824792907993,2.9604803208819264,-0.6825115006581595,DOWN,0.5273892773892773,0.6825115006581595
SIPA1L3,6.557475136540013,6.602042892600016,0.6796481135194755,UP,0.36538461538461536,0.6796481135194755
USP34,8.588479029513163,8.646704403610816,0.6779474444493475,UP,0.2668997668997669,0.6779474444493475
HYOU1,7.474694935497989,7.424037837167769,-0.6777145926002229,DOWN,0.5273892773892773,0.6777145926002229
RNU12,6.574112926253249,6.618653440528569,0.6775136778903086,UP,0.5273892773892773,0.6775136778903086
IK,6.287979905768545,6.330571594058244,0.6773508969172506,UP,0.36538461538461536,0.6773508969172506
FAM131A,3.774872791243247,3.7493036659579064,-0.6773506472762378,DOWN,0.5273892773892773,0.6773506472762378
ZSCAN29,4.955661217815858,4.922161203496315,-0.6759948440201822,DOWN,0.4178321678321678,0.6759948440201822
VAC14,5.394716633894181,5.431103654836122,0.6744936464934234,UP,0.2226107226107226,0.6744936464934234
ADIPOR2,6.2571599999066505,6.299339397471241,0.6740981142438323,UP,0.47261072261072257,0.6740981142438323
PEX13,5.736726290594368,5.775388877786496,0.6739486116936999,UP,0.47261072261072257,0.6739486116936999
NOMO3,3.308808980815577,3.2865452965439217,-0.6728609720518766,DOWN,0.36538461538461536,0.6728609720518766
SNORA70G,1.2645998969069354,1.2561096782798649,-0.6713758753133418,DOWN,0.5273892773892773,0.6713758753133418
ACTR1A,6.467682774305644,6.424262240302778,-0.6713460681059406,DOWN,0.36538461538461536,0.6713460681059406
PPOX,3.736894942109684,3.7118569223672226,-0.6700220404999127,DOWN,0.11713286713286714,0.6700220404999127
SNRNP40,4.786655065833324,4.818726449716352,0.6700166074624883,UP,0.18298368298368298,0.6700166074624883
DHX40,6.376730348821152,6.33416035334504,-0.6675834345728828,DOWN,0.36538461538461536,0.6675834345728828
DHX36,6.218636754769874,6.260094552906125,0.6666702007389544,UP,0.47261072261072257,0.6666702007389544
SNAP47,4.459377461931138,4.429678565298067,-0.6659875035608568,DOWN,0.47261072261072257,0.6659875035608568
N6AMT2,2.310061943024342,2.325380003087813,0.6631017020875547,UP,0.36538461538461536,0.6631017020875547
SKIV2L,5.496764036660146,5.533136029109732,0.6616982684176889,UP,0.36538461538461536,0.6616982684176889
MAGT1,7.491199332864682,7.5406717468822455,0.6604071233363445,UP,0.36538461538461536,0.6604071233363445
RNF19A,7.282154031610056,7.234067740277555,-0.6603305989377592,DOWN,0.47261072261072257,0.6603305989377592
TAZ,3.9820897000913065,4.008366773643801,0.6598815077393192,UP,0.4178321678321678,0.6598815077393192
DUSP28,2.2214670598126016,2.2361231887558533,0.6597500007264566,UP,0.36538461538461536,0.6597500007264566
ZNF652,6.915051725764235,6.869447031590353,-0.6594989594071716,DOWN,0.2668997668997669,0.6594989594071716
NKTR,7.396133491256731,7.347368153656747,-0.6593355522535037,DOWN,0.36538461538461536,0.6593355522535037
CMTR1,5.888978380277428,5.85030883685517,-0.6566426453825122,DOWN,0.5273892773892773,0.6566426453825122
NUDT18,2.797194113368775,2.8155002576813226,0.6544466908841299,UP,0.5273892773892773,0.6544466908841299
SNORA57,6.436984700253068,6.3948719060714865,-0.6542316960909611,DOWN,0.2668997668997669,0.6542316960909611
TMEM5,4.141578582414437,4.168582348591756,0.6520162696412477,UP,0.4178321678321678,0.6520162696412477
LZTS2,5.443664721021321,5.479055242068148,0.6501230854678289,UP,0.47261072261072257,0.6501230854678289
C4orf27,3.8468569444321097,3.871859714228972,0.6499531996647582,UP,0.3141025641025641,0.6499531996647582
IFITM2,5.750979783363591,5.788329643754699,0.6494521246475939,UP,0.47261072261072257,0.6494521246475939
PREB,5.285884612315809,5.320135379571542,0.6479666085773138,UP,0.36538461538461536,0.6479666085773138
MKRN7P,0.9919878081489394,0.9984086794874362,0.6472732109962319,UP,0.14743589743589744,0.6472732109962319
USP9X,8.684218958232803,8.74038597118044,0.6467710362644707,UP,0.14743589743589744,0.6467710362644707
RMRP,12.746573571666586,12.828979350548972,0.6464935727163531,UP,0.5273892773892773,0.6464935727163531
SCARB2,8.0960222721981,8.043707964147913,-0.6461729759543211,DOWN,0.36538461538461536,0.6461729759543211
PIGU,4.165979913312452,4.192894063568266,0.6460460879758229,UP,0.36538461538461536,0.6460460879758229
FKBP9,6.627510690260955,6.670276415322183,0.6452758367341725,UP,0.5273892773892773,0.6452758367341725
EDF1,6.89733115732728,6.852832904311605,-0.6451517550872257,DOWN,0.36538461538461536,0.6451517550872257
FIG4,5.082757564161713,5.1155429981069735,0.6450324165848328,UP,0.2668997668997669,0.6450324165848328
PSMC6,5.941313267386627,5.9796045323536,0.6444916004877799,UP,0.2226107226107226,0.6444916004877799
C5orf15,6.389097096737924,6.347987474224818,-0.6434339921691732,DOWN,0.36538461538461536,0.6434339921691732
FAM35DP,2.0273686416448773,2.0404088557299804,0.6432088282929712,UP,0.36538461538461536,0.6432088282929712
SMAD7,4.987469681390514,5.019526559430836,0.6427483290762499,UP,0.36538461538461536,0.6427483290762499
COPS5,5.516525284905249,5.481081045490646,-0.6425102321490131,DOWN,0.3141025641025641,0.6425102321490131
ADRA2A,2.3767534883667385,2.3920142051060926,0.6420824378316586,UP,0.47261072261072257,0.6420824378316586
ZNF100,4.457733705447138,4.429164736920333,-0.6408854905777667,DOWN,0.36538461538461536,0.6408854905777667
POLR2I,3.922011483213506,3.8968764419079926,-0.6408711808492444,DOWN,0.47261072261072257,0.6408711808492444
MCPH1,5.170165826110424,5.137032141696954,-0.6408630888807885,DOWN,0.5273892773892773,0.6408630888807885
GRHL1,4.032288344458387,4.058009611094755,0.6378826224498022,UP,0.36538461538461536,0.6378826224498022
PTPRA,6.586057366550572,6.62797151844961,0.6364073309156429,UP,0.36538461538461536,0.6364073309156429
TOPORS,5.723317758193954,5.7597197778992095,0.6360300308879393,UP,0.47261072261072257,0.6360300308879393
LRRC1,4.6869103470215165,4.716668377602098,0.6349178537091651,UP,0.18298368298368298,0.6349178537091651
PPAPDC1B,5.027532077825518,5.059432843132707,0.6345213678076839,UP,0.5273892773892773,0.6345213678076839
UBE2N,5.969655715408098,6.00748611266932,0.6337115415815308,UP,0.3141025641025641,0.6337115415815308
WASF2,7.033837414382691,7.078370798928703,0.633130706930346,UP,0.47261072261072257,0.633130706930346
HRASLS2,1.7259916835914175,1.7368968748443192,0.631821772756768,UP,0.4178321678321678,0.631821772756768
LSM1,4.408677525089747,4.436529286300688,0.6317486605095819,UP,0.47261072261072257,0.6317486605095819
DCP1A,5.567391526131678,5.60251030515962,0.630794131562409,UP,0.36538461538461536,0.630794131562409
PTPRS,7.253303161108739,7.298970728265209,0.6296106221139859,UP,0.5273892773892773,0.6296106221139859
BBX,7.7906999903931675,7.741691922911426,-0.6290585896283298,DOWN,0.47261072261072257,0.6290585896283298
GPBP1,7.058528595645174,7.014205890613939,-0.6279312243429981,DOWN,0.5273892773892773,0.6279312243429981
CEP85,4.374820120422776,4.347379859615583,-0.6272317501488792,DOWN,0.36538461538461536,0.6272317501488792
TLN1,9.30593495008336,9.364243038969196,0.6265688423419886,UP,0.2668997668997669,0.6265688423419886
MIPOL1,4.597955346939116,4.569213457221899,-0.62510154076096,DOWN,0.47261072261072257,0.62510154076096
EXOC4,6.869388436756457,6.826625185912337,-0.6225190384533161,DOWN,0.47261072261072257,0.6225190384533161
RUNDC1,4.949729645930596,4.918928837332927,-0.6222725441780799,DOWN,0.2226107226107226,0.6222725441780799
SEC16A,7.362359870326415,7.316629738253567,-0.6211341591323235,DOWN,0.18298368298368298,0.6211341591323235
YWHAB,8.175177258172033,8.225896809416763,0.6204091928897403,UP,0.18298368298368298,0.6204091928897403
GSDMD,5.643291437226282,5.678279742905518,0.6199982061609234,UP,0.4178321678321678,0.6199982061609234
CYB5B,6.247008654761557,6.208287928151362,-0.6198282850253662,DOWN,0.3141025641025641,0.6198282850253662
ABCC9,5.525112565000263,5.490884324173864,-0.6195030494622493,DOWN,0.47261072261072257,0.6195030494622493
RBMX,7.313212926210059,7.2681582571342025,-0.6160721632264192,DOWN,0.36538461538461536,0.6160721632264192
VDAC3,6.295509242312719,6.3342893345683775,0.6159961134678916,UP,0.4178321678321678,0.6159961134678916
FTO-IT1,1.8335692179038716,1.822307216348262,-0.6142119667826992,DOWN,0.3141025641025641,0.6142119667826992
PAXBP1,6.014629792128891,5.977767888215591,-0.6128707033895839,DOWN,0.47261072261072257,0.6128707033895839
DOCK7,6.537142007090806,6.577120653789367,0.6115615456295174,UP,0.36538461538461536,0.6115615456295174
CASP6,3.8567786580068613,3.8332282085437304,-0.6106248647232843,DOWN,0.4178321678321678,0.6106248647232843
ACTA2,6.554405911970311,6.51452783910524,-0.6084162836519149,DOWN,0.36538461538461536,0.6084162836519149
CETP,2.0607509057956626,2.0732849170769425,0.6082254408346618,UP,0.18298368298368298,0.6082254408346618
MBIP,4.610925175405366,4.638926113926315,0.6072737564752988,UP,0.4178321678321678,0.6072737564752988
NIPA2,5.650763601920931,5.68503224013038,0.6064426088856285,UP,0.47261072261072257,0.6064426088856285
RSL24D1,5.957670684988773,5.921708238955161,-0.6036326600633382,DOWN,0.2668997668997669,0.6036326600633382
