gene,r_depth,p_depth,n_mean,t_mean
KCNAB1,0.9189872278754849,1.2992302902810203e-06,0.5907505745367045,0.7356089743589743
KIAA0430,-0.9187532802981521,1.3230497273223703e-06,0.8971250151193869,0.5621736596736596
IFNL1,0.9182758867159144,1.3727897466554367e-06,0.11995480775097374,0.3292890442890443
L3MBTL4,-0.918254949975837,1.3750064479088708e-06,0.452995030137086,0.6393706293706294
PDXDC1,0.9180137938827364,1.4007556199472364e-06,0.931060947453039,0.2524358974358974
NOVA2,0.9176489954459262,1.4404719264956536e-06,0.10085086022621809,0.767333916083916
UBE2NL,0.9175619712869768,1.450084175995427e-06,0.17710287926647683,0.9054079254079254
PLCB1,0.917090807003359,1.5030626884107718e-06,0.8099720518801024,0.565719696969697
WDR35,0.9170771846029337,1.5046181490945452e-06,0.5970429155101896,0.7184965034965034
PGBD2,0.917059672069498,1.5066197772670684e-06,0.48197769074243946,0.5946590909090909
PBOV1,0.9165325113924924,1.5679232730483646e-06,0.1222818553441279,0.4254924242424243
ZFP92,0.9161287080752176,1.6162793482842597e-06,0.3365923417227644,0.7277301864801864
TACR2,0.9161169694978681,1.6177034875592785e-06,0.32204240707062814,0.5289801864801865
GLI1,0.9160591985565549,1.6247276221604332e-06,0.16334182873400685,0.669433275058275
MYL10,0.9160272420410773,1.6286240216658534e-06,0.18740707598013762,0.8161378205128205
SPRR4,0.9157197988534459,1.6665106407935364e-06,0.206743300104578,0.8218560606060605
SIRT3,0.9153919202524241,1.7077242911769906e-06,0.22882081626492803,0.8558158508158508
ZNF641,0.9153595431404113,1.711839816281648e-06,0.581766715084385,0.7970600233100232
FAM214B,0.9150580095258035,1.7505680364677734e-06,0.6546309210462936,0.8420221445221444
DNAJB13,0.915048813262483,1.7517605878159557e-06,0.18779509564550942,0.4840763403263404
C11orf16,0.9150377930354632,1.7531905608328482e-06,0.1058303567319003,0.8518851981351981
TCTN3,0.915035784391034,1.7534513054701705e-06,0.7098174862533999,0.8400844988344988
NEGR1,0.9146563185010035,1.8032951332663152e-06,0.12060239919249088,0.15082604895104892
TMEM63B,0.9143262192607322,1.8476120736577649e-06,0.5716032758493349,0.8307808857808857
IL20,0.9139797033656535,1.8951082384640456e-06,0.3155322398849963,0.46405157342657344
BCAN,0.9137534320064564,1.9266698518614542e-06,0.28964517341000245,0.7828205128205129
SMPDL3B,0.9137287291393097,1.9301419745011834e-06,0.5038261415003356,0.8106148018648016
SAMD14,0.9133559558778839,1.9831752867788814e-06,0.4465137637265301,0.8618720862470862
PRB4,0.9124910068367793,2.1109340181270096e-06,0.15257575481866897,0.7206351981351983
KCNG1,0.9122829679961333,2.142666857849485e-06,0.3649761140445992,0.5852986596736597
NXPE4,0.9121798084248002,2.158549266813234e-06,0.226826662784686,0.5133741258741259
RECQL5,0.9121195965290796,2.1678648229167354e-06,0.5842639561307642,0.829892191142191
SLAMF7,0.9120163459818538,2.1839171618498695e-06,0.4203489286910838,0.7650320512820514
SLC4A8,0.911376360993792,2.285646291763804e-06,0.1955736857372534,0.7947465034965037
COL9A2,0.911219336418839,2.3112015841876502e-06,0.6461667403458031,0.6200174825174826
PLCD1,0.9108054770161411,2.3797016288488607e-06,0.5864780766213068,0.8281264568764569
NNAT,0.9107200986383621,2.3940418745337556e-06,0.08467980617213508,0.7586844405594405
SPRED3,0.9098483295742588,2.5446418037291906e-06,0.2160177729062726,0.7548921911421911
CA1,0.9096723007770426,2.575990805819882e-06,0.19098327929601988,0.8094347319347318
LHPP,0.9093135962180954,2.640871255093416e-06,0.8567217315631787,0.6422494172494173
EPHA8,0.9091248685716193,2.675551201720323e-06,0.6489128491775588,0.7760766317016317
TPBGL,0.9084701627704977,2.7988192835513502e-06,0.16454495729642876,0.36591928904428905
SCNM1,0.9080587419693904,2.8786796898530888e-06,0.6292276749540532,0.8235664335664334
NEUROD4,0.9080058445419938,2.889084129888668e-06,0.11558864991634825,0.21863927738927735
SLC6A13,0.9079033830584353,2.909326650084746e-06,0.5846423422044441,0.6647217365967367
C1orf194,0.9078040651296637,2.9290609604781737e-06,0.19121073909985858,0.7071314102564104
SHISA7,0.9075647866357137,2.977064440907511e-06,0.1318041255321221,0.5176267482517481
LRRC17,0.9070373024380891,3.085209789636338e-06,0.5464157151710872,0.4240355477855477
NAT2,0.9063492794944226,3.231177879314488e-06,0.45209643011203865,0.6311349067599067
PRG4,0.906178066801345,3.268383224932541e-06,0.2929243409820483,0.07629516317016313
DEFB118,0.906009174915331,3.3054337562562514e-06,0.12405818261222325,0.7467176573426573
PLXDC1,0.9055735035858065,3.4026300062387308e-06,0.31757991331908275,0.6566215034965034
MDGA1,0.9053680740794031,3.449280752612571e-06,0.3388524893736131,0.671522435897436
NAMPT,-0.9053217053604354,3.459884038020134e-06,0.6619845627045132,0.887298951048951
SUFU,0.9049693833553873,3.5413424117619765e-06,0.27382681585175395,0.7340122377622376
