rcc_type,gene_a,gene_b,r,n,method,low_power
chRCC,EZH2,KDM5C,0.2077670570615082,150,approx_depth_corr,False
chRCC,EZH2,KDM6A,0.13104884585527643,150,approx_depth_corr,False
chRCC,DNMT3A,DNMT3B,-0.5196164065924016,150,approx_depth_corr,False
chRCC,DNMT3A,KDM1A,0.5143676214537615,150,approx_depth_corr,False
chRCC,DNMT3A,HDAC1,0.49793124023302654,150,approx_depth_corr,False
chRCC,DNMT3A,HDAC2,0.2744768660561396,150,approx_depth_corr,False
chRCC,DNMT3A,SETD2,-0.14140297026583282,150,approx_depth_corr,False
chRCC,DNMT3A,PBRM1,,150,unavailable,False
chRCC,DNMT3A,KDM5C,0.3817693151629659,150,approx_depth_corr,False
chRCC,DNMT3A,KDM6A,0.24080058139464697,150,approx_depth_corr,False
chRCC,DNMT3B,KDM1A,-0.3742807101628402,150,approx_depth_corr,False
chRCC,DNMT3B,HDAC1,-0.3623207418848664,150,approx_depth_corr,False
chRCC,DNMT3B,HDAC2,-0.19972368412384145,150,approx_depth_corr,False
chRCC,DNMT3B,SETD2,0.10289217657334303,150,approx_depth_corr,False
chRCC,DNMT3B,PBRM1,,150,unavailable,False
chRCC,DNMT3B,KDM5C,-0.2777952663383593,150,approx_depth_corr,False
chRCC,DNMT3B,KDM6A,-0.17521906288985795,150,approx_depth_corr,False
chRCC,KDM1A,HDAC1,0.3586608425797274,150,approx_depth_corr,False
chRCC,KDM1A,HDAC2,0.19770622144990785,150,approx_depth_corr,False
chRCC,KDM1A,SETD2,-0.10185283501208987,150,approx_depth_corr,False
chRCC,KDM1A,PBRM1,,150,unavailable,False
chRCC,KDM1A,KDM5C,0.2749891816053861,150,approx_depth_corr,False
chRCC,KDM1A,KDM6A,0.17344912798858342,150,approx_depth_corr,False
chRCC,HDAC1,HDAC2,0.19138860990142542,150,approx_depth_corr,False
chRCC,HDAC1,SETD2,-0.09859817442529045,150,approx_depth_corr,False
chRCC,HDAC1,PBRM1,,150,unavailable,False
chRCC,HDAC1,KDM5C,0.2662020285422333,150,approx_depth_corr,False
chRCC,HDAC1,KDM6A,0.16790664072632744,150,approx_depth_corr,False
chRCC,HDAC2,SETD2,-0.05435071296680477,150,approx_depth_corr,False
chRCC,HDAC2,PBRM1,,150,unavailable,False
chRCC,HDAC2,KDM5C,0.14673973558651385,150,approx_depth_corr,False
chRCC,HDAC2,KDM6A,0.09255592903752843,150,approx_depth_corr,False
chRCC,SETD2,PBRM1,,150,unavailable,False
