gene,r_depth,p_r_depth,OS_p,hi_OS,lo_OS,OS_gap
CD274,0.0873655217523769,0.09289614493544383,0.20378288479451984,27.82693989071038,25.584670329670328,2.242269561040054
ZEB1,-0.11653826351345563,0.024783252192555498,0.2088400671836905,27.173989071038253,26.241208791208788,0.9327802798294655
ARG1,-0.5402837952365391,1.6765787588903198e-29,0.21270231001217413,29.128415300546447,24.276043956043956,4.85237134450249
ELF3,0.21118934894133623,4.124229072451721e-05,0.2205113633299368,26.203060109289616,27.217472527472527,-1.0144124181829106
GZMB,0.14124297163587518,0.0064296597826446035,0.2364149524518779,28.135956284153,25.273956043956048,2.862000240196952
IDH1,-0.4632238897112449,3.934034400087933e-21,0.24356944174733325,25.76382513661202,27.659120879120874,-1.8952957425088535
KEAP1,-0.25768529243657373,4.857735717794454e-07,0.25998170765790213,27.303497267759564,26.11098901098901,1.1925082567705552
CTNNB1,-0.05273171828326704,0.3110782698883627,0.278465540251803,25.626284153005464,27.797417582417587,-2.171133429412123
PDCD1,0.3934391459446848,3.480502343278973e-15,0.30978954517961993,28.3368306010929,25.071978021978023,3.2648525791148764
HNF4A,-0.5651878467803175,1.065743158809436e-32,0.38146255784504945,26.37393442622951,27.045659340659338,-0.6717249144298272
TIGIT,0.29495924852124944,6.9762751405634706e-09,0.38870117208985056,27.161803278688527,26.25346153846154,0.9083417402269873
FGF21,-0.36627329940151876,3.196522332248142e-13,0.3922127096690896,27.714262295081962,25.697967032967036,2.0162952621149266
KRT19,0.6544086703531198,1.0119853982070403e-46,0.42596529675974104,27.40426229508197,26.00967032967033,1.3945919654116388
SMARCA4,0.6070652282039781,9.959116998978536e-39,0.4374548376327424,25.778415300546442,27.64445054945055,-1.866035248904108
ARID2,0.3564767973556482,1.47427760281752e-12,0.45615565422324933,26.11918032786885,27.301813186813177,-1.1826328589443271
RPL22,0.1983891323067839,0.00011974303240836486,0.5049277354834842,25.380273224043712,28.04478021978022,-2.664506995736506
GPC3,0.17118862961124223,0.0009307275427540354,0.5178763102726764,26.518797814207648,26.899999999999995,-0.3812021857923469
FOXP3,-0.12015103051188075,0.020620892333855178,0.5247113825285084,27.110437158469946,26.30510989010989,0.8053272683600561
AFP,0.457228055644977,1.4501560604387908e-20,0.5341220619877611,25.29622950819672,28.129285714285714,-2.833056206088994
IFNG,0.24424096252562835,1.9279739514771596e-06,0.5352955267733965,28.570983606557377,24.83653846153846,3.734445145018917
SMAD3,0.2148571388140657,3.001988838542375e-05,0.5410688536029485,25.582240437158465,27.841703296703294,-2.259462859544829
SNAI1,0.14645957065240955,0.004702314746625229,0.5424069037598361,27.187103825136617,26.228021978021975,0.9590818471146427
LAG3,0.2732664720451265,8.900600218657747e-08,0.5607383402499095,28.000765027322412,25.409890109890107,2.5908749174323056
PROM1,0.6244469800344914,1.6704903402274884e-41,0.5676137197084863,27.052295081967213,26.36357142857143,0.6887236533957832
TGFB1,0.4866267152312384,1.8768783824924686e-23,0.5722924777773524,26.926612021857927,26.489945054945057,0.43666696691287044
VIM,0.30978249065167973,1.078526550694976e-09,0.5812145328225893,27.376721311475414,26.037362637362634,1.3393586741127805
ALB,-0.4786947615092013,1.2030982549259554e-22,0.5879048168154288,27.172349726775963,26.242857142857137,0.9294925839188259
TSC1,0.31252859722575793,7.543580186896045e-10,0.6073870668315129,25.42420765027322,28.000604395604395,-2.5763967453311736
GLUL,-0.3254226792120014,1.3398253015105552e-10,0.6168303433210357,25.921256830601095,27.500824175824174,-1.5795673452230794
HDAC3,0.08282554852518673,0.11123045735840571,0.6184391452549951,27.68398907103825,25.728406593406593,1.9555824776316584
TP53,0.23388615929541007,5.286922818171489e-06,0.6369236359050331,26.222732240437153,27.197692307692304,-0.9749600672551502
CTLA4,0.370996638204022,1.5010652302219802e-13,0.6606900366227031,26.48016393442623,26.938846153846153,-0.4586822194199236
MYC,0.07303020798894623,0.16038155711687618,0.6610317395536778,25.510601092896174,27.91373626373626,-2.4031351708400877
