gene,r_depth,p_depth,r_TI,r_depth_T1,r_depth_T2,mean_normal,mean_tumour,T_minus_N,p_OS_pooled,med_OS_hi,med_OS_lo
FABP1,-0.6709631546603056,2.7151913553866072e-39,-0.6110206914094956,-0.7052052071821641,-0.7538796859274985,9.012378125000001,1.776558275862069,-7.235819849137933,0.72920922558812,734.5,803.0
TPSB2,0.6657266446104977,1.6916100637660396e-38,0.6397112594782502,0.33700632546651366,0.7274970004622544,6.517771875,8.363467586206896,1.8456957112068961,0.7574686841591005,761.0,792.0
C17orf28,0.6613923492935248,7.478845522679619e-38,0.6592371489370262,0.39521881640380674,0.7590284293309394,9.043603125,8.594440344827587,-0.4491627801724132,0.8763000963323494,665.0,824.0
SLC5A2,-0.6612756560779927,7.781547267402931e-38,-0.682425838400234,-0.6045052921240075,-0.6360293760110995,8.88110625,2.0594203448275863,-6.821685905172414,0.3019081970471904,761.0,791.0
AGXT2,-0.6612476762809707,7.855908629769313e-38,-0.6747164669223285,-0.4836650595685758,-0.7903403483768937,10.678459375,7.707635862068965,-2.970823512931034,0.6594637039354776,788.5,768.0
ITGB6,0.6591719624650869,1.5863066432493716e-37,0.5889187224262283,0.5692288635789222,0.764804027706117,10.40840625,9.882231724137931,-0.5261745258620696,0.43035621627679854,794.0,702.0
MS4A2,0.6573449761044988,2.9309592340714594e-37,0.6571183398889208,0.34119373192547187,0.6862790010373128,3.34468125,4.668832758620689,1.3241515086206892,0.3080763717184107,718.5,824.0
PKLR,-0.6473847358757264,7.735666836730559e-36,-0.6094572871683483,-0.5759378932586283,-0.7848800241628222,9.33043125,6.489193103448276,-2.8412381465517242,0.3342068077639448,791.5,765.0
KRT7,0.6431848785526058,2.9655664999828124e-35,0.5486356971964896,0.6426173902381946,0.4895797759505323,11.643515625,11.919492068965516,0.2759764439655168,0.03017441100640228,800.0,697.0
SLC34A1,-0.6370903370543779,2.0088616070300444e-34,-0.5935780857249294,-0.44011746441571,-0.6077903564094252,10.33128125,4.450010689655173,-5.881270560344827,0.4333468488396133,808.0,757.0
HRH1,0.6303400188267354,1.5909601875935344e-33,0.5215276932311826,0.29504314283743605,0.758522463548444,7.01845,9.115123448275861,2.0966734482758618,0.8808064696701465,750.5,792.0
HDC,0.6269021141293627,4.476209218386049e-33,0.6257567209823172,0.27359045826760153,0.683565716712206,2.7514656250000002,4.1074427586206905,1.3559771336206903,0.7564017530514657,742.0,792.0
