gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,abs_gap
AOC1,-0.0160185905125085,0.9448412651688928,0.1921882284382284,0.7526530367306645,-0.0120564407933845,restore_normal,0.7526530367306644
TFPI,-0.0164903997718962,0.8845146435945714,0.1538330419580419,0.7306816016365295,-0.0120492317169558,restore_normal,0.7306816016365295
IRX3,-0.0163828839655574,0.9318348459856288,0.2005812937062936,0.7312535522793351,-0.011980042096394,restore_normal,0.7312535522793352
KBTBD11,-0.0164854066384995,0.9498004240921142,0.2239699883449883,0.7258304357471259,-0.0119656098838906,restore_normal,0.7258304357471259
RBM34,-0.0164838395523926,0.8120277533072656,0.0888184731934731,0.7232092801137925,-0.0119212657361971,restore_normal,0.7232092801137925
SYNGR2,0.01621900329724,0.1359594147486006,0.8706351981351982,-0.7346757833865976,-0.0119157089531496,restore_normal,0.7346757833865976
REPIN1,0.0160936579645258,0.2112432578238144,0.9498892773892772,-0.7386460195654629,-0.011887516395745,restore_normal,0.7386460195654628
FITM2,0.01614054495608,0.1337838286248261,0.8680157342657343,-0.7342319056409081,-0.0118509030811854,restore_normal,0.7342319056409082
GOLM1,0.0158916386538797,0.221061493356568,0.966652097902098,-0.7455906045455298,-0.0118486564711653,restore_normal,0.7455906045455301
SPATA32,0.016228080844248,0.1939397215463841,0.9229749417249418,-0.7290352201785577,-0.0118308424913618,restore_normal,0.7290352201785577
RERGL,-0.0161243147836937,0.7618474445827638,0.0285358391608391,0.7333116054219246,-0.0118241471603589,restore_normal,0.7333116054219246
FGFR1,0.0161802859755347,0.1563826291356205,0.8842103729603731,-0.7278277438247525,-0.0117764610360127,restore_normal,0.7278277438247526
CAPZA1,0.0161344800743185,0.1649458217507233,0.8947406759906759,-0.7297948542399526,-0.0117748605340747,restore_normal,0.7297948542399526
CDKN1A,0.0160306681762473,0.1786067899695043,0.9128438228438228,-0.7342370328743185,-0.0117703102367206,restore_normal,0.7342370328743185
MTPN,-0.016489492206875,0.9664997200906412,0.2551092657342656,0.7113904543563756,-0.0117304673531547,restore_normal,0.7113904543563756
SLC16A11,0.0161360550470701,0.1332850226549964,0.8594318181818182,-0.7261467955268218,-0.0117171446648744,restore_normal,0.7261467955268218
UBE2NL,0.0160583384052384,0.1771028792664768,0.9054079254079254,-0.7283050461414485,-0.0116953688931822,restore_normal,0.7283050461414485
APOL2,0.0163424926170406,0.1243445143652907,0.8397042540792541,-0.7153597397139634,-0.0116907612648035,restore_normal,0.7153597397139634
THSD7A,0.0159081078720175,0.2254629743607309,0.9602214452214454,-0.7347584708607144,-0.0116886170143309,restore_normal,0.7347584708607144
KIAA1456,0.0160465814235919,0.1367643548544203,0.8632459207459207,-0.7264815658915004,-0.0116575455998165,restore_normal,0.7264815658915004
WHAMMP2,0.016295954542776,0.17598056583436,0.8899344405594404,-0.7139538747250804,-0.0116345598881587,restore_normal,0.7139538747250804
OCLN,0.0160871653323144,0.136037018681675,0.8590326340326341,-0.722995615350959,-0.0116309499986893,restore_normal,0.7229956153509591
IFNA1,0.0162384218090885,0.1422565725179318,0.8578001165501165,-0.7155435440321847,-0.0116192978907647,restore_normal,0.7155435440321847
FBXW12,0.016058375096219,0.1714779321174313,0.893822843822844,-0.7223449117054128,-0.0115996855410107,restore_normal,0.7223449117054128
CREB3L1,0.0161346553047309,0.1550778126608943,0.8737907925407925,-0.7187129798798981,-0.0115961861933981,restore_normal,0.7187129798798982
GALK1,-0.0164721255102791,0.9380238934481944,0.2353729603729603,0.7026509330752339,-0.01157415435953,restore_normal,0.7026509330752341
DYNLRB2,-0.0164601788269718,0.7314229564208425,0.0291899766899766,0.7022329797308658,-0.0115588804245673,restore_normal,0.702232979730866
LOC729966,0.0158238390772909,0.2438064033413576,0.9714306526806528,-0.727624249339295,-0.0115138090302795,restore_normal,0.7276242493392951
LSM12,0.016469733228815,0.090621056248401,0.7889845571095572,-0.6983635008611562,-0.0115018605559245,restore_normal,0.6983635008611562
PRB1,0.0160890673774362,0.2031274920228508,0.9159965034965034,-0.7128690114736526,-0.0114693975568859,restore_normal,0.7128690114736527
KCMF1,0.0161125460020872,0.2113428049379649,0.9214248251748252,-0.7100820202368602,-0.0114412292163214,restore_normal,0.7100820202368603
NCOA2,0.0160845217358622,0.16707591591373,0.8783828671328672,-0.7113069512191371,-0.0114410321177541,restore_normal,0.7113069512191372
SMOC1,0.0160522430903461,0.1725114024261665,0.8851529720279722,-0.7126415696018057,-0.011439495711534,restore_normal,0.7126415696018057
NLRP1,0.0163342747661406,0.1008786906022171,0.8010926573426573,-0.7002139667404401,-0.0114374873278276,restore_normal,0.7002139667404402
CLEC2D,-0.0165409380960883,0.9938173749318958,0.3083085664335663,0.6855088084983294,-0.0113389587656941,restore_normal,0.6855088084983295
PDZD11,0.0160328204271652,0.2262432952877821,0.93266317016317,-0.706419874875388,-0.0113259030000576,restore_normal,0.7064198748753879
TNNT3,0.016382865567396,0.1100065187303781,0.799800407925408,-0.6897938891950298,-0.0113008005558934,restore_normal,0.6897938891950298
RGPD3,0.0159389424203054,0.1988196709379157,0.9078001165501168,-0.708980445612201,-0.0113003984997353,restore_normal,0.7089804456122011
DNER,-0.0162235705028927,0.7350045117321089,0.0389277389277388,0.69607677280437,-0.0112928505990177,restore_normal,0.6960767728043701
ZBTB18,0.0159853178183717,0.1363832927830482,0.8415705128205129,-0.7051872200374647,-0.0112726418337529,restore_normal,0.7051872200374647
PKMYT1,0.0160940992877353,0.1870939842501479,0.8851937645687648,-0.6980997803186169,-0.011235287177194,restore_normal,0.6980997803186169
ZNF169,0.0163481651867226,0.1055541937700632,0.7921357808857808,-0.6865815871157176,-0.0112243492003299,restore_normal,0.6865815871157177
ADIG,0.0163708049101272,0.1086658438865761,0.7923149766899766,-0.6836491328034004,-0.0111918865801021,restore_normal,0.6836491328034006
PEAK1,0.0162974854925089,0.1142463694739309,0.8008449883449883,-0.6865986188710573,-0.0111898310302277,restore_normal,0.6865986188710574
CACNG6,0.0159400179040471,0.2322262909280467,0.9335722610722612,-0.7013459701442144,-0.0111794673210301,restore_normal,0.7013459701442145
NNAT,0.0165482103083722,0.084679806172135,0.7586844405594405,-0.6740046343873054,-0.0111535704386586,restore_normal,0.6740046343873055
FBXL3,0.0162743194207804,0.1832009428075069,0.8684251165501167,-0.6852241737426098,-0.0111515570783275,restore_normal,0.6852241737426098
PDXDC1,-0.0164219908999205,0.931060947453039,0.2524358974358974,0.6786250500171416,-0.0111443743958396,restore_normal,0.6786250500171416
PLSCR4,-0.0163771892126189,0.7899620115367613,0.1098863636363635,0.6800756479003977,-0.0111377275645592,restore_normal,0.6800756479003978
