gene,ilc_mean,norm_mean,pct_change,pval,abs_pct
CSPP1,8.531861764705882,8.511409486166007,0.24029249882897138,0.532063312322567,0.24029249882897138
TIE1,9.375598529411764,9.35314466403162,0.24006755146740477,0.8329661039010787,0.24006755146740477
CP110,9.527852941176471,9.505053359683796,0.23986800105069406,0.7560678671484793,0.23986800105069406
TMEM138,8.917270588235294,8.895984980237152,0.23927207662140124,0.5334672145340642,0.23927207662140124
SMAD7,9.441917156862745,9.419394861660079,0.2391055426961568,0.30809549940022196,0.2391055426961568
IFI44,8.753753921568627,8.774709881422925,-0.23882225324240394,0.9086734419328086,0.23882225324240394
TMEM14C,10.85395588235294,10.828115415019763,0.23864233380199862,0.6687572361724121,0.23864233380199862
SMARCC2,11.492998039215685,11.520459683794467,-0.23837281959687484,0.06426252311071078,0.23837281959687484
LAX1,5.043204411764705,5.0552498023715415,-0.23827488408556,0.9644811186237262,0.23827488408556
DDX59,8.980771568627452,8.959429644268774,0.2382062832797648,0.7049166264920295,0.2382062832797648
CHRDL2,2.755760784313725,2.7623094861660076,-0.23707343022493435,0.5367084247567353,0.23707343022493435
BLZF1,9.457954411764705,9.480427272727272,-0.2370448115478518,0.8299094319310777,0.2370448115478518
CIR1,9.809963725490196,9.833215415019763,-0.23646069518676424,0.28422235729038803,0.23646069518676424
MIR17HG,4.5975455882352945,4.586718181818181,0.23605998859998018,0.5825313006354865,0.23605998859998018
WDR45L,10.97025049019608,10.996096047430829,-0.2350430291193028,0.6532663602042215,0.2350430291193028
RPF1,9.38893431372549,9.366937154150197,0.23483833843753166,0.24825396030147984,0.23483833843753166
TSPAN33,8.242560294117647,8.22331976284585,0.23397522930736275,0.37600726485193825,0.23397522930736275
POT1,9.257898529411765,9.279609486166008,-0.23396412086746965,0.7455275760691393,0.23396412086746965
XAF1,9.658980392156863,9.681611462450594,-0.23375313481132118,0.6000021515937557,0.23375313481132118
CDK2,9.372320588235294,9.350522924901185,0.23311705141174419,0.3949243997693468,0.23311705141174419
TBC1D25,8.77054950980392,8.791024505928855,-0.2329079632427936,0.3706522663818249,0.2329079632427936
CAPZA1,11.55307843137255,11.579988932806327,-0.2323879719568574,0.7571515135930309,0.2323879719568574
MTCH1,11.666775980392154,11.693936758893281,-0.23226377105615095,0.7612194445048726,0.23226377105615095
LRRC37B,6.994946078431373,7.0112015810276676,-0.2318504525712387,0.42239606777299143,0.2318504525712387
UBA5,9.64260049019608,9.664988932806322,-0.2316447826882537,0.5612127600587529,0.2316447826882537
SMARCAL1,9.337961274509803,9.316503952569171,0.23031517025992376,0.19829898363906118,0.23031517025992376
FAF2,10.820613725490198,10.795773122529646,0.23009563723335544,0.20483795471084065,0.23009563723335544
C7orf28B,9.024182843137256,9.04497747035573,-0.2299024766687128,0.446901948119812,0.2299024766687128
DNAJC11,9.92818480392157,9.905423715415022,0.22978409768706554,0.24303839912163017,0.22978409768706554
MRPL10,9.72605294117647,9.748447826086956,-0.22972769932211673,0.6409799306249144,0.22972769932211673
METTL10,8.270296568627451,8.28933557312253,-0.22968070633805185,0.796740691132134,0.22968070633805185
STAG3L2,6.042952450980392,6.029124110671937,0.22935902553371418,0.955964409316083,0.22935902553371418
C6orf221,0.17759411764705885,0.17800197628458495,-0.22913152204221857,0.8818015421393626,0.22913152204221857
C7orf44,9.359373039215686,9.337996837944663,0.228916347285121,0.4801356928570113,0.228916347285121
