gene,spearman_r,p
MZB1,-0.8214285714285715,0.023448808345691494
TJP2,0.8214285714285715,0.023448808345691494
KLHDC7B,0.8214285714285715,0.023448808345691494
IL33,-0.8214285714285715,0.023448808345691494
IFI44,0.8214285714285715,0.023448808345691494
IFI35,0.8214285714285715,0.023448808345691494
TYMSOS,-0.8214285714285715,0.023448808345691494
SNORD116-16,-0.8214285714285715,0.023448808345691494
ARHGEF6,-0.8214285714285715,0.023448808345691494
GJB6,0.8214285714285715,0.023448808345691494
FAM168A,-0.8214285714285715,0.023448808345691494
ZCCHC24,-0.8214285714285715,0.023448808345691494
LYRM9,-0.8214285714285715,0.023448808345691494
ESRP1,0.8214285714285715,0.023448808345691494
BRINP1,-0.8214285714285715,0.023448808345691494
TMEM150A,-0.8214285714285715,0.023448808345691494
SSFA2,0.8214285714285715,0.023448808345691494
SIRPB1,-0.8214285714285715,0.023448808345691494
CDK5R1,-0.8214285714285715,0.023448808345691494
YTHDF2,0.8214285714285715,0.023448808345691494
PTPRK,0.8214285714285715,0.023448808345691494
ADAMTS15,-0.8214285714285715,0.023448808345691494
LOC100505812,-0.8214285714285715,0.023448808345691494
GJB3,0.8214285714285715,0.023448808345691494
SNORD34,-0.8214285714285715,0.023448808345691494
TNFRSF17,-0.8214285714285715,0.023448808345691494
TIMMDC1,0.8214285714285715,0.023448808345691494
TOP1,0.8214285714285715,0.023448808345691494
FHL1,-0.8214285714285715,0.023448808345691494
HK2,0.8214285714285715,0.023448808345691494
CD99L2,-0.8214285714285715,0.023448808345691494
EFTUD1P1,-0.8214285714285715,0.023448808345691494
PWAR5,-0.8214285714285715,0.023448808345691494
PPP6R3,0.8214285714285715,0.023448808345691494
GLTSCR2,-0.8214285714285715,0.023448808345691494
PWARSN,-0.8214285714285715,0.023448808345691494
LIMA1,0.8214285714285715,0.023448808345691494
ADH1C,-0.8214285714285715,0.023448808345691494
C17orf51,-0.8214285714285715,0.023448808345691494
CD40,0.8214285714285715,0.023448808345691494
TOPORS,0.8214285714285715,0.023448808345691494
COX17,0.8214285714285715,0.023448808345691494
CST5,-0.8214285714285715,0.023448808345691494
PDXP,-0.8214285714285715,0.023448808345691494
MFAP4,-0.8214285714285715,0.023448808345691494
ZNF654,0.8214285714285715,0.023448808345691494
SERP2,-0.8214285714285715,0.023448808345691494
CELSR1,0.8214285714285715,0.023448808345691494
LRP2,-0.8214285714285715,0.023448808345691494
SNORD116-26,-0.8214285714285715,0.023448808345691494
ARHGAP6,-0.8214285714285715,0.023448808345691494
SMEK1,0.8214285714285715,0.023448808345691494
UQCR11,-0.8214285714285715,0.023448808345691494
LINC00882,-0.8214285714285715,0.023448808345691494
KRT6A,0.8214285714285715,0.023448808345691494
AMICA1,-0.8214285714285715,0.023448808345691494
RANBP6,0.8214285714285715,0.023448808345691494
TMEM165,0.8214285714285715,0.023448808345691494
NDUFA3,-0.8214285714285715,0.023448808345691494
AMH,-0.8214285714285715,0.023448808345691494
BOLA3-AS1,-0.8214285714285715,0.023448808345691494
MST1R,0.8214285714285715,0.023448808345691494
BPHL,-0.8214285714285715,0.023448808345691494
PDZK1,-0.8214285714285715,0.023448808345691494
PKIG,-0.8214285714285715,0.023448808345691494
SNORD15A,-0.8214285714285715,0.023448808345691494
HSP90AA1,0.8214285714285715,0.023448808345691494
OR2T35,-0.8153742483272114,0.025399209718455208
SUN1,0.7857142857142859,0.03623846267982714
CTSF,-0.7857142857142859,0.03623846267982714
RAB6B,-0.7857142857142859,0.03623846267982714
GSTM4,-0.7857142857142859,0.03623846267982714
NTPCR,-0.7857142857142859,0.03623846267982714
AMIGO1,-0.7857142857142859,0.03623846267982714
TSPAN11,-0.7857142857142859,0.03623846267982714
ANGPT1,-0.7857142857142859,0.03623846267982714
SYCE3,-0.7857142857142859,0.03623846267982714
TNFSF18,-0.7857142857142859,0.03623846267982714
IGSF23,-0.7857142857142859,0.03623846267982714
AMN1,-0.7857142857142859,0.03623846267982714
LDOC1L,-0.7857142857142859,0.03623846267982714
SMTNL2,-0.7857142857142859,0.03623846267982714
RPL23AP53,-0.7857142857142859,0.03623846267982714
LMO2,-0.7857142857142859,0.03623846267982714
ZDHHC13,0.7857142857142859,0.03623846267982714
RPS17,-0.7857142857142859,0.03623846267982714
ICA1L,-0.7857142857142859,0.03623846267982714
RPS15,-0.7857142857142859,0.03623846267982714
MEIS3,-0.7857142857142859,0.03623846267982714
LINC00339,-0.7857142857142859,0.03623846267982714
SPTLC1,0.7857142857142859,0.03623846267982714
INMT,-0.7857142857142859,0.03623846267982714
ARL5B,0.7857142857142859,0.03623846267982714
TP53I11,0.7857142857142859,0.03623846267982714
HAAO,-0.7857142857142859,0.03623846267982714
PDIA4,0.7857142857142859,0.03623846267982714
PABPC3,-0.7857142857142859,0.03623846267982714
INTS6,0.7857142857142859,0.03623846267982714
PDK4,-0.7857142857142859,0.03623846267982714
BHLHA15,-0.7857142857142859,0.03623846267982714
HSPA12A,-0.7857142857142859,0.03623846267982714
ZNF343,-0.7857142857142859,0.03623846267982714
TMEM169,-0.7857142857142859,0.03623846267982714
PDE1A,-0.7857142857142859,0.03623846267982714
PDE11A,-0.7857142857142859,0.03623846267982714
RPS19BP1,-0.7857142857142859,0.03623846267982714
PARD3,-0.7857142857142859,0.03623846267982714
DMRT1,-0.7857142857142859,0.03623846267982714
SPNS3,-0.7857142857142859,0.03623846267982714
SPIN1,0.7857142857142859,0.03623846267982714
