sample_id,depth_s1_TF,depth_s2_metabolic,metab_score,depth_combined
GSM363051,0.47523892484409924,0.6091596108432947,0.7293671409174096,0.6683710752119222
GSM363052,0.4324885808635265,0.6532022857335512,0.6509829387803296,0.6415441279685884
GSM363053,0.18996261436600412,0.30000657182262597,0.10127516382312984,0.21162388872183382
GSM363054,0.5112311477163334,0.5289727301272916,0.9173209752641833,0.7142610070408147
GSM363055,0.526712389490804,0.636762921975461,0.8850286321506585,0.7535531724752017
GSM363056,0.4886285610659491,0.7067770400717239,0.5644813743432314,0.6584695735506091
GSM363057,0.15088274240414049,0.21539869227441133,0.27426353385678026,0.21838992423920037
GSM363069,0.4294847815340312,0.5152764504580356,0.37053545073499006,0.49125399446187673
GSM363070,0.7220459711672149,0.8425059628927891,0.8536660959914989,0.9100960144659686
GSM363071,0.26203284554710604,0.3855349518444855,0.3563226872896864,0.36212579526530364
GSM363072,0.17403310557929186,0.2962361447865901,0.20334730503571607,0.23726478947039986
GSM363073,0.40193850200946546,0.5747596884088354,0.6333166066473819,0.5909163616188732
GSM363074,0.289537637038823,0.2994268451177923,0.2758722474762385,0.31250635689005635
GSM363075,0.23721513566484143,0.29550736199180994,0.10614558120314044,0.23180230579498795
GSM363076,0.37369065481845887,0.5619016668720974,0.605761851348958,0.5643814855296033
GSM363077,0.4491926033303963,0.5195801668415347,0.35918590235551096,0.49769704914997676
GSM363078,0.27104902145864485,0.3784913522015033,0.3414162583387452,0.35820801245862083
GSM363079,0.44523234669209016,0.5590546435162838,0.4062666036956136,0.5275716106235345
GSM363080,0.6099206965193262,0.7710572312353363,0.7273156620815873,0.7908962789075455
GSM363081,0.4402481928990435,0.6449553020416026,0.7218253733986659,0.6651833781067616
GSM363082,0.13522043866529962,0.210897914949978,0.2004250546077102,0.18521516208249586
GSM363083,0.5058223106834461,0.6603286846065863,0.6052895684515025,0.6607880599276335
GSM363084,0.09559693350268406,0.10097290017306874,0.15177991616978592,0.10767930300903221
GSM363085,0.5166237571452563,0.6774726096704735,0.5519511187201134,0.6545641562140253
GSM363086,0.17030703391804924,0.2444603993041939,0.15254737587815126,0.19788661356949921
GSM363087,0.32064168996963466,0.37648005667183954,0.20793730444536318,0.3342799211785206
GSM363098,0.267877103195702,0.41359057123897525,0.4350315839187674,0.4021729155838784
GSM363099,0.32961916629841315,0.465862323432105,0.557131471751579,0.49052223466371897
GSM363100,0.3897307362610464,0.660439928041024,0.6933850876675127,0.6401626122221751
GSM363101,0.41563192886012884,0.5624693612891667,0.49344707479780403,0.545248377206165
GSM363102,0.11822418782461028,0.19101988555426766,0.12797390636991512,0.14573880863286873
GSM363104,0.07373243434844814,0.07010988637714638,0.15752110514197992,0.08774756480385561
GSM363105,0.46908956253822703,0.4891748234406429,0.33830214298364725,0.4870736952908206
GSM363106,0.32545414138694395,0.4159562304732821,0.386268374756479,0.4116863202858903
GSM363107,0.21631103690103537,0.2771446226457237,0.21868174036247712,0.25291398884175414
GSM363108,0.12807118737142095,0.1166908917588475,0.021237971544955436,0.08448795113580936
GSM363109,0.35061137370914486,0.41749489119227057,0.43988724245823263,0.44102131426137375
GSM363115,0.26600027405114623,0.29890827753418775,0.19545132534388088,0.27534607903034647
