gene,cl_mean,nor_mean,pct_change,pval,abs_pct
AMICA1,7.455673880597014,7.267893859649122,2.583692395267836,0.04516898481966969,2.583692395267836
CRMP1,7.04621828358209,7.233064035087719,-2.583217162176876,0.007575358929443699,2.583217162176876
CPT1A,10.673921268656716,10.956901754385965,-2.5826688243870954,2.8150945664483844e-05,2.5826688243870954
ANXA5,12.859253731343282,13.199707894736843,-2.5792552843484624,4.621156612602229e-05,2.5792552843484624
PPP6C,10.88692276119403,11.174866666666667,-2.5767099873463293,5.524058030432069e-11,2.5767099873463293
SEC22B,10.840707089552238,10.568421052631576,2.576411703930562,1.3905847973666801e-08,2.576411703930562
ATN1,12.054705970149252,12.373384210526314,-2.5755139819060644,3.272624543139403e-13,2.5755139819060644
TCEAL4,11.329955597014926,11.045534210526316,2.5749898652937806,0.01351425186319734,2.5749898652937806
UBTF,11.555363059701493,11.265284210526314,2.574980300134184,1.7157514519094904e-13,2.574980300134184
TMEM50B,9.973238059701492,10.236784210526316,-2.574501380558792,3.7976100432389384e-09,2.574501380558792
HES5,1.2072951492537314,1.176998245614035,2.5740823108780857,0.9454165406023396,2.5740823108780857
VBP1,9.813217910447761,9.56697807017544,2.573851831436324,1.0284414406750013e-09,2.573851831436324
SLC25A28,9.009190298507463,9.247169298245616,-2.5735335004983986,9.704762466017965e-09,2.5735335004983986
ZZZ3,9.87792910447761,10.138650877192982,-2.5715627835836403,8.256242605498758e-07,2.5715627835836403
TMEM2,10.859790671641791,10.587555263157892,2.571277331899387,2.17464785587534e-05,2.571277331899387
CNKSR3,7.7734223880597035,7.978522807017544,-2.570656547819149,0.024956878903182676,2.570656547819149
RPE,9.600311194029851,9.359735964912282,2.5703206801926464,1.4839996507013567e-08,2.5703206801926464
FAM45A,8.590876865671643,8.817418421052631,-2.569250369701109,3.423277729626089e-06,2.569250369701109
CTDSP1,11.354046641791044,11.653450877192983,-2.5692323978290768,2.354292916796612e-09,2.5692323978290768
MAP3K6,9.428780970149255,9.677351754385965,-2.568582712972617,0.00037075403841792416,2.568582712972617
SERAC1,7.855760447761194,8.06285,-2.568441087689896,0.0001443571776344642,2.568441087689896
LONP2,10.65455895522388,10.935283333333333,-2.567143159919213,5.897932161974397e-07,2.567143159919213
YWHAG,12.162360074626864,12.482745614035087,-2.566627161319338,0.014871581060556105,2.566627161319338
CARD16,6.969930970149253,7.153477192982457,-2.565832222310885,0.07763241732325514,2.565832222310885
MCCC2,11.583113805970148,11.293461403508774,2.5647796730538466,0.001443115584572444,2.5647796730538466
DHX38,9.997241791044777,10.260392105263156,-2.5647198617623364,5.77037346701835e-10,2.5647198617623364
SNX19,10.843005970149255,11.128396491228068,-2.5645250985060772,5.696538515744126e-09,2.5645250985060772
SAMD4B,10.823032089552239,10.552732456140351,2.5614184244253044,4.501397787794293e-10,2.5614184244253044
TMEM184B,10.861269776119403,10.590085964912282,2.5607328600128874,3.37946445596002e-09,2.5607328600128874
ALOXE3,3.088510074626865,3.011409649122807,2.5602768964533436,0.4490525887461816,2.5602768964533436
TIAM2,6.956854850746268,6.783191228070176,2.560205319841762,0.5744362847298703,2.560205319841762
KIAA1012,10.046814179104476,10.310788596491228,-2.560176798470902,5.47826770733242e-08,2.560176798470902
DDIT3,8.06140223880597,8.273205263157895,-2.56010841765431,2.8466535115648283e-05,2.56010841765431
ZNF627,9.03930932835821,8.813696491228072,2.5597981205125597,0.00046823901887016884,2.5597981205125597
CHMP2A,10.799724626865673,10.530191228070175,2.5596249199825323,4.931446358175124e-07,2.5596249199825323
MESDC2,10.499142537313432,10.237320175438596,2.557528311979547,2.2214361653925753e-14,2.557528311979547
TCF4,11.066924253731344,11.357344736842105,-2.5571160323122526,0.0005108433794734145,2.5571160323122526
TSSC4,8.87600671641791,8.654731578947368,2.5566955537800116,0.004138613678411883,2.5566955537800116
C10orf57,10.231183208955223,9.976220175438598,2.5557077633906062,1.1161476158594841e-06,2.5557077633906062
ZNF528,8.089227985074626,8.301351754385966,-2.5552919041078557,0.07265809813242916,2.5552919041078557
SMUG1,8.987055970149253,8.763137719298246,2.555229165894455,5.205083518600821e-08,2.555229165894455
NAP1L3,6.690092910447761,6.865518421052631,-2.5551677214489743,0.2144050004714274,2.5551677214489743
PSMD8,11.465136194029851,11.179484210526315,2.5551445677124662,3.2071980213178287e-09,2.5551445677124662
IL1RAP,7.88154328358209,8.088057017543859,-2.5533169896529975,5.2404270387882584e-05,2.5533169896529975
WWC3,10.65639813432836,10.391114035087721,2.5529899714780555,6.173122807254226e-10,2.5529899714780555
CHP,11.345166417910448,11.642364035087716,-2.552725685965281,2.080841204752164e-06,2.552725685965281
CTSL1,10.994115298507465,10.72052894736842,2.5519855641656783,0.0013452882448964267,2.5519855641656783
ZNF575,5.30455223880597,5.443452631578947,-2.5516965458131917,0.03742900163707406,2.5516965458131917
MRPL34,9.067946641791046,8.842321929824562,2.5516455265609217,5.687960672124585e-05,2.5516455265609217
RLF,9.45725932835821,9.704755263157896,-2.550254262868975,1.8706693721115404e-07,2.550254262868975
HLTF,10.266161194029849,10.010934210526313,2.5494821775491094,0.00012738075014693132,2.5494821775491094
TMEM26,7.336220895522389,7.528136842105264,-2.5493153300492506,0.168593926932894,2.5493153300492506
HIF1A,11.302038432835822,11.021126315789473,2.548851260727302,0.0009214168732747232,2.548851260727302
SH3KBP1,9.978444776119401,10.239432456140351,-2.5488490806386594,0.0074844383142953505,2.5488490806386594
EIF2A,10.997683955223883,11.285328947368422,-2.5488401223042234,6.242373261239734e-13,2.5488401223042234
WDR53,7.359969402985075,7.177094736842107,2.5480319383861505,0.00014945461223596061,2.5480319383861505
CAPRIN1,12.937948880597013,12.616484210526318,2.5479734663519564,3.1997000502629806e-13,2.5479734663519564
ANO10,9.581525373134328,9.832021929824563,-2.547762387819501,7.106381587514112e-08,2.547762387819501
C12orf51,10.283284328358208,10.552092105263158,-2.54743584706652,5.422346239759382e-07,2.54743584706652
ANKRD11,10.887572014925373,11.17205350877193,-2.5463670901968967,2.1602427765540974e-10,2.5463670901968967
ZC3H7A,10.083568656716418,10.346928070175437,-2.5452908503166385,4.338013910142151e-12,2.5452908503166385
ARHGEF12,12.083031343283581,12.398321052631578,-2.543003266406592,6.118677238966202e-08,2.543003266406592
ELMOD2,7.878134328358209,7.6828157894736835,2.542278042799542,7.226982023412581e-05,2.542278042799542
SRRM3,6.097398507462686,5.946232456140351,2.54221563716761,0.030186282068798146,2.54221563716761
ABTB2,7.093731716417911,6.917913157894737,2.541497045572615,0.9963640114339181,2.541497045572615
LOC285359,5.959885074626865,5.812207894736842,2.5408103523576573,0.06058762835041408,2.5408103523576573
ZNF329,8.491063059701492,8.712381578947369,-2.540275781546019,0.0014814613712825896,2.540275781546019
SLC9A4,0.7231108208955224,0.7051982456140352,2.540076551933306,0.14726642680194452,2.540076551933306
ZNF434,8.581099626865672,8.36872807017544,2.5376802174644033,8.820966089993525e-08,2.5376802174644033
ZNF337,8.842530223880598,9.07265701754386,-2.53648730706191,1.3305305370588114e-05,2.53648730706191
C8orf55,9.542765298507465,9.306791228070177,2.5355040706787113,0.005006149916331725,2.5355040706787113
MAPRE2,9.652847014925374,9.90385263157895,-2.5344239862094775,3.989294571343842e-07,2.5344239862094775
ZNHIT1,9.910731343283581,9.665912280701754,2.5328086524291664,2.9102527508611765e-06,2.5328086524291664
TGFB2,9.196903731343284,8.969718421052631,2.5328031452741095,0.3282025631173212,2.5328031452741095
?|645851,3.406344402985075,3.3222526315789476,2.5311672750835186,0.5380869853174887,2.5311672750835186
PPPDE2,7.866118656716417,7.671938596491228,2.531042940228928,0.004959142511942611,2.531042940228928
PPA1,11.363002985074626,11.658010526315788,-2.530513594710157,1.6225726034151877e-07,2.530513594710157
MT1G,5.936039552238806,6.090000877192983,-2.528100209817069,0.24665847800348817,2.528100209817069
DEF8,9.295399253731343,9.536482456140352,-2.528009709217047,4.2506470769503116e-08,2.528009709217047
NBPF1,9.447550373134328,9.692491228070178,-2.527119696806976,0.002712761282185384,2.527119696806976
ZNF202,7.984207835820895,8.191182456140352,-2.5267978271476865,0.00019132742189741737,2.5267978271476865
USP54,9.763876492537312,10.016983333333334,-2.5267770981884627,7.105135759318744e-05,2.5267770981884627
MRPL22,8.580974253731345,8.36955,2.526112559592146,2.024331347785277e-06,2.526112559592146
AGPAT5,9.455897014925371,9.222965789473683,2.5255566459710423,0.014158644648256091,2.5255566459710423
PRDM2,10.481796641791046,10.753366666666667,-2.525441875960896,1.0869612114378825e-08,2.525441875960896
PMS2L1,8.134689925373134,7.9343149122807,2.5254229925042977,1.8757000356507102e-09,2.5254229925042977
C15orf44,9.948158582089551,9.703199122807016,2.5245226464204675,6.88371929535845e-11,2.5245226464204675
C7orf60,8.224513059701493,8.437486842105264,-2.5241376536550586,1.3690149768775736e-06,2.5241376536550586
NUP50,10.438983582089554,10.181997368421051,2.523927323587144,2.1673088584928518e-08,2.523927323587144
RPL10A,13.35605708955224,13.701830701754387,-2.523557761941074,4.0025050179604475e-08,2.523557761941074
NOL10,9.546305970149254,9.311504385964913,2.52162888456836,3.368404048902996e-08,2.52162888456836
RPL13,13.66869104477612,14.022212280701753,-2.5211516474627294,2.98291492649198e-05,2.5211516474627294
DCAF4,8.357358955223878,8.15199649122807,2.519167718199924,0.0022298173910153176,2.519167718199924
SMC5,9.871548880597015,10.12659649122807,-2.518591620116248,6.833067401092458e-06,2.518591620116248
MINPP1,8.821516791044775,8.604884210526317,2.5175536964629126,5.831087702083934e-08,2.5175536964629126
PPFIBP1,10.599044029850747,10.872721052631576,-2.5170978033561306,1.3690149768775736e-06,2.5170978033561306
PAQR8,8.122930970149254,7.923528947368422,2.5165809843738542,0.0017650937746562872,2.5165809843738542
RRN3P3,5.726180597014925,5.873902631578947,-2.5148873556372355,0.004481985810780149,2.5148873556372355
REXO4,9.075916417910447,8.853326315789474,2.514197423447442,0.0001397087505227373,2.514197423447442
MAP2K4,9.636831343283582,9.885315789473687,-2.513672314390824,2.0411948768737398e-07,2.513672314390824
C8orf40,9.139996641791045,9.375669298245613,-2.5136622139463416,4.6405604965812713e-07,2.5136622139463416
SIVA1,9.463210820895522,9.231229824561405,2.513002067361479,0.00026620064755598,2.513002067361479
SLC35D1,9.43146156716418,9.200271929824563,2.5128565666648157,8.65012044072057e-07,2.5128565666648157
ZCCHC2,9.072239925373136,9.306077192982457,-2.512737244277892,1.6680737279092887e-06,2.512737244277892
SETX,11.16089514925373,11.448543859649122,-2.5125353400551065,7.0391099835039545e-09,2.5125353400551065
RGS17,2.9765067164179104,3.0532157894736836,-2.5124026058111113,0.33096537223878975,2.5124026058111113
TUBGCP3,9.076044402985074,9.309938596491229,-2.5123065107465434,3.9030949916425404e-13,2.5123065107465434
C13orf1,7.779657089552239,7.980103508771929,-2.5118273089986203,2.133515414681956e-06,2.5118273089986203
AMD1,10.553338805970151,10.825198245614036,-2.5113576072755266,1.7020803452911957e-06,2.5113576072755266
ALG12,8.974332835820896,8.754498245614036,2.5111043950119707,1.7527492455115793e-05,2.5111043950119707
ABCB10,8.993400373134328,8.773106140350878,2.5110175262810586,2.5858577994599704e-05,2.5110175262810586
RAD18,8.371087686567165,8.166043859649122,2.5109322266957985,0.011549447461355692,2.5109322266957985
SUMO1,11.07801828358209,10.806776315789472,2.5099248829302923,2.349501956833563e-13,2.5099248829302923
HDAC9,7.1606664179104484,7.34495701754386,-2.509076624862778,0.06378102654144802,2.509076624862778
TFF3,9.23133208955224,9.005499122807016,2.5077229331274515,0.0003431682229924452,2.5077229331274515
EEF1G,14.049645895522389,14.410924561403508,-2.5069777052939757,3.152148048096231e-08,2.5069777052939757
MYO15A,3.850887686567164,3.949910526315789,-2.506964122070554,0.15173044565768887,2.506964122070554
ZNF486,6.286049626865672,6.447688596491228,-2.50692891268848,0.3460406232523574,2.50692891268848
N4BP1,10.312841791044775,10.578022807017545,-2.5069053150164007,4.883673019385462e-13,2.5069053150164007
PKP4,11.232562313432837,11.521048245614033,-2.5039903143450517,5.492877109506491e-09,2.5039903143450517
GNRHR2,8.49034067164179,8.708391228070173,-2.503913188070026,5.780383858888078e-06,2.503913188070026
SERTAD1,8.620309701492538,8.841693859649123,-2.503865907039793,0.03884134691126492,2.503865907039793
STARD3,9.624655970149254,9.389571929824562,2.503671542021874,3.251313237083889e-06,2.503671542021874
RAB2B,8.934696641791046,9.164096491228072,-2.5032456790105746,1.0301871258020965e-08,2.5032456790105746
C17orf81,8.853885820895524,9.081207894736844,-2.5032140710385873,1.9171356437597285e-09,2.5032140710385873
PHF2,10.32902052238806,10.594202631578947,-2.503087003456384,2.4799345871015824e-10,2.503087003456384
MAPK8,8.148726865671641,8.357928947368421,-2.5030373315467074,0.0003262792220354958,2.5030373315467074
NONO,12.867410820895522,12.553206140350877,2.502983516973158,5.525465584398995e-15,2.502983516973158
SHPK,8.52806156716418,8.74695701754386,-2.502532594371268,5.93481497965461e-06,2.502532594371268
CADPS2,9.765568656716418,10.016161403508772,-2.501884072121362,0.015464525490267916,2.501884072121362
CENPBD1,8.043874253731342,8.25025350877193,-2.5014898611437686,6.170868807687112e-08,2.5014898611437686
C21orf122,5.141449253731342,5.273356140350877,-2.5013839973789103,0.006597429013984638,2.5013839973789103
CDKN1A,10.793652611940297,11.070555263157894,-2.5012535020633644,0.020066124914963745,2.5012535020633644
SNX5,10.84603432835821,11.124249122807019,-2.5009759434316434,3.997126474648598e-11,2.5009759434316434
C14orf119,9.988204104477612,9.74463157894737,2.499556022789658,1.6908542878616224e-12,2.499556022789658
RPUSD2,7.428701865671642,7.247578947368422,2.499081688085449,0.0004216552688578433,2.499081688085449
CIDEB,8.371928358208956,8.586442982456141,-2.4982944006672168,1.6783081824771173e-05,2.4982944006672168
ZNF500,8.089744029850747,7.892617543859648,2.497605957664332,0.0005633426514162379,2.497605957664332
TMEM8B,9.003104477611942,9.23371754385965,-2.4975105113656375,0.0001624550034022394,2.4975105113656375
MAP4,12.65038656716418,12.974384210526315,-2.4972101804975932,1.835619628172518e-06,2.4972101804975932
