gene,raw_r,raw_p,clean_r,clean_p,delta_r,depth_confounded
NRXN1,0.1177,0.28935255199444115,0.1632,0.14040847193601505,0.0455,False
C7orf26,-0.1545,0.16318448743766992,-0.1632,0.1405556557341738,-0.0087,False
PHF20,-0.158,0.15356706650810287,-0.1632,0.14049851546720943,-0.0051,False
ORC2,-0.064,0.5655626021482633,-0.1632,0.14040026211538764,-0.0992,False
ASPH,-0.1214,0.27409109997962444,-0.1632,0.14034684926210342,-0.0418,False
FAM76B,-0.1612,0.14541280870853326,-0.1632,0.1404752872212225,-0.002,False
SLC25A24,-0.0751,0.4996127323167718,-0.1631,0.1407658178759519,-0.0879,False
RPS28,0.1143,0.30349085742285337,0.1631,0.14056990480857634,0.0488,False
RAB9A,-0.1461,0.18749275732019963,-0.1631,0.14070227499974827,-0.017,False
GLB1,-0.1089,0.3271977067865228,-0.163,0.14082171918656,-0.0542,False
MRPS14,-0.0878,0.43000181433305,-0.163,0.1409523612496325,-0.0752,False
TCFL5,-0.1568,0.1569562462118007,-0.163,0.14104803518050305,-0.0062,False
PGM2L1,-0.1235,0.26584184994508087,-0.163,0.14086475481475644,-0.0395,False
KIF9,0.0701,0.5287038373918408,0.1629,0.14108058365133436,0.0928,False
NANOS2,0.1409,0.20392036175871844,0.1629,0.14128585629718138,0.022,False
LIG4,-0.1014,0.36150733753182085,-0.1629,0.14118279067013814,-0.0615,False
NME1,-0.094,0.3980547501494998,-0.1629,0.1412763398278497,-0.0689,False
SLC22A16,0.0612,0.5823427209387859,0.1628,0.14139923986370778,0.1016,False
ENTHD1,-0.1222,0.27096445473852365,-0.1628,0.14131612871593668,-0.0406,False
LINC00574,0.0519,0.641216652234539,0.1628,0.1414921458299432,0.1109,False
PCSK1,-0.1178,0.2888506547266751,-0.1628,0.14136823133080176,-0.045,False
TEP1,0.1111,0.3173117721395133,0.1627,0.1417365137355044,0.0516,False
FAM217B,0.1391,0.20989867357036512,0.1627,0.14173027565590532,0.0236,False
TAS2R14,0.1439,0.1942950965844192,0.1627,0.14163798598479624,0.0188,False
ANKRD28,0.0844,0.44784704203847026,0.1627,0.1417200268973066,0.0782,False
PTPN4,0.1277,0.24979653151081654,0.1626,0.14187487102030885,0.0349,False
BTBD3,-0.1131,0.30878126616424645,-0.1626,0.14200036837108385,-0.0495,False
CLIC3,-0.1318,0.2348411618963815,-0.1626,0.14204031422842114,-0.0307,False
TSPAN1,0.1615,0.1446834019366682,0.1626,0.14192094570301245,0.0011,False
KIAA0754,-0.0501,0.6527835516870382,-0.1626,0.14194893580000875,-0.1125,False
GPR25,0.1601,0.14814537830738297,0.1625,0.14213740752184004,0.0024,False
SATB2,0.0342,0.7588913393571961,0.1624,0.1423731443232089,0.1282,False
GJC1,-0.1166,0.2936982915458633,-0.1624,0.14245629785769146,-0.0458,False
CTSZ,-0.0625,0.5748868255441367,-0.1623,0.14276679867269068,-0.0998,False
CDC40,0.1586,0.1521721928154593,0.1623,0.1427274235896822,0.0037,False
NDUFB7,-0.0469,0.673538074058782,-0.1623,0.14259702345811864,-0.1154,False
PPARG,-0.1016,0.36074121613148197,-0.1622,0.14296861353162935,-0.0606,False
PIP,-0.0679,0.5416832632406137,-0.1622,0.14292896631320934,-0.0943,False
FAM64A,-0.1445,0.19256328519047933,-0.1622,0.14293368074675222,-0.0177,False
LMLN,-0.1213,0.2747566394718079,-0.1622,0.1428525561765345,-0.0409,False
DUSP21,0.148,0.18168940816054868,0.1622,0.1428083237993629,0.0142,False
GRIN2C,-0.1035,0.3518815919674229,-0.1621,0.1432644925839598,-0.0586,False
UBE2D3,-0.142,0.20049222613943843,-0.1621,0.14310117814051496,-0.0202,False
FAN1,-0.1221,0.2716242564483095,-0.1621,0.14314532715118938,-0.04,False
ZBTB8OS,-0.0943,0.3966154266206634,-0.162,0.14332225465505435,-0.0678,False
RALGAPA2,-0.0615,0.5807651249514136,-0.162,0.14343592106374084,-0.1005,False
SDHA,0.0919,0.40849604036858417,0.162,0.14347887596665582,0.07,False
PTPRA,-0.0749,0.5010113730245571,-0.1619,0.14363219282246653,-0.087,False
TTC7B,0.0676,0.5435749819758933,0.1619,0.14377278433997714,0.0942,False
ZNF560,-0.118,0.28797463974297133,-0.1618,0.14394076357433006,-0.0438,False
BMPR2,-0.1159,0.296967849840189,-0.1618,0.14402399289335271,-0.0459,False
RAB12,0.0647,0.5610444313950699,0.1617,0.1442023219566264,0.097,False
FAM221B,-0.1334,0.2290992007352921,-0.1617,0.14410438147147628,-0.0283,False
C2CD4A,-0.1592,0.1506670643991631,-0.1616,0.1443670985293333,-0.0025,False
RABGAP1,-0.1443,0.19312057627973214,-0.1616,0.1444176851787528,-0.0173,False
DYNC2H1,-0.0376,0.7358330796072683,-0.1616,0.14437087041691696,-0.124,False
SH3BP5L,-0.111,0.31772163319385127,-0.1616,0.14436433383506428,-0.0506,False
TIGD5,-0.1181,0.28756261607250116,-0.1616,0.14445145543709145,-0.0435,False
PDAP1,-0.058,0.6027944061235624,-0.1616,0.14431903026077486,-0.1037,False
CBLN4,-0.1607,0.14657258080329508,-0.1615,0.14468515479353206,-0.0007,False
IL13RA1,-0.0907,0.41487491218334627,-0.1615,0.14468256394935572,-0.0708,False
FZD8,-0.161,0.14600213309454974,-0.1615,0.1446820684800973,-0.0005,False
LGI4,-0.0782,0.4823022372669031,-0.1615,0.14461777024760886,-0.0833,False
TP53RK,0.0584,0.6000473225435888,0.1614,0.1449444393584603,0.103,False
ACTN2,0.0553,0.619282166003777,0.1614,0.14495015542248585,0.1061,False
EIF3I,-0.152,0.17000424990216448,-0.1614,0.14491204395280444,-0.0094,False
CLEC5A,-0.1509,0.17319714580069134,-0.1613,0.14529257271168697,-0.0103,False
NEURL2,0.1413,0.20247453305378071,0.1613,0.14512283937140166,0.02,False
MS4A5,0.0658,0.5545370983844728,0.1612,0.14543113718932654,0.0954,False
HMGA2,0.1603,0.14780304118032453,0.1612,0.14545409343335255,0.0009,False
LINC00115,-0.1292,0.24448153713101597,-0.1612,0.1455494394022294,-0.032,False
POLR3D,0.1551,0.16161610570188473,0.1612,0.14543553770361056,0.0061,False
IL1A,-0.1495,0.17728574262511518,-0.1611,0.14561110954580303,-0.0116,False
RHEBL1,-0.0885,0.42644165233199627,-0.1611,0.14560024448563139,-0.0727,False
COL4A3,-0.0616,0.5801127275730712,-0.161,0.1458909677611874,-0.0994,False
GLDN,0.1003,0.366944883938023,0.161,0.14581691276684913,0.0607,False
XDH,-0.0769,0.4896415178732726,-0.161,0.145946006795566,-0.0841,False
ITGB1BP2,0.16,0.14840294321500772,0.161,0.1460574469276454,0.0009,False
ACTC1,0.0898,0.41947707212072244,0.161,0.14585292253288729,0.0712,False
OSBPL10,0.1071,0.33507192327479735,0.1609,0.1460846711198125,0.0538,False
MRPL3,0.1413,0.20247848492766143,0.1608,0.146530568719771,0.0194,False
ALDH16A1,0.0858,0.44052922936466227,0.1607,0.14665264771549166,0.0749,False
ENOX2,0.0996,0.37025431664692066,0.1607,0.14664026748575865,0.0611,False
ZDHHC16,-0.0655,0.5561451041850387,-0.1606,0.1470230678385322,-0.095,False
STXBP3,-0.0963,0.3862626498748958,-0.1606,0.14700244899062942,-0.0642,False
RGMA,0.1185,0.28592683181656836,0.1605,0.14725894475568305,0.042,False
TMEM101,0.1305,0.23951386616041784,0.1605,0.14723681157502147,0.03,False
OR1G1,0.0776,0.48569661675866793,0.1604,0.14757125701712942,0.0828,False
PWAR5,-0.0362,0.7455722199425094,-0.1604,0.14752748365406604,-0.1242,False
RBFA,-0.0945,0.39548818087166265,-0.1604,0.14740629224437332,-0.0659,False
FKBP6,0.0381,0.7322956355744981,0.1604,0.1475274925082843,0.1223,False
KRTAP9-9,-0.1229,0.26852102044816895,-0.1604,0.1473428505887819,-0.0376,False
HMG20A,-0.1472,0.18427524967921538,-0.1603,0.14773965872361544,-0.0131,False
ANKRD33,0.0171,0.8780693332335676,0.1603,0.14777822080065087,0.1432,False
TARBP2,0.1413,0.20268195956101637,0.1603,0.14781085655619655,0.019,False
MLNR,-0.1444,0.19284758331614682,-0.1602,0.14793322125121747,-0.0158,False
PSMA2,0.0819,0.4618647257238401,0.1602,0.14799394546087835,0.0783,False
GOLGA2,0.0213,0.8485437007660623,0.1602,0.14805948550872305,0.1389,False
C21orf58,0.159,0.15098629420395923,0.1602,0.14799970662810494,0.0012,False
EXOSC5,-0.1438,0.19452254923219497,-0.1602,0.14796464859326083,-0.0164,False
PSAP,0.1207,0.2769360614699158,0.1602,0.147905194447816,0.0395,False
UCHL5,-0.0689,0.5361816915559954,-0.1602,0.1480087584998089,-0.0913,False
BROX,-0.0695,0.5323772346361965,-0.1601,0.148360117251089,-0.0905,False
CDCP1,-0.16,0.14859085138850245,-0.1601,0.1482031436829653,-0.0002,False
MAP3K14,-0.1327,0.23160634047325865,-0.1601,0.14814455447820013,-0.0274,False
MRPL45,0.0959,0.3882885534574697,0.1601,0.14812939634794134,0.0642,False
GSK3A,0.0438,0.6944128824673496,0.1601,0.14835111059969727,0.1163,False
GCGR,0.1597,0.1491433031953207,0.16,0.14841369347212502,0.0003,False
DPY30,-0.0562,0.6140339718225263,-0.1599,0.14873550525549753,-0.1037,False
S100A9,-0.0362,0.7449241414425455,-0.1599,0.14864189841942627,-0.1237,False
ELP6,-0.0802,0.4710578599619312,-0.1599,0.1487416722578475,-0.0797,False
KIRREL,0.1238,0.2649781206788411,0.1599,0.14876771516094947,0.0361,False
NHLRC3,0.0791,0.4769593442972805,0.1598,0.14892472413519814,0.0807,False
FAM131A,-0.1194,0.2824675989954911,-0.1598,0.1488949357371232,-0.0405,False
DAND5,-0.0944,0.3957336520633122,-0.1597,0.14929475184922528,-0.0652,False
SLC25A43,0.0475,0.6699861088573028,0.1597,0.14922488242696622,0.1122,False
CTAGE1,-0.1566,0.1574068754496653,-0.1596,0.14960292628419192,-0.003,False
ZNF443,0.0598,0.5912473796229072,0.1595,0.1496808173329611,0.0997,False
RPS21,-0.069,0.5355411215762022,-0.1595,0.1498165089906176,-0.0905,False
TMEM11,-0.0828,0.4565387314870323,-0.1595,0.14974855318764285,-0.0767,False
SIRPB2,-0.1581,0.15353903574166602,-0.1595,0.14985000535889834,-0.0014,False
SS18L2,-0.0494,0.6571920956801806,-0.1595,0.14978919422841025,-0.1101,False
SCUBE2,-0.1116,0.3150342045375289,-0.1594,0.15015626436670299,-0.0477,False
VPS8,-0.0788,0.4790055383739166,-0.1594,0.15010694036129127,-0.0806,False
RTN4RL2,0.1521,0.16977575547273624,0.1594,0.14997913985991254,0.0073,False
PNPO,0.0672,0.5458556453240296,0.1594,0.15002033710946205,0.0922,False
WARS,-0.0758,0.49591946477699667,-0.1593,0.15027606852932926,-0.0835,False
MNT,0.1342,0.2265526736248327,0.1593,0.1504109002875961,0.0251,False
METAP1,0.1592,0.15064933768185712,0.1593,0.1503793968173564,0.0001,False
MYOZ3,-0.0614,0.5815449085642056,-0.1592,0.15057694510558225,-0.0978,False
CSN1S1,-0.1242,0.26316958863185713,-0.1592,0.1506279513061382,-0.0349,False
COX10,0.1592,0.15055352118782006,0.1592,0.15055331145147113,0.0,False
KCNT1,0.0842,0.44941885819797883,0.1592,0.15043538869229114,0.0751,False
KIAA0196,0.1056,0.3420370778023774,0.1592,0.15046424836026842,0.0536,False
LINC00382,-0.1043,0.34812023203057374,-0.1591,0.15071924237940537,-0.0549,False
SLC22A9,-0.1585,0.15244858867762362,-0.1591,0.15075538621253073,-0.0006,False
CSF2RB,0.1591,0.15076493217418488,0.1591,0.1506897144223336,0.0,False
IMP4,0.1436,0.19515732566707514,0.159,0.15116455494872452,0.0153,False
GPR32,0.058,0.6026213940750166,0.159,0.15119387521249913,0.101,False
DGCR2,-0.158,0.1535783956456718,-0.159,0.15116145161539565,-0.0009,False
NEDD8,-0.0686,0.5379414341870906,-0.159,0.15107878297559266,-0.0904,False
MAPKBP1,-0.0424,0.7032294329749926,-0.159,0.15105071648257892,-0.1166,False
SOCS5,-0.1327,0.2316724446165509,-0.1589,0.15125232128254934,-0.0262,False
CHMP5,-0.1213,0.2748113496329152,-0.1589,0.15123807255063396,-0.0377,False
HOXA3,-0.1245,0.2621493033556953,-0.1589,0.15135377794585517,-0.0344,False
SLAMF9,-0.1586,0.15221225152776016,-0.1589,0.15128685380798088,-0.0004,False
LATS1,0.1097,0.3234801114310798,0.1588,0.151475989151639,0.0491,False
CD99,0.0987,0.3747452594657767,0.1588,0.15160614602476608,0.0601,False
PPA1,0.1435,0.19561995356930803,0.1587,0.15180136699460056,0.0152,False
DUSP16,-0.1459,0.18805807316782663,-0.1587,0.15195728692280452,-0.0127,False
SHISA8,0.1586,0.15210592451277094,0.1587,0.15198451599443316,0.0,False
FNBP1,0.1146,0.30225323061530873,0.1586,0.15217237759350652,0.044,False
FOXD1,-0.1571,0.15616491107062289,-0.1586,0.15211451589917505,-0.0015,False
MTURN,-0.0874,0.431872585386758,-0.1586,0.15212129442943298,-0.0712,False
CTBS,-0.0923,0.4065664780567825,-0.1584,0.15265572984377415,-0.0661,False
SSR2,-0.0931,0.4022953849748711,-0.1584,0.15270875770763195,-0.0652,False
TWF1,-0.0478,0.668156928972445,-0.1583,0.15302724325841116,-0.1105,False
KLRD1,-0.1333,0.22950400227904583,-0.1583,0.15290829643768208,-0.025,False
DENND4A,-0.1581,0.15344028982050406,-0.1583,0.15299309603957267,-0.0002,False
GAS1,0.0585,0.5991517413372375,0.1583,0.15295187206849822,0.0998,False
MIR186,0.1213,0.27470233816064255,0.1583,0.15296781933223663,0.037,False
NEK1,-0.1078,0.3322022756862626,-0.1583,0.1529410455120018,-0.0505,False
SPATA31C2,0.0812,0.46558381088557554,0.1582,0.15312805509905775,0.077,False
TMEM159,0.1193,0.28260219405037323,0.1582,0.1532152208362886,0.0389,False
CACUL1,0.0548,0.6225241989345804,0.1582,0.15327633320941855,0.1033,False
SPATA22,-0.0645,0.5621539485565447,-0.1582,0.153276287946719,-0.0936,False
PEX10,-0.0801,0.4715230767434495,-0.1582,0.1532819315505129,-0.078,False
ACVR1C,0.0876,0.4307654939776565,0.1582,0.15304354378259252,0.0706,False
PDLIM3,-0.1517,0.17091123836939337,-0.1581,0.153516131083421,-0.0063,False
NUDT4,0.0594,0.5934655501135281,0.1581,0.15333734592582024,0.0987,False
RAB30,-0.1198,0.28053134568072813,-0.158,0.15374160485298805,-0.0381,False
GRK4,0.0838,0.4510973262593134,0.158,0.15378163433777936,0.0741,False
ACTA2,0.1195,0.28178333578568315,0.1579,0.15392683435510562,0.0384,False
SGPP2,-0.1267,0.25372711653853813,-0.1579,0.15406825400882562,-0.0312,False
MREG,-0.1398,0.20738520001784005,-0.1578,0.1543067847443285,-0.0179,False
DAD1,-0.1153,0.299093301151167,-0.1578,0.15427878381535018,-0.0424,False
FPGS,-0.0639,0.566108499348555,-0.1578,0.15427394852173015,-0.0939,False
NUP107,-0.1449,0.19130868322927458,-0.1578,0.15411515668266956,-0.013,False
MARCH7,-0.083,0.4554156247949935,-0.1578,0.15423081217450377,-0.0747,False
NIN,0.0496,0.6563120011919066,0.1578,0.15411898009311414,0.1083,False
SEC22B,0.1388,0.21078349113404907,0.1577,0.15444089091102597,0.0189,False
MTIF2,0.0336,0.7631580188394221,0.1577,0.15454970453995645,0.1241,False
MAGEA1,0.1349,0.2239852935966429,0.1577,0.1546015505608883,0.0227,False
LINC00244,-0.0891,0.42324068278250876,-0.1576,0.1548831636521372,-0.0685,False
CTTNBP2,0.1103,0.32077595251041013,0.1576,0.15486661046137537,0.0472,False
ARVCF,-0.0452,0.684702320687947,-0.1576,0.1546783159446943,-0.1124,False
KLHL10,0.087,0.43435398961254823,0.1576,0.15476017250762308,0.0706,False
EFHD1,0.1473,0.18400031398991154,0.1576,0.1548403074131127,0.0103,False
TRAPPC2,-0.1149,0.3010679484276177,-0.1576,0.15463246501081326,-0.0428,False
ISCA1,0.1431,0.19699492470309587,0.1575,0.15498342202956597,0.0145,False
SRP54,-0.0699,0.5300458143243343,-0.1575,0.1550598090419143,-0.0876,False
PLD2,0.0616,0.5801240373565448,0.1574,0.15536971368234215,0.0958,False
HIPK1,0.0806,0.4687956765932132,0.1574,0.15540471537889664,0.0767,False
NCLN,-0.0436,0.6953078972616994,-0.1573,0.15557891573181507,-0.1137,False
ATP6V1H,0.0277,0.8035510534252707,0.1573,0.1555153488287912,0.1296,False
UBQLNL,-0.1086,0.3284102330760166,-0.1573,0.1555059857549142,-0.0487,False
ANAPC7,-0.0367,0.7419083867211221,-0.1572,0.15585735003719617,-0.1205,False
ATXN1,0.1069,0.33588931451398374,0.1572,0.15579325535148433,0.0503,False
ZNF138,-0.1002,0.36721018013797213,-0.1571,0.15618025260833668,-0.0568,False
FAF2,-0.0724,0.5152814002006515,-0.1571,0.15602496331037005,-0.0847,False
IFNA8,0.1156,0.2981931692814967,0.1571,0.15615037725409592,0.0415,False
CCR3,0.1509,0.1733482715139715,0.1571,0.15595308499879731,0.0063,False
CNTN1,0.1408,0.20417374009442366,0.1571,0.15621310433523938,0.0162,False
TENM3,-0.0612,0.5823302714470844,-0.157,0.15633605088245792,-0.0958,False
PAPD4,-0.0839,0.4506390178874919,-0.157,0.15624124751002377,-0.0731,False
SAR1A,0.1321,0.23383984023635065,0.1569,0.1565991108496954,0.0248,False
MS4A1,0.1537,0.16534208278887563,0.1569,0.15667047461628478,0.0032,False
GAP43,0.1555,0.16042480194334963,0.1569,0.15663955617362293,0.0014,False
XKR7,0.0347,0.7554308804558736,0.1568,0.1570179074349505,0.122,False
TNNI1,0.0993,0.37172658847544193,0.1568,0.156910965488277,0.0575,False
CAPNS2,-0.1004,0.3666319408397117,-0.1568,0.15687232596926176,-0.0564,False
KDM3A,-0.1099,0.32278732014474265,-0.1567,0.15707743958482065,-0.0469,False
HEATR5A,0.1037,0.3510430536610751,0.1567,0.15722977134288943,0.053,False
BTF3L4,-0.141,0.203605116659491,-0.1567,0.15714653708926254,-0.0157,False
CD300LB,0.0464,0.6771740859803853,0.1566,0.15734271172234854,0.1103,False
FCAR,-0.1245,0.2622898045925017,-0.1566,0.15753442486722374,-0.0321,False
ZNF345,-0.0808,0.4676331395879892,-0.1565,0.1575587088807089,-0.0757,False
TMEM65,-0.068,0.541205261759427,-0.1565,0.1576609008309456,-0.0885,False
BTBD18,0.15,0.17602872132403932,0.1565,0.15778280207823542,0.0065,False
CDC14B,0.1538,0.16510934481257625,0.1565,0.1575997479258469,0.0027,False
OTUD7A,0.1506,0.17410877381693945,0.1564,0.15797636483086336,0.0058,False
ST6GAL2,0.151,0.17302716446045519,0.1563,0.15816455353226844,0.0053,False
NT5C3A,0.1035,0.3517297054789192,0.1563,0.1581099784500909,0.0528,False
AKAP10,-0.1035,0.3519747022907761,-0.1563,0.15825129841753371,-0.0528,False
ITM2C,-0.0862,0.4381794384275608,-0.1563,0.15813721819284227,-0.0701,False
COMMD10,0.1527,0.16812831979886278,0.1562,0.15860500053812657,0.0035,False
EZH1,0.0405,0.7162848403999728,0.1562,0.15846317048593794,0.1157,False
C3orf58,-0.0692,0.533958438382339,-0.1562,0.1586070420613094,-0.0869,False
LSM4,0.1469,0.18508532899105146,0.1561,0.15886007004156602,0.0092,False
KHDC1L,0.1094,0.32480811802339965,0.1561,0.15872517044264545,0.0467,False
PROCA1,-0.0731,0.5112319496493325,-0.156,0.15894301888381968,-0.0829,False
FPR2,-0.1502,0.17528764817533582,-0.156,0.15900996803182632,-0.0058,False
FHL5,-0.0869,0.43471792930864855,-0.156,0.15901700628115553,-0.0691,False
DIP2B,0.0611,0.5833294663650195,0.156,0.1590144160837935,0.0949,False
TEPP,0.143,0.1970344928787281,0.156,0.1589784445937257,0.013,False
C11orf24,0.1543,0.16372063907128848,0.1559,0.15934328203908918,0.0016,False
ADARB1,-0.0883,0.4272012412037724,-0.1559,0.1592454803485502,-0.0676,False
METTL21C,-0.0844,0.44811729910518205,-0.1559,0.15917829354012764,-0.0716,False
EBLN2,-0.1177,0.28940203320224067,-0.1559,0.1594201263773788,-0.0382,False
IMPDH2,-0.0893,0.42223782313364944,-0.1558,0.15956588884993825,-0.0665,False
RCBTB2,-0.1456,0.18916746369969645,-0.1558,0.15958312063230282,-0.0102,False
GRM5,-0.1253,0.25921527231876995,-0.1558,0.1595241670778182,-0.0306,False
APOBEC4,0.087,0.4343415884302798,0.1558,0.1596701243680046,0.0688,False
C16orf71,-0.0932,0.40189417863219434,-0.1558,0.15967584205321483,-0.0625,False
NUTF2,-0.0883,0.42728387444657095,-0.1557,0.15977121798331784,-0.0674,False
PAQR9,0.0958,0.3887533506444099,0.1557,0.15986124298998805,0.0599,False
FAM84A,-0.0696,0.5318023418279376,-0.1557,0.15995583955025375,-0.0861,False
PHLPP2,-0.077,0.48915288421802505,-0.1557,0.1598323376444505,-0.0787,False
MFAP4,-0.0658,0.5545213640827257,-0.1557,0.15977299570090966,-0.0899,False
LINC00320,-0.1556,0.1601040049344833,-0.1557,0.15988711871001277,-0.0001,False
FNDC4,-0.0522,0.6391633391112308,-0.1557,0.159909008373998,-0.1035,False
BUB3,-0.0744,0.5037181673084546,-0.1556,0.16023452098196733,-0.0811,False
NTNG2,-0.113,0.30908252856213225,-0.1556,0.16017455900125738,-0.0426,False
MMAB,-0.1378,0.2141432184471272,-0.1556,0.1601841602635766,-0.0178,False
GRAP2,0.0325,0.7705620407203235,0.1556,0.16012705905552826,0.1231,False
DNAH17,0.155,0.16169541971816828,0.1555,0.16046033519303343,0.0005,False
SNAI3,0.1396,0.20797608816834312,0.1554,0.1607888768110754,0.0157,False
COL11A2,0.0562,0.6137538565961728,0.1554,0.16065700812235695,0.0992,False
C2orf80,-0.1274,0.2511052474588658,-0.1553,0.16103652767678864,-0.0279,False
CHRNA5,-0.1477,0.18272575267875463,-0.1553,0.16089598806311695,-0.0076,False
SULT1C4,0.0848,0.44586356123659243,0.1553,0.16096896962519988,0.0705,False
CPNE8,0.0281,0.8008351557814918,0.1553,0.1608400415227385,0.1272,False
PHYHIPL,0.0818,0.4622206396923376,0.1553,0.16093892349964997,0.0735,False
STK32B,0.1008,0.36463904247548656,0.1553,0.16095961333147613,0.0545,False
KSR1,-0.0412,0.7115701912901269,-0.1552,0.16129349560981268,-0.114,False
CCDC22,-0.1104,0.3203806215050098,-0.1552,0.16121973447028523,-0.0448,False
NPBWR1,0.0835,0.4531105183243486,0.1551,0.16152687337410696,0.0716,False
SPAG11A,0.1367,0.2177609971040565,0.1551,0.16160453907556735,0.0183,False
CLEC4D,-0.117,0.2922367743547015,-0.1551,0.16152635929202017,-0.0381,False
C12orf40,0.1375,0.21529625172767805,0.155,0.16172822286965832,0.0176,False
COL4A4,-0.1447,0.1917137583499989,-0.155,0.16169666125824153,-0.0103,False
PTPN9,0.0267,0.8104485809876575,0.155,0.16168707286278095,0.1283,False
TBC1D2B,-0.124,0.26416211108290233,-0.155,0.16166560042006226,-0.0311,False
IRAK3,-0.0719,0.5181749960750329,-0.155,0.16171571367414245,-0.0831,False
HIST1H4F,0.1414,0.20223204693657335,0.1549,0.16213522799522598,0.0135,False
ICMT,-0.0759,0.49510400537481875,-0.1549,0.16198284922848308,-0.079,False
FBXO11,-0.0633,0.5694980357359642,-0.1549,0.16191244554455528,-0.0916,False
MFN1,0.0389,0.7267292588940638,0.1549,0.16211166665766097,0.1159,False
KCTD20,0.1388,0.2107105918052232,0.1548,0.1623017986670879,0.016,False
PTPRJ,-0.0338,0.7619288871184582,-0.1547,0.16271612433551072,-0.1209,False
BNIPL,0.0732,0.5106380917214827,0.1547,0.16259617893848557,0.0815,False
HSF1,-0.0584,0.6001056948187663,-0.1547,0.16267238517418342,-0.0963,False
ACYP2,-0.1443,0.19316414829715417,-0.1546,0.16282156328825725,-0.0103,False
CNTN6,0.126,0.2562273465524235,0.1546,0.16286681131981995,0.0286,False
ZDHHC9,0.0653,0.5577313317171514,0.1546,0.16291206016050833,0.0893,False
OR1F1,0.0669,0.5476957884560877,0.1546,0.16288159861823628,0.0877,False
NLRP7,0.1521,0.1699779947875608,0.1546,0.16279836250574553,0.0026,False
INSM2,0.0311,0.7799707803867524,0.1545,0.1631202831203521,0.1234,False
CUL2,-0.0721,0.5172562902688697,-0.1545,0.16325482329982727,-0.0824,False
TMEM60,-0.1434,0.1957613898458088,-0.1544,0.16329245341905083,-0.011,False
PODXL2,0.0435,0.6962654683883822,0.1544,0.1634576986658424,0.1109,False
ILKAP,-0.0703,0.5279742432690117,-0.1544,0.1635073857223602,-0.0841,False
EIF1AX,0.0903,0.4168951783742149,0.1543,0.16358085650484866,0.064,False
RPL4,-0.083,0.45589650847018154,-0.1543,0.1636840544121749,-0.0713,False
IL6ST,0.1511,0.1726764812472515,0.1542,0.16388231123841257,0.0031,False
EGFL6,-0.1033,0.35294527225654077,-0.1541,0.16436407032806508,-0.0508,False
KRT76,0.0814,0.4644426662843693,0.1541,0.16426021591328396,0.0727,False
BCL2,0.1541,0.16427817673084225,0.1541,0.16415873547581233,0.0,False
COX20,-0.1474,0.18372436281772117,-0.1541,0.1643206924840848,-0.0067,False
POM121L12,0.0414,0.7104900806534691,0.1541,0.16432718850327355,0.1127,False
NDUFAF5,0.0332,0.7660731023522471,0.1541,0.1643075137703357,0.1209,False
DVL2,-0.0918,0.40924008475706963,-0.1541,0.16418119339634923,-0.0623,False
MIAT,0.0553,0.6196177869647785,0.1541,0.16416753232241058,0.0988,False
SLC4A3,0.0993,0.3718659459110207,0.154,0.16452221358593014,0.0547,False
MTAP,0.0586,0.5987392780696329,0.154,0.16453356175887054,0.0954,False
TTC28,-0.0889,0.4240861251960512,-0.154,0.16442607552226127,-0.0651,False
MIR101-1,0.147,0.18466394434216324,0.154,0.16451404424934363,0.007,False
AGAP6,-0.0602,0.5888376259096645,-0.1539,0.16470362597754323,-0.0937,False
AKR7A2,0.0654,0.5570588355591864,0.1539,0.1648655945757637,0.0885,False
CUL4B,0.0381,0.7322774177112606,0.1538,0.16497029866393598,0.1157,False
SAGE1,-0.152,0.17022364711334406,-0.1538,0.16519504353493994,-0.0018,False
SLC25A38,0.1249,0.2606111130544065,0.1538,0.16510274571758174,0.0289,False
FGF12,-0.1321,0.2338575679462525,-0.1538,0.16509514773731837,-0.0217,False
TMEM145,0.0914,0.4110204958582584,0.1538,0.16514559146489016,0.0623,False
MLLT10,0.1514,0.17172664457737272,0.1537,0.1652478217251996,0.0023,False
IL7,-0.0699,0.5301748775329078,-0.1537,0.1654761223901612,-0.0838,False
ZNF831,-0.1112,0.31679923951305644,-0.1537,0.16544293110377578,-0.0424,False
GPR52,-0.0631,0.5710990006399767,-0.1536,0.16573472475274134,-0.0905,False
HIST1H3C,0.1076,0.33280226402655616,0.1536,0.16568015509078193,0.046,False
RASSF6,0.1292,0.2443154119726508,0.1535,0.16577102502354377,0.0243,False
WASL,0.1008,0.3645680844488326,0.1535,0.16598585158559911,0.0527,False
KLF14,0.0349,0.7542951970318332,0.1535,0.16590366844529714,0.1186,False
FDPSP2,-0.1397,0.20769501949189312,-0.1534,0.16615172873179504,-0.0137,False
PAFAH1B1,-0.1055,0.3424091854785204,-0.1534,0.16614765796497027,-0.0479,False
ATG4C,0.0989,0.3734757555590699,0.1533,0.16660348617056084,0.0543,False
ETS1,-0.0926,0.4052309609452096,-0.1533,0.1663459670330658,-0.0608,False
MCOLN3,0.1195,0.28202100363799354,0.1533,0.1663296778127615,0.0339,False
PCBP2,0.1327,0.23173405788336432,0.1533,0.16647796357103048,0.0206,False
KRT79,0.1508,0.17370771285671352,0.1533,0.16640082547063043,0.0026,False
KIF23,-0.1325,0.2323682063354752,-0.1532,0.16687039487001526,-0.0206,False
CCNI,-0.1488,0.17945166133077825,-0.1532,0.16669252179610475,-0.0044,False
