gene,raw_r,raw_p,clean_r,clean_p,delta_r,depth_confounded
MFSD6L,-0.4289,5.216431655591054e-05,-0.8725,6.554449879524384e-27,-0.4435,True
SH3GL3,-0.871,1.0119441264432095e-26,-0.871,9.939098475961333e-27,-0.0001,False
WDR1,-0.66,1.1446426212623749e-11,-0.8709,1.0384003252351315e-26,-0.2109,True
SLC14A1,-0.3323,0.0021463767945864233,-0.8684,2.147337108457158e-26,-0.5361,True
CD82,-0.7555,1.5447130099452442e-16,-0.8676,2.6634894698529265e-26,-0.1122,False
RHOJ,-0.8664,3.815406815261298e-26,-0.8666,3.5800406001551927e-26,-0.0002,False
LGI2,-0.8612,1.5767492606399745e-25,-0.8656,4.795834524501522e-26,-0.0043,False
ERMP1,-0.8623,1.191089551738217e-25,-0.8654,5.046157566125784e-26,-0.0031,False
C11orf70,-0.4047,0.00014768874697964238,-0.865,5.54360750408753e-26,-0.4603,True
RELN,-0.761,6.949161561173275e-17,-0.8647,6.124858795677632e-26,-0.1037,False
ALDOA,-0.5576,4.341819305009042e-08,-0.8603,2.0077205382245732e-25,-0.3027,True
SLC4A11,-0.8459,7.990792276863527e-24,-0.8601,2.1336375773609388e-25,-0.0142,False
ST14,-0.4851,3.3613684598540825e-06,-0.8587,3.1014779940761258e-25,-0.3737,True
GDF3,-0.8228,1.4102087282396411e-21,-0.8583,3.4837574957116138e-25,-0.0355,False
TLE6,-0.8552,7.896223225745e-25,-0.8568,5.199141669048285e-25,-0.0016,False
JAM2,-0.4723,6.5317375285758395e-06,-0.8556,7.108484324493679e-25,-0.3832,True
UCP2,-0.7328,3.4164299195775837e-15,-0.8553,7.654571105854701e-25,-0.1225,False
AGFG2,-0.847,6.1195179982637015e-24,-0.8548,8.579626570057953e-25,-0.0078,False
