gene,r_pc1,r_pc2,r_depth,clean_r,dominant
SOX17,-0.341,-0.6924,-0.341,-0.7366,PC2
DHX57,0.1505,0.7281,0.1505,0.7365,PC2
GINS2,0.3841,-0.6796,0.3841,-0.736,PC2
ALDH1A3,-0.2633,-0.7098,-0.2633,-0.7357,PC2
NR5A2,-0.6142,-0.5805,-0.6142,-0.7356,depth
TNMD,-0.4024,0.6733,-0.4024,0.7355,PC2
LBP,0.3934,0.6761,0.3934,0.7354,PC2
CD163L1,-0.1337,-0.7288,-0.1337,-0.7354,PC2
EHD4,-0.1916,-0.7217,-0.1916,-0.7353,PC2
KCTD15,-0.611,-0.582,-0.611,-0.7352,depth
GRAMD1B,-0.6331,0.5688,-0.6331,0.7348,depth
GAMT,-0.561,0.6079,-0.561,0.7344,PC2
LACTB,-0.2505,0.71,-0.2505,0.7334,PC2
TMEM44,-0.5686,-0.603,-0.5686,-0.733,PC2
FOXA2,0.5353,-0.6191,0.5353,-0.7329,PC2
C3orf36,0.3786,0.6778,0.3786,0.7323,PC2
LOC81691,-0.4342,-0.6596,-0.4342,-0.7322,PC2
HIP1,-0.6156,-0.5753,-0.6156,-0.7301,depth
RASSF4,-0.2092,0.7139,-0.2092,0.73,PC2
C1QTNF3,-0.0304,-0.7296,-0.0304,-0.7299,PC2
H1FX,-0.1401,-0.7224,-0.1401,-0.7296,PC2
PCBP3,0.1136,-0.7249,0.1136,-0.7296,PC2
ALDOC,-0.4665,-0.6453,-0.4665,-0.7295,PC2
PLSCR2,-0.4351,-0.6565,-0.4351,-0.7291,PC2
CAPN8,0.3448,-0.6842,0.3448,-0.7289,PC2
TTLL6,0.5508,0.6078,0.5508,0.7282,PC2
SIPA1L3,0.5024,0.6295,0.5024,0.7281,PC2
FAM134B,0.0982,0.7244,0.0982,0.728,PC2
ASIC2,-0.3617,-0.6782,-0.3617,-0.7275,PC2
SLC1A5,0.2046,0.7121,0.2046,0.7275,PC2
PBLD,-0.3116,0.6912,-0.3116,0.7274,PC2
KIF26B,-0.3653,-0.6772,-0.3653,-0.7274,PC2
KRT80,-0.5303,-0.6166,-0.5303,-0.7273,PC2
LUZP2,0.3417,0.6829,0.3417,0.7267,PC2
APOA1,-0.4701,0.6405,-0.4701,0.7257,PC2
TMEM216,-0.389,-0.6678,-0.389,-0.725,PC2
NEU2,-0.4318,0.6539,-0.4318,0.725,PC2
TNFRSF4,-0.5739,-0.5935,-0.5739,-0.7247,PC2
TPM1,0.4453,-0.6488,0.4453,-0.7246,PC2
SORD,-0.2742,0.6964,-0.2742,0.7241,PC2
SNX30,-0.5086,0.6232,-0.5086,0.7238,PC2
IL22RA1,-0.277,0.6949,-0.277,0.7232,PC2
LINC00294,0.2004,0.7079,0.2004,0.7225,PC2
CDKN2B,0.0781,-0.7202,0.0781,-0.7224,PC2
CD79A,-0.5976,0.5785,-0.5976,0.7215,depth
BMF,0.3686,-0.6706,0.3686,-0.7214,PC2
CHMP1B,0.6242,-0.5631,0.6242,-0.7208,depth
SLIT2,0.4101,0.6572,0.4101,0.7206,PC2
MYL12B,-0.296,-0.688,-0.296,-0.7203,PC2
HIST1H2BG,-0.665,-0.5375,-0.665,-0.7197,depth
HOXD9,0.308,-0.6831,0.308,-0.718,PC2
HMX2,-0.0878,0.7141,-0.0878,0.7169,PC2
BCL7C,-0.1395,-0.7094,-0.1395,-0.7164,PC2
LIN52,0.4948,0.6224,0.4948,0.7162,PC2
FAM181B,0.3902,-0.6594,0.3902,-0.7161,PC2
BRI3,0.6687,0.5323,0.6687,0.7159,depth
CSHL1,-0.0708,0.7141,-0.0708,0.7159,PC2
GFOD2,0.6856,0.5211,0.6856,0.7159,depth
SLC22A18,-0.5805,0.5828,-0.5805,0.7158,PC2
DLGAP1-AS1,0.3643,-0.6664,0.3643,-0.7156,PC2
TMEM198,0.6876,0.5193,0.6876,0.7152,depth
SRPX2,-0.3573,-0.6676,-0.3573,-0.7147,PC2
TRPV6,0.5872,-0.5784,0.5872,-0.7146,depth
CPS1,-0.5428,0.5999,-0.5428,0.7143,PC2
DNMT3A,0.62,-0.5603,0.62,-0.7141,depth
PTGFRN,-0.1079,-0.7088,-0.1079,-0.713,PC2
ZNF512,0.5513,-0.5947,0.5513,-0.7128,PC2
CEBPA,-0.5993,0.5705,-0.5993,0.7126,depth
CAMSAP3,-0.5713,0.5848,-0.5713,0.7126,PC2
LDHA,0.2068,-0.697,0.2068,-0.7124,PC2
HIGD1B,0.236,-0.6923,0.236,-0.7124,PC2
SH3KBP1,-0.5041,0.6148,-0.5041,0.7119,PC2
POLN,-0.5901,0.5746,-0.5901,0.7118,depth
EPHA10,-0.4507,0.635,-0.4507,0.7114,PC2
BST1,-0.5066,0.6132,-0.5066,0.7113,PC2
COX6A2,0.1056,0.7068,0.1056,0.7108,PC2
POLB,0.1191,-0.7048,0.1191,-0.7099,PC2
EPHA8,0.5617,0.5873,0.5617,0.7099,PC2
B3GNT8,0.4126,-0.6464,0.4126,-0.7096,PC2
SSUH2,0.1635,0.6994,0.1635,0.709,PC2
TNKS1BP1,-0.1229,-0.7033,-0.1229,-0.7086,PC2
GATA2,0.6458,-0.5409,0.6458,-0.7084,depth
HN1,0.3497,-0.6633,0.3497,-0.708,PC2
FGF23,-0.2834,0.6789,-0.2834,0.7079,PC2
SLCO1A2,0.2541,-0.6844,0.2541,-0.7076,PC2
AP1M1,-0.6537,0.5353,-0.6537,0.7074,depth
ARSE,-0.016,0.7073,-0.016,0.7074,PC2
MLPH,0.6333,-0.5471,0.6333,-0.7069,depth
REN,0.1406,0.6991,0.1406,0.7061,PC2
L1CAM,0.5152,-0.6048,0.5152,-0.7057,PC2
CCDC33,0.1215,0.6988,0.1215,0.704,PC2
FUCA1,-0.3044,-0.6699,-0.3044,-0.7033,PC2
GRP,0.0265,-0.7028,0.0265,-0.7031,PC2
LHX6,-0.5684,-0.5783,-0.5684,-0.7029,PC2
SMG6,0.1844,0.6905,0.1844,0.7026,PC2
C9orf152,-0.4862,-0.6134,-0.4862,-0.7019,PC2
CACNA1E,0.242,0.6809,0.242,0.7017,PC2
TEAD2,-0.5486,-0.5864,-0.5486,-0.7013,PC2
RFESD,0.0397,-0.7002,0.0397,-0.7008,PC2
CBLN2,0.433,-0.6303,0.433,-0.6992,PC2
IER5L,-0.1149,-0.6943,-0.1149,-0.6989,PC2
ENO2,-0.4041,-0.6392,-0.4041,-0.6988,PC2
TMEM136,-0.1241,-0.6931,-0.1241,-0.6985,PC2
CLDN15,-0.4406,-0.627,-0.4406,-0.6984,PC2
MYOT,-0.5289,0.5927,-0.5289,0.6983,PC2
NKAIN4,0.4165,0.6342,0.4165,0.6976,PC2
CERCAM,0.6191,-0.5478,0.6191,-0.6975,depth
RXRA,-0.6348,0.5388,-0.6348,0.6973,depth
RORB,-0.3163,0.6615,-0.3163,0.6973,PC2
MAP3K3,0.6484,0.5307,0.6484,0.6972,depth
SCGB2A2,-0.6125,-0.551,-0.6125,-0.6971,depth
