gene,r_pc1,r_pc2,r_depth,clean_r,dominant
EBP,0.4213,0.4971,0.4213,0.5482,PC2
ETF1,-0.7017,-0.3904,-0.7017,-0.5479,depth
FBL,0.3793,-0.5069,0.3793,-0.5478,PC2
ECSCR,-0.0407,-0.547,-0.0407,-0.5475,PC2
F10,-0.5947,0.44,-0.5947,0.5473,depth
POLA2,0.2258,-0.5331,0.2258,-0.5472,PC2
NHP2,0.61,-0.4335,0.61,-0.5471,depth
PHF19,-0.0924,-0.5448,-0.0924,-0.5471,PC2
UBE4B,-0.1,0.5442,-0.1,0.5469,PC2
SPTBN5,0.5697,-0.4494,0.5697,-0.5468,depth
CPAMD8,0.0096,-0.5467,0.0096,-0.5467,PC2
NPAS1,0.3546,-0.5111,0.3546,-0.5466,PC2
AKAP7,-0.0328,0.5462,-0.0328,0.5465,PC2
SMARCD3,-0.5449,-0.4581,-0.5449,-0.5463,depth
CLIC6,0.2508,-0.5288,0.2508,-0.5463,PC2
RNF181,-0.1147,0.5427,-0.1147,0.5463,PC2
UBR5,0.3055,-0.5201,0.3055,-0.5462,PC2
GMIP,0.3546,-0.5106,0.3546,-0.5461,PC2
EP400,-0.4054,-0.4988,-0.4054,-0.5457,PC2
UBE2E2,-0.6255,0.4253,-0.6255,0.5451,depth
CHRM3,0.4676,0.4817,0.4676,0.5449,PC2
GSTZ1,0.5019,0.4713,0.5019,0.5449,depth
PKN1,-0.3765,-0.5047,-0.3765,-0.5448,PC2
HIST1H2AE,-0.5393,-0.4585,-0.5393,-0.5445,depth
TBX3,-0.7293,-0.3725,-0.7293,-0.5444,depth
LMO1,0.1822,-0.5353,0.1822,-0.5444,PC2
PHKA1,0.6666,0.4055,0.6666,0.544,depth
DOCK9,0.2225,-0.5304,0.2225,-0.544,PC2
PLSCR1,0.725,-0.3745,0.725,-0.5437,depth
DDIT4L,-0.7144,-0.3804,-0.7144,-0.5436,depth
STXBP5,-0.5216,-0.4638,-0.5216,-0.5436,depth
RCE1,0.2767,-0.5218,0.2767,-0.543,PC2
ZNF611,0.5113,-0.4664,0.5113,-0.5426,depth
SLC25A3,0.7002,0.3873,0.7002,0.5425,depth
CMTM7,-0.7425,0.3632,-0.7425,0.5422,depth
DNAJB6,-0.4975,-0.47,-0.4975,-0.5418,depth
PARP10,-0.7472,0.3598,-0.7472,0.5414,depth
NDUFA4L2,-0.1349,-0.536,-0.1349,-0.541,PC2
ADCY4,0.7435,-0.3618,0.7435,-0.541,depth
ACOT1,0.3927,0.4975,0.3927,0.5409,PC2
C11orf57,-0.3325,0.5101,-0.3325,0.5409,PC2
ITSN1,0.0009,0.5405,0.0009,0.5405,PC2
CDK1,-0.5064,-0.4659,-0.5064,-0.5403,depth
ZSWIM1,0.0364,-0.5399,0.0364,-0.5402,PC2
SYT1,0.1993,-0.5291,0.1993,-0.54,PC2
C1QL1,0.7716,0.3434,0.7716,0.5399,depth
EPHA1,-0.6368,-0.4162,-0.6368,-0.5398,depth
SUCLG2,-0.2201,0.5264,-0.2201,0.5397,PC2
VDR,0.5248,0.4589,0.5248,0.5391,depth
PKNOX1,-0.0306,-0.5383,-0.0306,-0.5385,PC2
VLDLR,0.3603,-0.5022,0.3603,-0.5383,PC2
CAPN1,-0.625,-0.4201,-0.625,-0.5382,depth
RNF41,-0.4583,0.4783,-0.4583,0.5381,PC2
PRIM1,-0.6263,-0.4193,-0.6263,-0.5379,depth
RPUSD3,0.5914,0.4334,0.5914,0.5375,depth
PCTP,0.3276,0.5079,0.3276,0.5375,PC2
PIGW,-0.721,-0.3723,-0.721,-0.5373,depth
CTAGE5,0.5474,0.4494,0.5474,0.537,depth
TAGLN2,0.2149,-0.5244,0.2149,-0.537,PC2
NBEAL2,0.4749,-0.4722,0.4749,-0.5366,depth
RHNO1,-0.7293,-0.3669,-0.7293,-0.5362,depth
ATP6V1F,0.7248,-0.3691,0.7248,-0.5357,depth
BCLAF1,0.235,-0.5206,0.235,-0.5356,PC2
SS18L1,0.2999,0.5108,0.2999,0.5355,PC2
FZD6,0.695,-0.3848,0.695,-0.5352,depth
SALL2,-0.2066,-0.5234,-0.2066,-0.535,PC2
AVPI1,-0.4896,-0.4665,-0.4896,-0.535,depth
HECTD4,-0.2554,-0.5166,-0.2554,-0.5344,PC2
MID1IP1,0.6841,-0.3895,0.6841,-0.534,depth
ZNF589,0.6975,-0.3823,0.6975,-0.5335,depth
SEPHS2,-0.3902,0.4908,-0.3902,0.5331,PC2
H1FOO,0.2083,0.5213,0.2083,0.533,PC2
SKAP1,-0.137,-0.5278,-0.137,-0.5329,PC2
CDC45,0.5148,-0.4567,0.5148,-0.5328,depth
GREM1,-0.6349,-0.4117,-0.6349,-0.5328,depth
DTNBP1,0.4192,0.4835,0.4192,0.5325,PC2
PGM2,-0.6757,-0.3925,-0.6757,-0.5324,depth
PCK1,-0.2781,0.5113,-0.2781,0.5323,PC2
DHRS13,-0.4873,-0.4646,-0.4873,-0.5321,depth
CRELD2,-0.7777,-0.3344,-0.7777,-0.5319,depth
FLT3,-0.2963,0.508,-0.2963,0.5319,PC2
ARFIP1,-0.5384,-0.4482,-0.5384,-0.5319,depth
GAL3ST3,-0.6196,-0.4173,-0.6196,-0.5317,depth
NAMPT,0.631,-0.412,0.631,-0.5311,depth
RBM12,-0.7738,-0.3364,-0.7738,-0.531,depth
TSG101,0.7335,-0.3607,0.7335,-0.5307,depth
SAMD1,0.7328,-0.3609,0.7328,-0.5304,depth
C15orf56,0.6511,-0.4025,0.6511,-0.5303,depth
SLC25A20,-0.7234,0.366,-0.7234,0.5301,depth
PAPSS1,0.0904,-0.5278,0.0904,-0.53,PC2
MEOX2,-0.689,-0.3835,-0.689,-0.5292,depth
BAK1,0.5283,-0.4488,0.5283,-0.5286,depth
CNPY3,0.6905,-0.3822,0.6905,-0.5284,depth
TMEM108,0.7555,-0.3461,0.7555,-0.5283,depth
IST1,0.0987,-0.5249,0.0987,-0.5275,PC2
TRIM71,-0.4871,0.4604,-0.4871,0.5271,depth
ZNF627,0.5366,-0.4447,0.5366,-0.527,depth
GPRIN2,0.5093,-0.4534,0.5093,-0.5268,depth
IMPDH1,0.1997,-0.516,0.1997,-0.5266,PC2
H3F3A,-0.7703,-0.3353,-0.7703,-0.5258,depth
RASL11A,-0.7739,-0.3329,-0.7739,-0.5257,depth
CDC25B,-0.175,-0.5176,-0.175,-0.5257,PC2
KCND1,0.1069,-0.5224,0.1069,-0.5254,PC2
NELFCD,-0.1104,0.5219,-0.1104,0.5251,PC2
SNRPB,0.3786,-0.4856,0.3786,-0.5247,PC2
FBXL5,0.287,0.5022,0.287,0.5243,PC2
CNKSR1,-0.5166,0.4485,-0.5166,0.5238,depth
NAA38,-0.0104,-0.5236,-0.0104,-0.5236,PC2
HLCS,-0.7269,-0.3595,-0.7269,-0.5235,depth
ZDHHC13,0.4587,-0.4649,0.4587,-0.5232,PC2
HIST1H1D,-0.741,-0.3514,-0.741,-0.5232,depth
SLC5A1,-0.6353,0.4039,-0.6353,0.523,depth
PDE7A,-0.0161,0.5226,-0.0161,0.5227,PC2
HYLS1,0.4241,0.4733,0.4241,0.5227,PC2
HSPB2,-0.7,-0.3732,-0.7,-0.5226,depth
FOXA1,-0.3764,-0.4842,-0.3764,-0.5226,PC2
ZNF688,-0.6065,0.4153,-0.6065,0.5224,depth
GDPGP1,-0.781,-0.3263,-0.781,-0.5224,depth
MPPED2,0.326,-0.4938,0.326,-0.5223,PC2
IL17D,-0.6258,-0.4074,-0.6258,-0.5223,depth
TGM6,0.3653,0.4862,0.3653,0.5223,PC2
FAM83E,0.1013,-0.5195,0.1013,-0.5222,PC2
MARC1,0.7397,-0.3513,0.7397,-0.522,depth
CD1E,-0.3614,0.4866,-0.3614,0.5219,PC2
NFKBIZ,-0.7532,-0.3432,-0.7532,-0.5218,depth
ERBB3,-0.1208,0.5177,-0.1208,0.5216,PC2
TEAD4,0.2074,-0.5102,0.2074,-0.5216,PC2
APLP1,0.7009,0.3719,0.7009,0.5214,depth
PSME1,-0.643,-0.3992,-0.643,-0.5213,depth
NPTX1,0.7099,0.3671,0.7099,0.5212,depth
RAET1E,-0.7293,0.3564,-0.7293,0.5209,depth
ADAMTS3,-0.6543,-0.3939,-0.6543,-0.5209,depth
MLEC,0.5587,0.4319,0.5587,0.5208,depth
ACP2,0.7474,0.3456,0.7474,0.5202,depth
CLEC14A,-0.7486,-0.3448,-0.7486,-0.52,depth
TBC1D16,-0.1047,-0.5169,-0.1047,-0.5198,PC2
CDK5RAP2,-0.0745,-0.5182,-0.0745,-0.5196,PC2
SLC13A5,0.2051,0.5081,0.2051,0.5191,PC2
GPD1L,0.3682,0.4827,0.3682,0.5191,PC2
FZD9,-0.1316,-0.5141,-0.1316,-0.5186,PC2
PECR,-0.744,0.3464,-0.744,0.5184,depth
KCNJ12,-0.0012,-0.5179,-0.0012,-0.5179,PC2
PLEKHA2,-0.4468,-0.4633,-0.4468,-0.5178,PC2
VASH2,0.1719,0.5099,0.1719,0.5176,PC2
NPTN,0.1388,-0.5121,0.1388,-0.5171,PC2
PDE4D,0.7779,0.3248,0.7779,0.517,depth
CLDN22,0.763,0.334,0.763,0.5167,depth
CEP72,-0.653,-0.3913,-0.653,-0.5167,depth
MOB3B,0.6433,0.3956,0.6433,0.5167,depth
MALL,-0.5496,0.4317,-0.5496,0.5167,depth
TOR3A,-0.4056,-0.4721,-0.4056,-0.5165,PC2
NOTCH2,0.2727,-0.4969,0.2727,-0.5165,PC2
TSPYL5,-0.2094,-0.5048,-0.2094,-0.5163,PC2
HPGD,-0.6495,0.3925,-0.6495,0.5163,depth
COPS7B,-0.0337,-0.5158,-0.0337,-0.5161,PC2
FAM174B,0.0008,-0.516,0.0008,-0.516,PC2
LEFTY1,0.0367,0.5153,0.0367,0.5156,PC2
MSANTD3,-0.1554,-0.5094,-0.1554,-0.5156,PC2
ULBP2,-0.013,-0.5154,-0.013,-0.5155,PC2
JUNB,0.6739,-0.3809,0.6739,-0.5155,depth
WNT5B,-0.5239,0.439,-0.5239,0.5154,depth
FICD,-0.4988,-0.4465,-0.4988,-0.5152,depth
ZBTB4,-0.3645,-0.4796,-0.3645,-0.515,PC2
RETSAT,-0.359,0.4805,-0.359,0.5148,PC2
HIST1H2BE,-0.0902,-0.512,-0.0902,-0.5141,PC2
WNT11,0.5088,-0.4426,0.5088,-0.5141,depth
NDE1,-0.0876,-0.5121,-0.0876,-0.5141,PC2
FIGNL1,0.1001,-0.5114,0.1001,-0.514,PC2
GAS8,0.4487,0.4593,0.4487,0.514,PC2
ZFR,0.1875,-0.5047,0.1875,-0.5138,PC2
TPGS2,0.239,-0.4988,0.239,-0.5137,PC2
ADCY9,0.1187,0.5099,0.1187,0.5135,PC2
LDHC,-0.7449,0.3426,-0.7449,0.5135,depth
MEG3,0.7575,0.3351,0.7575,0.5132,depth
SLC48A1,0.5004,-0.4441,0.5004,-0.5129,depth
USB1,-0.2902,-0.4906,-0.2902,-0.5127,PC2
RSPH4A,-0.6776,-0.377,-0.6776,-0.5127,depth
TCP10L,-0.3408,0.4818,-0.3408,0.5125,PC2
GINS4,0.4189,-0.4653,0.4189,-0.5124,PC2
PPP1R18,-0.2725,-0.4927,-0.2725,-0.5121,PC2
RAPGEF5,-0.5999,-0.4096,-0.5999,-0.5119,depth
RMI2,0.6962,-0.3672,0.6962,-0.5115,depth
DMRT2,0.6897,-0.37,0.6897,-0.5109,depth
TSPAN13,-0.0968,-0.5081,-0.0968,-0.5105,PC2
IGF1,0.7774,0.321,0.7774,0.5103,depth
IGSF1,0.7216,0.3532,0.7216,0.5102,depth
ZDHHC21,0.3478,-0.478,0.3478,-0.5099,PC2
POPDC2,-0.7898,-0.3126,-0.7898,-0.5097,depth
ITGA11,-0.5461,-0.4269,-0.5461,-0.5096,depth
PCBD1,-0.4919,0.4437,-0.4919,0.5096,depth
RBM14,-0.6526,-0.3861,-0.6526,-0.5096,depth
FAR2,-0.3913,-0.4689,-0.3913,-0.5095,PC2
PAGR1,-0.4219,-0.4619,-0.4219,-0.5095,PC2
C12orf4,-0.7728,-0.3232,-0.7728,-0.5093,depth
TMEM185B,0.5603,-0.4219,0.5603,-0.5093,depth
YIF1B,-0.7928,-0.3104,-0.7928,-0.5092,depth
HSD17B3,0.4846,0.4449,0.4846,0.5086,depth
C11orf54,-0.5758,0.4155,-0.5758,0.5081,depth
MBTPS1,-0.393,-0.4672,-0.393,-0.5081,PC2
FNDC8,0.7876,0.313,0.7876,0.5081,depth
COL28A1,-0.7435,-0.3398,-0.7435,-0.508,depth
GORASP1,0.2035,-0.4972,0.2035,-0.5078,PC2
TBC1D4,0.76,-0.3299,0.76,-0.5076,depth
ALDH18A1,-0.3532,-0.4746,-0.3532,-0.5074,PC2
NCOR2,0.3114,-0.4822,0.3114,-0.5074,PC2
CHRDL2,-0.7891,-0.3116,-0.7891,-0.5073,depth
NOX4,-0.623,0.3967,-0.623,0.5072,depth
CBFB,0.6974,-0.3634,0.6974,-0.5071,depth
THNSL1,-0.3541,0.4742,-0.3541,0.5071,PC2
CDH15,0.7322,0.3454,0.7322,0.5071,depth
LPAR1,0.0974,-0.5046,0.0974,-0.507,PC2
SYNE3,-0.4459,0.4538,-0.4459,0.507,PC2
TACC1,-0.357,-0.4735,-0.357,-0.5069,PC2
C11orf53,0.2856,0.4858,0.2856,0.5069,PC2
PRR18,0.272,0.4877,0.272,0.5068,PC2
STIM2,0.0588,-0.5059,0.0588,-0.5068,PC2
DPY19L4,-0.3017,-0.4828,-0.3017,-0.5064,PC2
MORF4L1,0.4422,-0.4542,0.4422,-0.5064,PC2
RTN4,0.5197,-0.4324,0.5197,-0.5061,depth
BSN,0.7509,0.3339,0.7509,0.5057,depth
KDF1,-0.2887,-0.4834,-0.2887,-0.5049,PC2
GRB7,-0.7706,-0.3216,-0.7706,-0.5047,depth
LCMT2,-0.5744,-0.4128,-0.5744,-0.5043,depth
DHRS3,-0.2645,0.4863,-0.2645,0.5043,PC2
ATP2A3,0.7965,-0.3048,0.7965,-0.5041,depth
TAS2R10,-0.7198,0.3499,-0.7198,0.504,depth
TMEM169,-0.6715,-0.3734,-0.6715,-0.5039,depth
POMGNT2,-0.5075,-0.4342,-0.5075,-0.5039,depth
DCTN2,-0.0783,-0.5023,-0.0783,-0.5039,PC2
NDNF,-0.6702,0.3739,-0.6702,0.5038,depth
CCL20,-0.6718,0.3732,-0.6718,0.5038,depth
PSMB8,0.6173,-0.3961,0.6173,-0.5035,depth
SNCG,0.4126,-0.4586,0.4126,-0.5034,PC2
VCL,-0.758,-0.3283,-0.758,-0.5034,depth
ANXA5,-0.142,-0.4983,-0.142,-0.5034,PC2
SYCN,-0.088,0.5013,-0.088,0.5033,PC2
S1PR3,-0.1814,-0.4949,-0.1814,-0.5033,PC2
SRSF4,0.6103,-0.3984,0.6103,-0.5029,depth
ZNF415,-0.5781,-0.4103,-0.5781,-0.5028,depth
ZNF207,0.4992,-0.4356,0.4992,-0.5027,depth
KDM7A,0.5425,-0.4223,0.5425,-0.5027,depth
CPA3,-0.3891,0.463,-0.3891,0.5026,PC2
TDRD5,0.2832,-0.4819,0.2832,-0.5024,PC2
GALM,-0.7588,0.3271,-0.7588,0.5022,depth
SERP1,0.7955,-0.3043,0.7955,-0.5022,depth
CAV1,0.4442,-0.45,0.4442,-0.5022,PC2
RAB11FIP1,-0.1597,-0.4957,-0.1597,-0.5022,PC2
SLC7A1,-0.0162,-0.5018,-0.0162,-0.5019,PC2
MVP,-0.5316,0.4251,-0.5316,0.5018,depth
IFNAR2,-0.6831,-0.3665,-0.6831,-0.5018,depth
RAPGEF3,-0.5812,-0.4082,-0.5812,-0.5016,depth
CDCA5,-0.0189,-0.5015,-0.0189,-0.5016,PC2
NFYA,0.6733,-0.3708,0.6733,-0.5015,depth
PMAIP1,0.0901,-0.4994,0.0901,-0.5014,PC2
CYYR1,-0.6398,-0.3851,-0.6398,-0.5011,depth
TCF19,0.5063,-0.4316,0.5063,-0.5005,depth
CCDC71,0.171,-0.4929,0.171,-0.5003,PC2
SLC6A18,-0.1628,0.4936,-0.1628,0.5003,PC2
KRT222,-0.6477,-0.381,-0.6477,-0.5001,depth
OXGR1,0.1195,-0.4964,0.1195,-0.5,PC2
TNFRSF12A,0.2128,-0.4885,0.2128,-0.5,PC2
RHOF,0.6664,-0.3725,0.6664,-0.4996,depth
MED7,-0.2059,-0.4888,-0.2059,-0.4995,PC2
KIAA2022,-0.6508,-0.3791,-0.6508,-0.4993,depth
COLCA2,0.6876,-0.3625,0.6876,-0.4992,depth
METTL21A,-0.7982,-0.3006,-0.7982,-0.499,depth
ZNF625,-0.4379,-0.4486,-0.4379,-0.499,PC2
BHLHE40,0.132,-0.4945,0.132,-0.4989,PC2
POSTN,-0.179,0.4908,-0.179,0.4988,PC2
RBX1,-0.7212,-0.3454,-0.7212,-0.4985,depth
KCTD12,0.353,-0.4663,0.353,-0.4984,PC2
SEC23B,-0.5166,-0.4266,-0.5166,-0.4982,depth
BCL6,-0.4079,-0.4549,-0.4079,-0.4982,PC2
PITPNC1,0.2122,0.4866,0.2122,0.4979,PC2
PAFAH1B3,-0.704,-0.3533,-0.704,-0.4975,depth
CLUL1,-0.065,-0.4964,-0.065,-0.4975,PC2
SLC39A6,0.7639,-0.3211,0.7639,-0.4975,depth
KIF24,-0.6539,-0.3763,-0.6539,-0.4974,depth
NCF4,0.0151,0.497,0.0151,0.4971,PC2
HMGA1,0.7543,-0.3262,0.7543,-0.4969,depth
B2M,0.7253,-0.342,0.7253,-0.4967,depth
IFITM3,-0.311,-0.4716,-0.311,-0.4962,PC2
ATP1B2,-0.4306,0.4476,-0.4306,0.4959,PC2
CRHR1,0.7113,0.3486,0.7113,0.4959,depth
CCDC3,-0.1296,-0.4916,-0.1296,-0.4958,PC2
SNAPC2,-0.2279,0.4826,-0.2279,0.4956,PC2
CCDC12,0.4957,-0.4304,0.4957,-0.4956,depth
ZNF219,0.7789,-0.3109,0.7789,-0.4956,depth
PPIL1,-0.5803,-0.4036,-0.5803,-0.4956,depth
PELI1,-0.6652,-0.37,-0.6652,-0.4955,depth
GFRA1,-0.19,0.4865,-0.19,0.4955,PC2
LCAT,-0.3473,-0.4644,-0.3473,-0.4952,PC2
KLK5,0.1201,0.4914,0.1201,0.495,PC2
ZNF597,-0.1439,-0.4897,-0.1439,-0.4949,PC2
VAMP1,-0.5585,-0.4105,-0.5585,-0.4948,depth
GUSB,0.2934,0.473,0.2934,0.4947,PC2
BABAM1,-0.507,-0.4264,-0.507,-0.4947,depth
CPXM2,0.3054,0.4711,0.3054,0.4947,PC2
PTTG1IP,-0.6464,-0.3774,-0.6464,-0.4946,depth
CNTD1,0.6208,-0.3877,0.6208,-0.4945,depth
SMTNL2,-0.7284,0.3387,-0.7284,0.4943,depth
FAM167B,0.6127,-0.3904,0.6127,-0.494,depth
TRIM68,-0.1458,-0.4886,-0.1458,-0.4939,PC2
SCAF8,0.6388,-0.3799,0.6388,-0.4938,depth
CHRDL1,-0.1301,0.4893,-0.1301,0.4935,PC2
ARHGAP33,-0.4147,0.449,-0.4147,0.4934,PC2
TANGO6,0.0125,0.4932,0.0125,0.4933,PC2
KIZ,-0.5862,-0.3997,-0.5862,-0.4933,depth
PPP1R3F,-0.6383,-0.3796,-0.6383,-0.4931,depth
PIK3R3,0.7474,-0.3276,0.7474,-0.493,depth
POLR3H,0.4312,-0.4446,0.4312,-0.4928,PC2
PLEKHG4B,0.7699,-0.3145,0.7699,-0.4928,depth
CACNG1,-0.6433,0.3772,-0.6433,0.4926,depth
LGALS3BP,0.8021,-0.2941,0.8021,-0.4924,depth
ZC4H2,0.4489,-0.44,0.4489,-0.4924,depth
ZNF626,-0.3033,-0.4689,-0.3033,-0.4921,PC2
INPPL1,-0.0161,0.4918,-0.0161,0.4918,PC2
CD36,0.1841,-0.4834,0.1841,-0.4918,PC2
PPP1R13L,-0.7813,-0.3069,-0.7813,-0.4917,depth
TMEM91,-0.792,-0.3001,-0.792,-0.4916,depth
STK17B,0.4596,-0.4365,0.4596,-0.4915,depth
PSENEN,-0.1564,0.4854,-0.1564,0.4915,PC2
CSMD1,-0.7472,0.3265,-0.7472,0.4913,depth
WIPI1,-0.6529,0.3721,-0.6529,0.4913,depth
MAP2K1,0.5445,-0.4119,0.5445,-0.4911,depth
GTDC1,0.7143,0.3437,0.7143,0.4911,depth
ANKRD13D,0.5954,0.3944,0.5954,0.4909,depth
RSPO3,-0.0735,-0.4895,-0.0735,-0.4908,PC2
WDR86,-0.7478,-0.3259,-0.7478,-0.4908,depth
COL24A1,-0.0965,-0.4883,-0.0965,-0.4906,PC2
GALNT11,-0.7334,0.3335,-0.7334,0.4906,depth
MOGAT3,-0.7455,0.3269,-0.7455,0.4905,depth
GNB5,-0.4099,0.4472,-0.4099,0.4903,PC2
SLC1A2,0.0955,0.488,0.0955,0.4903,PC2
GPC6,-0.4656,0.4338,-0.4656,0.4901,depth
EGR3,-0.2486,-0.4746,-0.2486,-0.49,PC2
IER5,-0.5909,-0.3953,-0.5909,-0.49,depth
CAB39L,0.0155,-0.4898,0.0155,-0.4899,PC2
TOLLIP,-0.0493,0.4892,-0.0493,0.4898,PC2
RHOBTB2,0.5125,0.4205,0.5125,0.4897,depth
IQCC,-0.0692,-0.4885,-0.0692,-0.4897,PC2
MIF,0.4752,-0.4307,0.4752,-0.4895,depth
NETO2,-0.4599,-0.4346,-0.4599,-0.4895,depth
SVOPL,0.1269,-0.4855,0.1269,-0.4894,PC2
ANGPTL6,0.5759,-0.4001,0.5759,-0.4894,depth
JAG2,-0.1229,-0.4856,-0.1229,-0.4893,PC2
RAB11FIP5,-0.7361,0.3312,-0.7361,0.4893,depth
KRT31,0.2684,0.4711,0.2684,0.489,PC2
SLC35F2,-0.6982,0.35,-0.6982,0.4889,depth
SIK1,0.6657,-0.3647,0.6657,-0.4888,depth
TSGA10,-0.5982,-0.3916,-0.5982,-0.4887,depth
CCND2,-0.3624,-0.4555,-0.3624,-0.4887,PC2
SH2D3C,-0.6881,-0.3546,-0.6881,-0.4887,depth
SELM,0.4421,-0.4383,0.4421,-0.4886,depth
ZFP69B,-0.6428,-0.3742,-0.6428,-0.4886,depth
PALMD,-0.6273,-0.3804,-0.6273,-0.4885,depth
PRDM16,-0.7128,-0.3425,-0.7128,-0.4883,depth
FGD3,-0.7998,-0.2932,-0.7998,-0.4883,depth
THBD,0.1949,-0.4788,0.1949,-0.4881,PC2
SLC30A1,-0.5217,-0.4163,-0.5217,-0.488,depth
NDUFA10,0.66,0.3665,0.66,0.4879,depth
C6orf52,0.4312,-0.4402,0.4312,-0.4879,PC2
TEK,-0.6131,-0.3852,-0.6131,-0.4876,depth
PCDHAC1,-0.4534,0.4346,-0.4534,0.4876,depth
ETFB,-0.7048,0.3456,-0.7048,0.4872,depth
ANP32B,-0.3217,-0.4609,-0.3217,-0.4868,PC2
CAPG,0.5516,-0.4059,0.5516,-0.4867,depth
GSG1,-0.6958,0.3496,-0.6958,0.4867,depth
DPYSL3,-0.7015,0.3467,-0.7015,0.4864,depth
HTRA1,-0.5035,0.4202,-0.5035,0.4864,depth
TMEM182,-0.7922,-0.2968,-0.7922,-0.4863,depth
LRRN4,-0.793,-0.2962,-0.793,-0.4861,depth
TM4SF4,0.4769,0.427,0.4769,0.4859,depth
PGS1,-0.681,-0.3557,-0.681,-0.4858,depth
SRGN,-0.4882,-0.4238,-0.4882,-0.4855,depth
STAT1,-0.5029,-0.4196,-0.5029,-0.4854,depth
TM2D3,0.5507,-0.4051,0.5507,-0.4853,depth
POU2F1,-0.417,-0.441,-0.417,-0.4853,PC2
CRYBB3,0.7151,0.3392,0.7151,0.4852,depth
KIAA1683,-0.5441,-0.4071,-0.5441,-0.4852,depth
GDA,0.4014,0.4443,0.4014,0.4851,PC2
C8orf4,-0.7468,-0.3226,-0.7468,-0.4851,depth
TPT1-AS1,0.1024,0.4825,0.1024,0.4851,PC2
KRT83,0.6041,0.3865,0.6041,0.485,depth
GFPT2,0.4543,-0.4319,0.4543,-0.4848,depth
FGA,0.7945,0.2942,0.7945,0.4845,depth
CD200,0.2631,0.4674,0.2631,0.4844,PC2
MORC2,0.6053,-0.3855,0.6053,-0.4843,depth
ZFAND5,-0.4522,-0.432,-0.4522,-0.4843,depth
S100A13,-0.3083,-0.4606,-0.3083,-0.4842,PC2
ZBTB9,0.2624,-0.4672,0.2624,-0.4841,PC2
FYTTD1,0.665,-0.361,0.665,-0.4834,depth
ST18,0.6524,0.3663,0.6524,0.4833,depth
GRTP1,-0.6096,0.3831,-0.6096,0.4833,depth
DAGLA,0.2526,-0.4676,0.2526,-0.4832,PC2
SYTL3,0.618,-0.3798,0.618,-0.4831,depth
SGCB,0.4377,0.434,0.4377,0.4827,depth
ATG16L2,0.6678,0.3591,0.6678,0.4824,depth
SPINK13,-0.5074,-0.4157,-0.5074,-0.4824,depth
SLC16A10,-0.1267,0.4783,-0.1267,0.4822,PC2
TPSB2,-0.391,0.4438,-0.391,0.4822,PC2
RECQL4,0.6442,-0.3688,0.6442,-0.4822,depth
LCN12,-0.6176,-0.3791,-0.6176,-0.4821,depth
GLIPR1L1,-0.0888,0.48,-0.0888,0.4819,PC2
LINC00472,-0.1827,-0.4736,-0.1827,-0.4818,PC2
UMODL1,-0.5354,0.4064,-0.5354,0.4812,depth
PIGS,0.7496,-0.3184,0.7496,-0.4811,depth
CYP24A1,-0.6452,0.3674,-0.6452,0.4809,depth
CNTNAP3,-0.488,0.4197,-0.488,0.4808,depth
SFI1,0.6268,-0.3746,0.6268,-0.4807,depth
PRDM4,0.6759,0.3541,0.6759,0.4805,depth
TADA2A,-0.3883,-0.4424,-0.3883,-0.4801,PC2
DCAF17,-0.5733,-0.3933,-0.5733,-0.48,depth
MRPL2,-0.3907,0.4417,-0.3907,0.4798,PC2
UBE2K,0.1166,-0.4764,0.1166,-0.4797,PC2
BCL2L10,-0.4999,-0.4154,-0.4999,-0.4797,depth
TRIM21,0.7051,-0.3399,0.7051,-0.4793,depth
ARPC3,-0.788,-0.295,-0.788,-0.4792,depth
GADD45A,0.0026,0.4791,0.0026,0.4791,PC2
YEATS2,0.3831,-0.4426,0.3831,-0.4791,PC2
IGFL1,0.5529,0.399,0.5529,0.4789,depth
GTF2A1L,-0.7127,-0.3355,-0.7127,-0.4784,depth
SNHG6,0.3758,-0.4427,0.3758,-0.4777,PC2
ASPHD2,0.1824,-0.4697,0.1824,-0.4777,PC2
PCNP,-0.2471,-0.4628,-0.2471,-0.4776,PC2
CTHRC1,-0.6267,-0.3721,-0.6267,-0.4775,depth
ACTL6A,-0.8033,-0.2844,-0.8033,-0.4775,depth
NTRK1,-0.7328,0.3247,-0.7328,0.4772,depth
SGIP1,-0.7624,-0.3087,-0.7624,-0.477,depth
CXADR,-0.613,-0.3766,-0.613,-0.4767,depth
C1QTNF4,-0.4123,-0.434,-0.4123,-0.4764,PC2
NXT1,-0.7335,-0.3238,-0.7335,-0.4764,depth
ZBTB45,-0.2852,-0.4563,-0.2852,-0.476,PC2
AVP,-0.6531,0.3602,-0.6531,0.4756,depth
SPG11,0.6665,-0.3544,0.6665,-0.4754,depth
TMEM56,-0.7086,-0.3354,-0.7086,-0.4753,depth
URB2,-0.555,-0.3954,-0.555,-0.4753,depth
SET,0.0674,-0.4739,0.0674,-0.475,PC2
ZNF286A,0.779,-0.2974,0.779,-0.4743,depth
FNIP1,0.625,0.3702,0.625,0.4743,depth
MAPK6,0.5028,0.4099,0.5028,0.4742,depth
SNAPIN,0.6663,-0.3535,0.6663,-0.4741,depth
NCAPG2,-0.4638,-0.4198,-0.4638,-0.4739,depth
ZNF217,0.3269,-0.4477,0.3269,-0.4737,PC2
