sample_id,depth_v2_metabolic,depth_pure_metab
TCGA-CC-A8HU-01,0.44238088094706035,0.2536667578467864
TCGA-ES-A2HS-01,0.22655612065139802,0.15521769950067132
TCGA-2Y-A9H0-01,0.3814657437567951,0.1696535455767727
TCGA-2V-A95S-01,0.46563075159659817,0.3660510548931917
TCGA-2Y-A9GU-01,0.3160294125836644,0.08313788468389505
TCGA-RC-A7SB-01,0.3049626861337663,0.09216940647761174
TCGA-FV-A4ZP-01,0.5004759829318626,0.36896587222463517
TCGA-DD-AAD3-01,0.23681109927979116,0.08857397488740004
TCGA-DD-AAW2-01,0.16424464148920137,0.10070679173051389
TCGA-DD-A39V-01,0.3428032200393098,0.2746593252095866
TCGA-DD-AADD-01,0.4081724737504452,0.20795383352888042
TCGA-DD-AADW-01,0.5583775897789665,0.2758481941956471
TCGA-DD-AACS-01,0.2512724478302716,0.11059834640795252
TCGA-2Y-A9H4-01,0.2512785561977888,0.12545067899678508
TCGA-DD-AADV-01,0.27184766982725295,0.10192213231706515
TCGA-G3-A7M7-01,0.17683615528406743,0.10930653230900833
TCGA-DD-A4NK-01,0.08784534669857039,0.058878721833569014
TCGA-ED-A97K-01,0.5445254568892771,0.3157667793181047
TCGA-T1-A6J8-01,0.22785696827552313,0.0999985293557768
TCGA-DD-AACV-01,0.25614600241110275,0.06720433428386441
TCGA-DD-A4NF-01,0.11965939899763861,0.16902999232338367
TCGA-DD-A3A8-01,0.12581567015411127,0.08892398827021142
TCGA-G3-A25S-01,0.27512930060077057,0.21210046266475635
TCGA-DD-A1EL-01,0.45419386290414343,0.32179112730811876
TCGA-DD-AACH-01,0.47204638317534336,0.3289166938738367
TCGA-WQ-A9G7-01,0.5872650627267781,0.2900487371578119
TCGA-DD-A4NO-01,0.14720310284661775,0.07685235023717518
TCGA-G3-A7M9-01,0.7147584419939979,0.4422469094407263
TCGA-CC-5261-01,0.5609232734681672,0.26833143620219246
TCGA-ZS-A9CG-01,0.10292992514412144,0.0915187933654048
TCGA-CC-A123-01,0.4782792562000888,0.21153691170564404
TCGA-5R-AA1D-01,0.27561825102358384,0.23116589752008565
TCGA-BC-A69H-01,0.6145725444813945,0.3312303117472717
TCGA-DD-AAVZ-01,0.40198427971553613,0.11677270013288565
TCGA-DD-AAD0-01,0.22132747334253708,0.16122910581849215
TCGA-EP-A2KA-01,0.3824731893672497,0.2666237238481928
TCGA-2Y-A9HA-01,0.3114193186732806,0.10750116916212427
TCGA-DD-AACD-01,0.282564341699887,0.15801898307885354
TCGA-DD-AAE7-01,0.22891929112674197,0.07934126893112414
TCGA-BC-A8YO-01,0.35884487611477656,0.23535429295866783
TCGA-DD-AAE2-01,0.19459514109132675,0.04098391997350692
TCGA-DD-AAEG-01,0.26570409556203656,0.11541441290413978
TCGA-XR-A8TF-01,0.21145623984360218,0.1485909755375171
TCGA-CC-A5UC-01,0.5514391530903509,0.18746599134675446
TCGA-KR-A7K0-01,0.20579110090565242,0.09845258789302158
TCGA-CC-5263-01,0.6912874670543868,0.4417927744298349
TCGA-K7-A5RG-01,0.45266372849142544,0.19744637294997547
TCGA-G3-AAV4-01,0.24992884693833417,0.24911776038512112
TCGA-ED-A627-01,0.3513240262617162,0.1268042601631172
TCGA-2Y-A9GZ-01,0.16323252288123816,0.023304420463652775
TCGA-DD-AACX-01,0.2696401303465259,0.22202554803613372
TCGA-DD-AAVR-01,0.316195514424231,0.12010106268792298
TCGA-G3-A25T-01,0.6002633819611265,0.4169518246286654
TCGA-MR-A8JO-01,0.3832841465235804,0.33516634459612593
TCGA-DD-AAEK-01,0.22764089004870558,0.11470026795147414
TCGA-DD-A1EE-01,0.2254706966368777,0.22822872639260272
TCGA-DD-AACL-01,0.5468531453287369,0.3084917952748373
TCGA-KR-A7K8-01,0.2461759497867409,0.13837234953094424
TCGA-FV-A3I0-01,0.7120282833775857,0.7544935541654216
TCGA-DD-AADA-01,0.3095318868454187,0.09432537126414664
TCGA-G3-A5SM-01,0.28115654498939624,0.10150152799990042
TCGA-G3-A3CH-01,0.19764303266308766,0.07384164688693107
TCGA-G3-AAUZ-01,0.2156154424712111,0.047135919903266044
TCGA-DD-AAVV-01,0.3099314751342346,0.15199581160465903
TCGA-DD-A4NP-01,0.0757021157106693,0.10017206540274282
TCGA-ED-A66Y-01,0.4108329985979076,0.292478241815218
TCGA-LG-A6GG-01,0.2129223489809179,0.10860827031663234
TCGA-DD-AAE4-01,0.19513882524263754,0.04027448108337339
TCGA-HP-A5MZ-01,0.21081319343554802,0.11777215011167863
TCGA-G3-A5SI-01,0.3046525500925121,0.09153938238857928
TCGA-DD-A1EI-01,0.3892550898883806,0.14872803960107828
TCGA-G3-AAV1-01,0.23357139679988467,0.1563695082461226
TCGA-DD-A113-01,0.3782588802986798,0.21358699009139293
TCGA-DD-AACB-01,0.4134656486544639,0.2336277563555046
TCGA-CC-A9FS-01,0.25640107791648653,0.08777923861802561
TCGA-BC-A5W4-01,0.19822953720567746,0.07967245806483181
TCGA-2Y-A9H5-01,0.4396052056046711,0.13489339298260306
TCGA-BW-A5NO-01,0.230616907807026,0.1397406371424067
TCGA-CC-A7IE-01,0.5689864701835723,0.2603752496421162
TCGA-KR-A7K2-01,0.2887110702964884,0.09261942368398113
TCGA-DD-AADM-01,0.23210263213429616,0.10290805236712575
TCGA-CC-5258-01,0.5016889843865162,0.24689532246837675
TCGA-BW-A5NQ-01,0.4625332178726928,0.3467956127736097
TCGA-2Y-A9GX-01,0.2927045085097916,0.0789483127295636
TCGA-LG-A9QC-01,0.28507471423132646,0.2669278531233342
TCGA-DD-A11C-01,0.2664861800478351,0.1506851732572525
TCGA-BC-A10Q-01,0.6686956537843651,0.6405409618602689
TCGA-4R-AA8I-01,0.2651679520840728,0.09244765241030917
TCGA-FV-A4ZQ-01,0.47949317536409497,0.3075194051537966
TCGA-BC-4073-01,0.49829152845812397,0.27945950874600745
TCGA-DD-AADQ-01,0.2213396564314125,0.22501330933265207
TCGA-DD-A1EA-01,0.21114072956613417,0.15571889513485104
TCGA-WQ-AB4B-01,0.2838471524295385,0.0896546044407116
TCGA-RC-A7SH-01,0.5083336121905815,0.32116875056995575
TCGA-BC-A10T-01,0.2931175631731915,0.06214767035236368
TCGA-DD-A39W-01,0.2754837598037393,0.2742957818975189
TCGA-RC-A6M5-01,0.21583644088047238,0.2021618473653536
TCGA-UB-A7MD-01,0.24943282287146898,0.15462591216762656
TCGA-2Y-A9H6-01,0.2695328549097031,0.13371746566803
