sample_id,depth_s1
GSM363378,0.35298309745363465
GSM363384,0.4879034056421843
GSM363386,0.46674229028318925
GSM363388,0.44814257304856564
GSM363391,0.19471619949989355
GSM363393,0.2389468189588529
GSM363400,0.27529178325788495
GSM363404,0.3699586506026331
GSM712532,0.3921212309868051
GSM712534,0.1995455987960557
GSM712542,0.49473025771160567
