sample_id,s1_depth,stromal_score,immune_score
TCGA-BQ-5893-01,0.7939585625940107,0.6250901555448312,0.43883230327489636
TCGA-B9-7268-01,0.656508485385445,0.12743419971044173,0.27331668295989037
TCGA-BQ-5894-01,0.8109734478081563,0.8256723217174101,0.7329874241783688
TCGA-HE-7129-01,0.8054685679615756,0.0,0.23728609433568912
TCGA-2Z-A9J5-01,0.6476569442250983,0.4247751414646565,0.6975141551707383
TCGA-J7-6720-01,0.72788773978683,0.6167441385637692,0.6351915360509377
TCGA-2K-A9WE-01,0.6668299466121598,0.5387874344383576,0.8024530368935617
TCGA-BQ-7050-01,0.2830615301585412,0.27112225091879116,0.43254314658834836
TCGA-2Z-A9J9-01,0.8103169952993565,0.5050102618223088,0.4209382737377873
TCGA-Y8-A897-01,0.6491367615552376,0.44592191999490893,0.5765674925683797
TCGA-BQ-7045-01,0.8755432463612371,0.352876757370216,0.512456633307779
TCGA-A4-A4ZT-01,0.7539795138886727,0.41359651681400944,0.4924271809179079
TCGA-5P-A9KA-01,0.7483020118207497,0.4968863191612352,0.654034088691063
TCGA-5P-A9JU-01,0.284102227256083,0.13480507840880784,0.2548088543219679
TCGA-WN-AB4C-01,0.1983088544622723,0.3091983846247673,0.5306181098143902
TCGA-Y8-A8RZ-01,0.5148392245038493,0.17456168495410013,0.35940221449413057
TCGA-5P-A9JV-01,0.5081115009870716,0.7346231763389425,0.5228322467954121
TCGA-UZ-A9PN-01,0.6080613878989934,0.8502158429808607,0.665681321154806
TCGA-MH-A55Z-01,0.7354051847502358,0.17335386581672985,0.4589763757945542
TCGA-B1-A47O-01,0.7546865616807881,0.4136362913190817,0.4698054863174296
TCGA-BQ-5881-01,0.4974082883918031,0.4705887422240843,0.6832821557222438
TCGA-GL-A4EM-01,0.4581995312659573,0.6811509946277905,0.7148184724459021
TCGA-B3-8121-01,0.7640458492124906,0.6752736485948996,0.7492609908661043
TCGA-Y8-A8RY-01,0.7222599963195011,0.39651204106850246,0.5530113947359458
TCGA-2Z-A9JD-01,0.4558859815841086,0.29598927149016535,0.2653713484559921
TCGA-P4-AAVL-01,0.842579162129293,0.6940922927615705,0.42499898253870294
TCGA-AL-3472-01,0.7503717631958413,0.44488579413776824,0.43148997032335323
TCGA-B9-A8YH-01,0.630099113988831,0.4216044505019543,0.5343117019677286
TCGA-A4-8310-01,0.6029459921640382,0.2670599481340455,0.36779938487197006
TCGA-EV-5901-01,0.8197612371448629,0.6107905580628226,0.6598099465355235
TCGA-A4-8515-01,0.6504819312165487,0.1928248118665911,0.30527327349276606
TCGA-5P-A9K9-01,0.364504244750925,0.6830939792005857,0.4357134729317918
TCGA-B1-A47M-01,0.8135277604923086,0.4521963481701078,0.43795354894653293
TCGA-GL-A59T-01,0.7496032202805842,0.24457409459968296,0.4773039684312905
TCGA-BQ-7046-01,0.551477627622593,0.3690908343630512,0.5392619626454659
TCGA-UZ-A9PM-01,0.7124105429071839,0.3088695820495004,0.6466078670938065
TCGA-HE-A5NL-01,0.7138777200838005,0.3360726918854706,0.6017124911854629
TCGA-BQ-7049-01,0.8996226740171173,0.7861987770665508,0.6752230316692095
TCGA-A4-8517-01,0.6137174571503637,0.23552406887883617,0.40864235778590446
TCGA-5P-A9KF-01,0.6257242628421323,0.37277461644118975,0.41542737112087685
TCGA-P4-A5EA-01,0.8755412814958838,0.799386677131781,1.0
TCGA-HE-A5NK-01,0.6889981694597396,0.41772709916579615,0.6472266496785236
TCGA-AL-3471-01,0.6044611819683541,0.24808485758075552,0.2009216122899358
TCGA-MH-A562-01,0.7510023134083894,0.29893722522446087,0.6587742124641914
TCGA-B9-5156-01,0.7379016381954046,0.500772288306826,0.5415693156929077
TCGA-MH-A854-01,0.8128692440101931,0.4083316981592358,0.4589057764392509
TCGA-4A-A93W-01,0.7648244057289784,0.49276236589362754,0.4457518706752703
TCGA-B3-3926-01,0.7583047119746809,0.2584328579838039,0.4235745367228775
TCGA-BQ-5886-01,0.6089299110243241,0.2901278352593036,0.4302249959924483
