gene,normal_mean,tumor_mean,change_pct,p_value
TET2,6.984966353841055,6.886650394030097,-1.4075366269573215,0.4452214452214452
HDAC1,5.973721988514903,5.997984289014249,0.4061504794831834,0.4452214452214452
HDAC2,5.942266813570813,6.351776488833942,6.891472364180956,0.05128205128205128
KDM6A,6.12859325776072,6.112499355944076,-0.2626035231864056,0.7307692307692307
KDM6B,5.5915247818318585,5.365394837665277,-4.044155270514573,0.5337995337995338
ASXL1,6.891408838200881,6.712756723208176,-2.592388859624613,0.6282051282051282
SETD2,7.971527052805219,7.459737237187824,-6.420223029128326,0.03496503496503496
PRKCI,6.356127214760819,6.831036330556953,7.471674177528315,0.10139860139860139
PRKCZ,4.592558674951159,3.7961244455396357,-17.341841134343124,0.004662004662004662
PARD3,7.32211605201045,7.233075841269221,-1.2160447896312807,0.7307692307692307
PARD6A,2.507931259200235,1.78233587435744,-28.93202842705439,0.10139860139860139
PARD6B,7.362439094438514,6.45659001707839,-12.303654614194235,0.03496503496503496
LLGL2,7.051194213092537,5.041732247548142,-28.498179241939763,0.0011655011655011655
LLGL1,4.68558853152394,5.081130070577567,8.44166184018257,0.23426573426573427
SCRIB,5.870176072598324,5.986262426379787,1.9775617008039672,0.7307692307692307
DLG1,7.201794914496301,7.0179776040069175,-2.552381908562585,1.0
CDC42,7.816339032541247,7.841710266685912,0.32459229364333947,0.7307692307692307
RAC1,7.363901682422726,7.923996601028256,7.605953240012016,0.07342657342657342
RHOA,8.209386666388793,8.350913675197145,1.7239656817213522,0.18065268065268064
ATP6V1G3,4.46362657321021,0.7551354159380319,-83.08246885010043,0.0011655011655011655
ATP6V0A4,7.660295639524833,2.5099617068396585,-67.23414049597503,0.0011655011655011655
FOXI1,4.974549180385377,1.2758169537467776,-74.35311407157623,0.002331002331002331
TFCP2L1,9.226477035236762,5.1213804234358395,-44.49256846489924,0.0011655011655011655
HNF1B,7.083459222391649,5.562395919686432,-21.47345322320705,0.013986013986013986
HNF4A,7.3352457972355785,2.579782576300535,-64.83031860673609,0.002331002331002331
PAX8,8.364510477061,6.965077610371155,-16.730600918340375,0.05128205128205128
KRT7,5.826814105488716,6.965133516423031,19.535879990783403,0.7307692307692307
KRT8,7.745505269398748,8.428437940193772,8.817148101275997,0.2948717948717949
KRT18,6.985441762415164,7.678004981362085,9.914379684234504,0.36596736596736595
KRT19,6.020243182153699,8.697412830130224,44.469460235637634,0.0011655011655011655
CALB1,8.814763267474444,1.9030689128526297,-78.4104365017407,0.0011655011655011655
UMOD,11.088545448559854,2.895113746740948,-73.89095116062353,0.002331002331002331
PAEP,0.012803553312561868,1.9885692585842658,15431.385780486684,0.002591040386242343
CST1,0.021457693385172515,1.7974994297941023,8276.946196072468,0.0032316732208015663
S100A7,0.015886494623112816,1.264994106173156,7862.701251494157,0.002981417722161174
AGR2,2.632379659725593,4.207754182661421,59.846022480664864,0.2948717948717949
ANXA8,0.012058186573171365,1.5405691566532833,12676.126387701976,0.03310613000038076
ANXA8L1,0.0055711987620596995,1.754666291159763,17490.950923977034,0.0041628508391532235
LY6D,0.0,1.6567849377651327,16567.849377651328,0.0065720223637605974
HOXC13,0.0,1.4237752922265052,14237.75292226505,0.0065720223637605974
BARX1,0.0,0.8801626111644509,8801.62611164451,0.0065720223637605974
NPBWR1,0.00398063554930365,1.362122604499545,13581.41968950241,0.002591040386242343
ISL2,0.011016230809656517,0.9179044922124783,8232.291761787244,0.002591040386242343
ESRP1,4.8362503573890026,4.541278597801598,-6.0991829990094715,0.6282051282051282
ESRP2,5.200196228784096,4.075299617526299,-21.63181083496957,0.6282051282051282
GPRC5A,3.963203512474667,6.237599206171319,57.38780979926247,0.03496503496503496
SERPINA1,7.291901916466692,8.70875588697192,19.43051328358744,0.10139860139860139
MYC,4.376799647329633,7.01171062890738,60.201772845265054,0.002331002331002331
MYCN,2.9221421848085734,1.039425843588579,-64.4293200723677,0.022144522144522144
MKI67,3.4296204283004776,7.5420089053510635,119.90797707863108,0.004662004662004662
CCND1,7.2131737948245105,7.595172195245875,5.295843567438381,0.07342657342657342
CDKN1A,5.3890275983644855,6.342628590489575,17.69523304008496,0.03496503496503496
CDKN2A,0.08730970416366653,1.5744647768107767,1703.3101725546583,0.008133072234894982
TP53,4.751225700757568,5.759326169645946,21.21769270459282,0.004662004662004662
PTEN,7.6234440937785175,7.3377094965271565,-3.748103793199567,0.6282051282051282
INPP4B,5.537947170859233,5.921088785570534,6.918477242386818,0.36596736596736595
AKT1,6.751089619058004,6.736448461393293,-0.2168710310611245,0.7307692307692307
MTOR,7.372029452097929,6.754598158615027,-8.375323206382381,0.004662004662004662
VHL,6.200471884194369,6.69721942744499,8.011447395106835,0.2948717948717949
HIF1A,8.033810491105799,8.341400274686551,3.8286910541552346,0.23426573426573427
CDS2,7.341731863277903,6.791103592716598,-7.499977945468886,0.013986013986013986
RHBDL2,1.3906883398444851,3.2097666247332866,130.80416602128278,0.004662004662004662
ZBED6CL,2.9323947709587,3.5709406369636736,21.77557647861346,0.10139860139860139
B4GALT5,6.462320895753346,7.207617677710266,11.53295842127995,0.10139860139860139
ADPRM,2.901799113076183,3.2873462798199795,13.28648716606298,0.2948717948717949
MIR31HG,1.072416516221154,3.0435821420842184,183.8059742691029,0.13752913752913754
