gene,r,p_value
C17orf89,-0.8041090536354856,0.029263289731243813
MYOF,0.8040053678952068,0.029300284241045284
ARHGAP32,0.8037044220433694,0.029407808346643978
ANXA8L1,0.8033142537985815,0.029547538862141384
CLUAP1,-0.8033124938597327,0.02954816998728827
RAB25,0.802717857764487,0.029761842370647988
DAW1,-0.8026054917630667,0.02980231601200229
CD320,-0.8025491650764472,0.029822616171688986
SNORA76C,-0.8023386749468435,0.029898545374156572
IVL,0.8021138065983463,0.029979780556159772
SDSL,-0.8017193518029656,0.03012257796512314
EIF2D,-0.8008149860440787,0.030451402862688482
RRAGD,-0.8005194354670173,0.030559297280902804
EVI2B,-0.7987175117478522,0.031221731593629665
SERTAD4,0.7985680778950595,0.0312770240643953
PPP1R15A,0.7983558151497685,0.03135565801698651
COG2,-0.798352093817767,0.0313570375897083
HCST,-0.7982617303394639,0.03139054755968363
LOC100506985,-0.7981349255526506,0.03143760497073832
RASD2,0.7980529404356587,0.031468050707907765
CCNG2,0.798042800019763,0.03147181756508466
GOLPH3,0.7980395067532133,0.031473040967975215
GBP3,0.7978807283321718,0.031532056466295
HPGD,0.7978378881912132,0.031547990066734505
AGK,-0.7975540921729849,0.03165365631139191
FBXL4,-0.7971122456730726,0.03181856259141606
AOAH,-0.7962472321007359,0.032142789348565445
TUFT1,0.7957114099763257,0.03234454829843102
DOCK9,0.7952888871236491,0.032504142365005255
TLR8,-0.7950304143004113,0.032601988038673355
PTK7,0.7943372705177931,0.032865189841163864
PARD3B,-0.7942735883596134,0.03288943055631642
CDS1,0.7942567198047805,0.032895853268346154
CUTC,-0.7941532107430461,0.03293527971593112
PDZK1,-0.793798705781485,0.03307050969108526
CYP3A5,-0.7934225273436609,0.03321434517794541
NCF1C,-0.7932968431442818,0.03326247931893804
SERPINB3,0.7932262911957696,0.03328951611090603
PRSS3,0.7931014730757598,0.033337378683131476
ZDHHC7,0.7930423191675503,0.03336007514034118
CEACAM5,0.7930142125759551,0.033370862230289816
MPEG1,-0.7925123996694956,0.033563781283737895
SMTNL2,-0.7923434726275064,0.03362886374173335
SHMT1,-0.7921656067076535,0.033697466005700685
TMEM128,-0.7921500076491222,0.03370348622330374
MRPS27,-0.791752707689134,0.033857020040018115
DPYSL2,-0.7917068541808053,0.03387476483371415
PRRG4,0.7913784861585502,0.03400199093343926
PPHLN1,-0.7907086693464717,0.03426233504395552
NDRG3,-0.7906501170464236,0.03428514568795445
GNAL,-0.7893944147479959,0.03477637379912114
TMEM170A,0.7893030767429985,0.0348122568153386
JMJD4,-0.7891897789667661,0.034856795552299674
MPZL3,0.7891428381492545,0.034875257843247506
LEMD1,-0.7886617380963616,0.03506479287820802
KLHL11,-0.7876289858233465,0.035473588567696696
CCDC64B,0.7876132796701076,0.035479825899621384
SNORD45B,-0.7876045318139955,0.03548330017072605
CCDC28A,-0.7876008731567745,0.035484753287651695
KCTD20,-0.7873334707705184,0.035591047662873666
INPP1,0.786893534373084,0.035766310220847336
RGS18,-0.7868376559484319,0.03578860541098846
ATP6V0E2,-0.7863351261316802,0.0359894591450007
RARRES3,0.7862884372219276,0.03600815172935471
ACSM3,-0.7861801259611949,0.03605153648797525
SLC17A3,-0.7858810215212297,0.03617149543352582
FAM195A,-0.7858020238452338,0.03620321523432058
CLN6,-0.7857987227639319,0.0362045410480267
CLIC3,0.7857501628066733,0.036224047306641964
MLLT10,0.7857142542534652,0.03623847532214584
SCO1,-0.7856563589894313,0.03626174429445953
CTCF,0.7855258026317078,0.03631424730002771
TEAD2,0.7851846177992147,0.03645165341513647
SIAH2,0.7849405018217128,0.03655014368686252
CR1,-0.7848704773816255,0.03657842277023281
HKDC1,-0.7847739748780468,0.03661741481406569
UBL7,-0.7840453868476002,0.03691254706594191
RHBDF1,0.7840250625875766,0.036920798760007166
SEPP1,-0.7838943344480156,0.0369738991435242
DSP,0.7838201955748368,0.0370040323919969
AFAP1L2,0.7836388016006064,0.037077816212067016
LEO1,0.7836160491124874,0.03708707677277377
SCARNA4,-0.7832273007985542,0.03724550075766984
HN1L,0.7830840958414227,0.037303954568302905
TSPAN12,-0.7829637771647562,0.03735310591277164
APBB2,0.7828790460099957,0.03738774095848637
OSM,0.7827684040329478,0.03743299422785829
GNA15,0.7826856852035867,0.0374668465934533
DIRC2,0.7824497762978231,0.03756348466484552
H1F0,0.7823874088137045,0.03758905605324784
CARD11,0.7823356428909598,0.03761028801006848
NCCRP1,0.7821200924454406,0.03769876820779315
MLPH,0.7819685175266744,0.037761056479238886
TMEM51,0.7818425401585456,0.03781286907906289
RPS6KA2-IT1,0.7807372004946203,0.03826916853469969
METTL8,-0.780442480927844,0.03839134534084072
WASH7P,0.7804028533538334,0.03840778952271985
TPK1,-0.7800735415140181,0.038544594435848116
PID1,-0.7799495159115375,0.03859618785466889
IFNE,0.7798427624871167,0.03864062684198031
MTUS1,0.7794233436143396,0.03881549559555425
TRPV4,0.7793576975998349,0.03884290504949537
PODXL,0.7792078448744169,0.038905513840170575
ARHGAP6,-0.7791548569714228,0.03892766566648348
C12orf10,-0.7789411354293201,0.03901708379415731
FABP7,-0.7789376491806836,0.03901854333408489
ZNF512,-0.7788241399169018,0.039066081220902174
GDE1,0.7788023266497858,0.03907522032892556
HBEGF,0.77865766321636,0.03913585995113115
CAMK2G,0.7785805571161252,0.03916820234924472
PSCA,0.778400817048222,0.039243652330656895
SNCG,0.7783639200569886,0.039259150627966775
SDC4,0.7782832201834868,0.03929305979834611
AGTPBP1,-0.7775942345027564,0.03958322378372128
MTMR10,-0.777298352480312,0.03970819627238425
TP53I11,0.7771583212722042,0.039767417643322395
FBXO34,0.7768282277275314,0.039907212602555024
BAG5,0.7766866605813209,0.03996724960889266
GCFC2,-0.7766441168992433,0.0399853016553449
XAF1,0.7759696642212256,0.040272086555612874
C6orf48,-0.775561109777362,0.0404463599790066
BAIAP2L1,0.7751949828817111,0.04060288907102759
CYSLTR1,-0.7751130162269673,0.0406379778187977
KRT7,0.7749914002272199,0.04069007075878909
PIM3,0.7749862649422403,0.04069227121612026
FABP4,0.7749681525040881,0.04070003287771092
GIPC1,0.7743983914923966,0.04094460842959133
SNORA5A,-0.7743551147224983,0.04096321850870153
F8,-0.7741853261123908,0.04103627693980078
B3GNT3,0.7741276003735611,0.041061132166676
PLEKHG6,0.7740832183343946,0.04108024759284094
HERC6,0.7739276748337467,0.041147279273423557
SLITRK6,0.7737909355136378,0.04120625714721491
MIR650,-0.7737351946737836,0.041230312461585227
EPB41L4A-AS1,-0.7736726138058245,0.04125732887619244
FTL,-0.7735977803013497,0.041289647639763435
PGF,0.7733968374300781,0.041376499137411406
NDUFA2,-0.7733828114569132,0.041382565205602226
PYGL,0.7731940875370727,0.041464233851439984
TMEM120A,-0.7731263726368327,0.0414935585710793
CCAT1,-0.7727854060938615,0.04164139208049219
ACER2,0.7727774982478622,0.04164482414567146
KRT5,0.7726992400847821,0.04167879720445801
LAMC2,0.7726448552790252,0.041702415485822805
HES1,0.7724348581623508,0.04179368256803916
GPX3,-0.7722574512300737,0.0418708714499164
LINC01465,-0.7721818391220331,0.04190379380685707
FAM160A1,0.7718777948367423,0.04203632231702743
DNAJB12,0.7713690324321196,0.04225860128179675
ZMYM6NB,-0.7713293268075514,0.04227597594136127
IFI6,0.7709315101163243,0.042450272893284915
MMP12,0.7708957117071976,0.042465976795288414
SH3YL1,0.7708920607818006,0.04246757854863377
OAS3,0.7707070916232623,0.04254877282522396
DENND5B,-0.7706774110711856,0.04256180940167908
P2RY10,-0.7706177759534881,0.042588009570424926
CCP110,0.7702370321335925,0.04275549575129438
ENPP2,-0.7702142985037861,0.04276550756740813
SEC24C,0.7700327273651862,0.04284551730723439
TP63,0.7699733108033626,0.04287171726471347
DCAF10,0.7699262478531265,0.04289247611996981
PRSS8,0.7697107376264214,0.04298760567804106
APOL6,0.7696435245981234,0.04301729832870506
KRT16,0.7695561171695895,0.043055929156685886
IL34,-0.769331025396268,0.043155499364000996
SLC6A15,-0.7690625063799863,0.04327444566676206
C1orf162,-0.768956851870123,0.04332129710016458
FAM81A,-0.7688616830676704,0.04336352267688974
PEX13,0.7686844751776121,0.04344220871613068
OGDH,0.7685953260537779,0.04348182354242655
STK24,0.768584126420546,0.04348680168415355
