,OLIG2,SOX10,MBP,MOG,PLP1,PDGFRA,SOX2,EGFR,NES,CDX2,SPI1,KLF4,IRF8,OLIG1,GFAP,MKI67
MGH100-P5-A03,1.6130691214097579,0.0,0.0,0.7837492247627191,0.0,1.7605837794378598,0.0,1.3541885317709876,1.5091610223263634,0.0,0.0,0.0,0.0,1.807786429043458,1.440974776461984,1.289023269320375
MGH100-P5-A04,0.0,0.0,0.0,0.0,0.0,0.0,1.5393663741815493,1.5399525751343075,1.166780232141714,0.0,0.0,0.0,0.0,0.0,1.7704453828528162,0.0
MGH100-P5-A06,1.259401181227517,0.0,0.0,0.9960348562313691,1.6289206892649275,1.815947818169383,0.9984735210549952,1.6873695189420264,1.1507611065199186,0.0,0.0,0.0,0.0,1.8911997450026947,1.9107245172792666,1.0769925484743905
MGH100-P5-A07,0.0,0.0,0.0,0.7849029442154973,0.0,0.0,1.770177055457855,1.709476678770345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGH100-P5-A08,0.0,0.0,0.0,0.9278521601844891,0.0,1.3518920605511184,1.1253644464026713,1.5538996233449716,1.2655324852869754,0.0,0.0,0.0,0.0,1.7137161160331202,0.0,1.514023301493311
MGH100-P5-A09,0.9621426723903316,0.0,0.0,0.6209872649729848,0.0,1.5925921447819043,0.0,1.3022660736874079,1.4388474090713763,0.0,0.0,0.9966868425913341,0.0,1.7768914715719843,1.6440332444102868,1.081837405145296
MGH100-P5-A10,0.0,0.0,0.0,0.3830542610559101,0.0,0.0,1.0456294749831425,0.14586822636187743,1.0379212052675992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGH100-P5-A12,0.0,0.0,0.21708529603057916,1.1007691489954043,0.0,1.5357438402993522,1.3023886760488428,1.0613437353979787,1.0848609100213633,0.0,0.0,0.0,0.0,1.564307649107987,0.0,0.8161749535063638
MGH100-P5-B02,1.3500408099841963,0.0,0.0,0.6260807043793544,0.0,1.8408074137610717,1.5946235011723533,1.5995010507587384,1.6102659289853165,0.0,0.0,0.0,0.0,2.0262884824316063,1.4263557622101741,0.0
MGH100-P5-B07,1.5495841265141186,0.0,0.0,0.6315321826608827,0.0,1.7801246171010607,1.428512384460733,1.6780337410976303,1.4605440031065438,0.0,0.0,0.0,0.0,1.1639549996588845,1.875574318203591,1.2711264360725834
MGH100-P5-B08,1.2609639146240155,0.0,0.0,0.8443810455328148,2.136058981254314,1.6214271213548752,1.1957300825364476,1.7709558726893517,0.9204642592448714,0.0,0.0,0.0,0.0,2.1171698507057526,2.0809207255066866,0.0
MGH100-P5-B09,0.0,0.0,0.0,0.9760593370171059,0.0,0.0,0.6754683533822772,1.749389185005537,0.0,0.0,0.0,0.0,0.0,0.0,0.9597993082363062,0.0
MGH100-P5-B10,0.0,0.0,0.0,0.6981664048251494,0.0,0.0,0.0,1.5333478504087135,0.9658957528968042,0.0,0.0,1.0018591123369893,0.0,0.0,2.48282182648167,0.0
MGH100-P5-C03,0.5936852052484364,0.0,0.0,0.8463539531399756,0.0,0.0,1.1506589957817235,1.593774480842732,1.6564834245169475,0.0,0.0,0.0,0.0,1.287993394378251,2.0117554447951784,1.357371281627959
MGH100-P5-C04,1.1589233107743917,0.0,0.0,1.0508109772999106,0.0,1.9170739659934053,1.1897591953178976,1.811239727998953,1.2542272506572965,0.0,0.0,0.0,0.0,1.6534631255492052,1.030180891476246,1.7566253224194375
MGH100-P5-C06,0.0,0.0,0.0,0.7038297815598803,0.0,0.6044554785242292,1.384530221560563,1.1693876733396056,1.4296603160597563,0.0,0.0,0.0,0.0,0.7073306933947507,2.4330064740051722,0.0
MGH100-P5-C08,1.8324987829422652,0.0,0.0,0.6686432950020684,0.0,0.6226916955594084,1.1669741304051786,1.6056368236070215,0.0,0.0,0.0,0.0,0.0,1.8000836252167505,0.0,0.1909416835532943
MGH100-P5-C10,0.0,0.0,0.0,0.6490902535282549,0.17207570270850156,0.0,1.0934010890265111,1.522204357815678,1.0403669281394683,0.0,0.0,0.0,0.0,0.0,0.2711738958219848,0.0
MGH100-P5-D01,0.4544535578160922,0.0,0.0,0.4701722109781647,1.7807935086862914,0.0,1.7024468491925198,1.3591234470177118,1.4472521351303718,0.0,0.0,0.0,0.0,0.7793927007203663,0.25861512908095946,0.9641135206231074
MGH100-P5-D03,0.0,0.0,0.0,0.5498080674439649,1.4567977384620283,1.8246610061583275,0.8297658180233854,0.13911770489842457,1.0800607500086306,0.0,0.0,0.0,0.0,0.0,2.3507261867933362,0.0
MGH100-P5-D04,0.6434516985232102,0.0,0.0,0.4928131164263687,0.0,0.7034780652777468,0.45934554801799143,1.6592465402114505,1.0315077957859724,0.0,0.0,0.0,0.0,1.0074291990895383,1.9092349637078971,0.0
MGH100-P5-D07,1.2014127111081585,0.0,0.0,0.5770234130744015,1.8986773445772331,1.3997848426015567,0.3766071097459168,1.7453335324359551,1.807772600456987,0.0,0.0,0.0,0.0,2.1261259252804674,2.307486580234707,0.0
MGH100-P5-D09,0.0,0.0,0.0,0.5587361057021722,0.0,0.0,1.610750515749036,1.6363118293785777,0.8754651334574816,0.0,0.0,1.553116689604701,0.0,1.9768416846934582,1.7910066057103422,0.0
MGH100-P5-E01,0.572282637847879,0.0,0.0,0.32019870288630226,0.0,0.8495383644400817,1.7241063900488096,1.5867459215195021,1.332019180750636,0.0,0.0,0.0,0.0,0.8089262820452023,1.5826822045696682,1.6412867279977326
MGH100-P5-E02,1.2484426455860218,0.0,0.0,0.0,0.0,0.0,1.6427341220762985,1.6455085356818828,1.5871045464850067,0.0,0.5386523335059004,0.0,0.0,2.0517580588222426,2.2092812969661697,0.0
