gene,r,p,abs_r,novel
PPM1D,0.05375952583296088,0.21487012141907177,0.05375952583296088,True
TBC1D3G,0.05373693583673458,0.21506316356709515,0.05373693583673458,True
AADACL3,0.0537267159530311,0.21515053821651323,0.0537267159530311,True
GGH,-0.05372283974172723,0.21518368446264827,0.05372283974172723,True
MYADML,0.05370284307501687,0.2153547381875972,0.05370284307501687,True
HIST2H3C,0.053690307841276076,0.21546201577968638,0.053690307841276076,True
C1orf220,0.053678858446821784,0.21556003420724223,0.053678858446821784,True
RAX,0.053675839722009275,0.21558588288782704,0.053675839722009275,True
OR8S1,0.05367513360437463,0.21559192954004072,0.05367513360437463,True
SH3RF1,-0.053664975355241624,0.2156789305104141,0.053664975355241624,True
ICAM4,0.053664891859706354,0.21567964571770026,0.053664891859706354,True
KLHL10,0.05364381502717392,0.21586024045016666,0.05364381502717392,True
GNAQ,-0.05359726974484188,0.2162594436826381,0.05359726974484188,True
EPOR,0.05359364027849183,0.21629059465417713,0.05359364027849183,True
STAG3L2,-0.05358932113720686,0.2163276691625172,0.05358932113720686,True
RAB3GAP2,0.053586747454634265,0.2163497632264139,0.053586747454634265,True
UPF3A,0.0535725915473653,0.21647131513991963,0.0535725915473653,True
TNF,0.053571405987822646,0.21648149735642766,0.053571405987822646,True
GPR12,0.053554327857061705,0.21662821157737497,0.053554327857061705,True
PLA2G4A,0.05354563487524861,0.21670291834565192,0.05354563487524861,True
SUFU,0.0535402952911199,0.21674881545533206,0.0535402952911199,True
TMEFF2,0.05352123201288566,0.21691273331745334,0.05352123201288566,True
ZNF295,0.05351146507170491,0.21699674996876225,0.05351146507170491,True
SCARNA21,0.05345525973344441,0.21748069022097785,0.05345525973344441,True
FSIP1,0.053411718909510617,0.21785611787271766,0.053411718909510617,True
EDC3,0.05341044943585496,0.21786707078454431,0.05341044943585496,True
GLRX2,0.05339480636656567,0.21800207027182206,0.05339480636656567,True
SAC3D1,-0.05337495470802994,0.21817347613965343,0.05337495470802994,True
SNX22,-0.05336814117477476,0.2182323287248443,0.05336814117477476,True
OSR1,0.05336754390540847,0.21823748824191577,0.05336754390540847,True
XAGE5,-0.05334677900385006,0.21841692039145919,0.05334677900385006,True
TMC3,0.05334460809677976,0.21843568557621623,0.05334460809677976,True
CCDC40,0.05325349627987403,0.21922429224574777,0.05325349627987403,True
CFHR1,0.05325348748414532,0.21922436847432547,0.05325348748414532,True
PTCD2,-0.0532451453901206,0.2192966741513262,0.0532451453901206,True
