,SLC2A1,SLC13A2,LOXL2,RUNX1,SLC22A8,SUCLG1,NAP1L1,LDHD,CYP17A1,ABAT,CAV1,FBP1,OGDHL,ATP5A1,GOT1,CTHRC1,SLC2A3,ENAM,LOX,AIFM1,PECI,TMEM171,SLC22A6,FAM115C,ACAT1,IVD,SLC34A1,PEPD,TGFBI,HIBCH,SEPHS2,PLOD2,TST,HSDL2,BPHL,OSTBETA,G6PC,ACY1,IFI16,PCCA
PECI,-0.3488136836730739,0.34361069303825914,-0.4837176847507013,-0.5646184166687873,0.34518330281184284,0.5649600526843819,-0.35094674113292873,0.4131416054205629,0.3690643637004096,0.38796992197571345,-0.3087835659219553,0.41006401208983123,0.38748281589393957,0.5599001115119188,0.5411796598850165,-0.44405308676534777,-0.44052312887821177,0.4364275518987107,-0.2867768085198368,0.5344544774501538,0.0,0.5353330097223826,0.39101793284302255,-0.3352244450923183,0.5897738229120956,0.4404580433589396,0.31441360759720566,0.5471885174760833,-0.36347581694974823,0.5831724731066683,0.5126723408002739,-0.24562800214823255,0.5075308276436263,0.613985513623347,0.6180510377879742,0.4584850569482382,0.4444755723616391,0.5550231296552375,-0.4419539423728982,0.5009005380269258
TMEM171,-0.41680438401611675,0.41454248252721937,-0.5873542500917949,-0.6678858655839411,0.3498608547918355,0.47388551859221184,-0.5245418170937913,0.5100250963769334,0.4023169439587368,0.5170676919515925,-0.4124799814590933,0.5361788255771365,0.5160827096769615,0.4373072758016053,0.5934474565479402,-0.5733837174483916,-0.41371109640708853,0.5757767902338967,-0.3387795104567542,0.5845787756522309,0.5353330097223825,0.0,0.5153222704241804,-0.2993000191703127,0.6265060865716754,0.5411437513194443,0.3704229893103024,0.43140080298689104,-0.5850450857292516,0.6513058703966432,0.52844735536026,-0.41082245375472404,0.4297974338948676,0.5129091198037984,0.6028987181972439,0.5132612960613727,0.48902994382168363,0.4989020060907152,-0.4518106866635676,0.551965714430198
SLC22A6,-0.19328772532315167,0.5194643379772416,-0.2843780137153772,-0.48064669191220577,0.7064873812176015,0.20700921220314641,-0.4713013053675896,0.3678576336726194,0.29327960622264987,0.5317949080558498,-0.25026906285660955,0.6560618191535756,0.20834444251082296,0.11672526830308615,0.3119736028046816,-0.4098972905084494,-0.16611790419630423,0.38871888252472864,-0.11832491789340305,0.3977089942271418,0.39101793284302255,0.5153222704241804,0.0,-0.036721331868814065,0.4434103806291273,0.29563988292651855,0.46134286362857335,0.4160730052793597,-0.4084442677054637,0.5778551595926961,0.38524070712748426,-0.2585107974271277,0.38556124910378925,0.46827500216874934,0.5924317513072094,0.4443161884374592,0.6534837041771426,0.42456240593254263,-0.21255522086363393,0.41149630034079443
FAM115C,0.5551182112562659,-0.30683281970154114,0.47739001272727405,0.4788503926327999,-0.1353467870320716,-0.6145895987355693,0.35750910559767435,-0.4412985077545757,-0.42383532054533296,-0.22542754494027553,0.5605734034061008,-0.09410112104522786,-0.4645256290592807,-0.6094524042266822,-0.5025045697358136,0.3806069398929298,0.53779449552656,-0.32642662517721105,0.5845947571542566,-0.3487827090713694,-0.3352244450923183,-0.2993000191703127,-0.03672133186881407,0.0,-0.33727727507777827,-0.3992575529586938,-0.07804064913824739,-0.254954122852117,0.4250996726017733,-0.2307962399116969,-0.3103704860191276,0.46079985063234347,-0.2972706127294463,-0.283060392061461,-0.18665236174299596,-0.3499303218654644,0.009097180112735524,-0.2786942862820686,0.6140095939183742,-0.40567406459897265
ACAT1,-0.4570578967465963,0.35945875070626865,-0.5718575168347403,-0.7213414672104785,0.3353215394486756,0.5505920186733617,-0.516413640930302,0.6298383480929305,0.4513939139685575,0.4996004926461584,-0.3463016673305273,0.38883308279471646,0.5977771665764552,0.6783910379674424,0.7219472930186055,-0.5278380595372993,-0.4374002792928819,0.6483009740417586,-0.39108038156564423,0.5828370947470748,0.5897738229120955,0.6265060865716754,0.4434103806291273,-0.33727727507777827,0.0,0.5756003220596725,0.19179661531511916,0.4302145871648426,-0.573426740579993,0.7187583560710561,0.4721362650417574,-0.37726129818826193,0.33732983476586664,0.6492108728984319,0.5529268863424264,0.403401490373249,0.396309552175382,0.3869277834678051,-0.6043120894258487,0.7174229499388234
IVD,-0.42258121169240825,0.3813129349154848,-0.5524038828764187,-0.5387745057375797,0.3180241721422031,0.5058370431034396,-0.5835407678109065,0.5997518726759569,0.42539791923216835,0.5033245237765983,-0.496807888871489,0.33975196359810583,0.6403882325615623,0.5946105466156238,0.5988248645991129,-0.5403151233912385,-0.46081244119503395,0.5486125248526956,-0.4677882109631344,0.5222317133341916,0.4404580433589396,0.5411437513194443,0.29563988292651855,-0.39925755295869386,0.5756003220596725,0.0,0.29506986364400684,0.42730403484224644,-0.47464482853944034,0.49466622313002223,0.3805127662546345,-0.4935160870598114,0.4029797195051781,0.4398233105543622,0.4493248856570469,0.4281903046347284,0.3411650972673338,0.4774820814398269,-0.6299905696194106,0.5329205287008509
SLC34A1,-0.11048633474969922,0.4204864484736523,-0.264748916161991,-0.25606957212899867,0.6065601722219829,0.22847365488010676,-0.2875743860414691,0.1745427466837591,0.22164034140313796,0.42897203052967187,-0.28286040833060383,0.4866470912084273,0.3449566987144262,0.1410454709287647,0.1619479919053691,-0.3807502678727463,-0.15365313006837258,0.3285992851488005,-0.16425477495298266,0.31194777375702315,0.31441360759720566,0.3704229893103023,0.46134286362857335,-0.0780406491382474,0.19179661531511916,0.29506986364400684,0.0,0.3648254909778238,-0.2042944817031202,0.3663736716371366,0.3232258863323781,-0.27387690765414024,0.2815948288557291,0.3226925498057768,0.40269473083886603,0.3249894389169784,0.54223571635204,0.41340228772999377,-0.13204114141203818,0.22392603018755194
PEPD,-0.26068502086596995,0.5004191656694736,-0.367486628723789,-0.38003851794150345,0.3724723574338618,0.475813875506912,-0.37701631618115744,0.29696314080331415,0.4385295137200546,0.4648956621730397,-0.3638295607205571,0.4898433850049344,0.4030421062299535,0.38499351310037155,0.4298554671672345,-0.30703842823381644,-0.4075303391165301,0.24722210678798973,-0.22162540053508903,0.6487891494385729,0.5471885174760834,0.4314008029868911,0.4160730052793597,-0.25495412285211694,0.4302145871648426,0.42730403484224644,0.36482549097782374,0.0,-0.25563984689282576,0.39825195683809894,0.5522923108419875,-0.13300482430473914,0.6449557479416164,0.47400605001339335,0.5097868049054357,0.5298910272620362,0.39483156120399787,0.7063038343537325,-0.33603180653416853,0.2596054152829929
TGFBI,0.5133212211850775,-0.41964884326739976,0.6230641445907078,0.7656048512393931,-0.29616027871269834,-0.41835808635222504,0.6057455220395501,-0.5472804860741797,-0.3532751068174059,-0.369599878110266,0.4943961063872455,-0.4340218410142362,-0.4552225419189894,-0.47370743513721975,-0.5597888595021804,0.6376496953790802,0.4524991337649818,-0.5496755376616742,0.5937314580475047,-0.3320468736081547,-0.36347581694974823,-0.5850450857292516,-0.40844426770546366,0.4250996726017733,-0.573426740579993,-0.4746448285394404,-0.2042944817031202,-0.25563984689282576,0.0,-0.5137163944630753,-0.3336823361658254,0.5922427232490133,-0.31264933489163205,-0.49543768118859166,-0.45949991320315237,-0.3869142958641497,-0.39587658069347414,-0.23984442209652723,0.5927591439971773,-0.515898681554234
HIBCH,-0.3858846835704839,0.45709967196815066,-0.5333856271348678,-0.6271121515054403,0.4628279637154511,0.44335762985044125,-0.4905813872523028,0.42559580361038146,0.3302119406338999,0.5422196812725874,-0.37698987805145995,0.5100654150429075,0.4708687296639793,0.42724629822714,0.5324411899702037,-0.5951448781423536,-0.32577913770922523,0.5835264685439758,-0.29983760410972476,0.5339835471904596,0.5831724731066683,0.6513058703966432,0.5778551595926961,-0.2307962399116969,0.718758356071056,0.49466622313002223,0.36637367163713663,0.3982519568380989,-0.5137163944630753,0.0,0.48233544428009884,-0.32586450408318307,0.29122054084278576,0.6302546596876544,0.6275689279443297,0.3734189125402371,0.5331789452466147,0.41855888154473736,-0.46371481656330743,0.6674542488109549
SEPHS2,-0.3730299121766983,0.4562972884083326,-0.48483275689019095,-0.4446019870305991,0.37630285558705034,0.5593206102014769,-0.3915517457980484,0.4257358378686876,0.5096400226705767,0.49798581304518774,-0.45706945919525577,0.4085886153669171,0.39076413696737367,0.368745316915656,0.4985101791117873,-0.39064890430448634,-0.40094698169972903,0.3940398816065599,-0.2855666643087278,0.6629929775493313,0.5126723408002738,0.5284473553602599,0.38524070712748426,-0.3103704860191276,0.4721362650417573,0.3805127662546345,0.32322588633237803,0.5522923108419875,-0.3336823361658254,0.4823354442800988,0.0,-0.17247648467008114,0.4929377323748928,0.5468816470200574,0.5156295470045921,0.5696663151036012,0.347390467849382,0.49094005913790395,-0.3615622409835729,0.39599704481941017
PLOD2,0.5737172975746525,-0.25350688679649974,0.5345297020865484,0.5304565223661383,-0.22631485928797712,-0.3278534296581757,0.48136428744509663,-0.4666659648638522,-0.19823662240028284,-0.24200054305475394,0.4636436923564806,-0.3425554613290293,-0.4865826130774579,-0.45293511056688823,-0.44229536725279206,0.5556416366292657,0.4039916783919252,-0.4840888385803512,0.6215352450438968,-0.19773267167802405,-0.24562800214823258,-0.41082245375472404,-0.2585107974271277,0.46079985063234347,-0.37726129818826193,-0.4935160870598114,-0.27387690765414024,-0.13300482430473914,0.5922427232490133,-0.32586450408318307,-0.17247648467008114,0.0,-0.21762841285472498,-0.2969446730191159,-0.3220802487764469,-0.2436543462628566,-0.29228261422641694,-0.1953653930784667,0.5541805169499282,-0.43681743423019814
